source_section,target_section,status
1,2,uslm_only
1,15,both
1,57,uslm_only
1,63,both
1,68,both
1,151,both
1,152,both
1,163,uslm_only
1,246,both
1,404,uslm_only
1,408,both
1,501,both
1,521,uslm_only
1,591,uslm_only
1,642,both
1,652,uslm_only
1,662,uslm_only
1,751,uslm_only
1,854,uslm_only
1,857,uslm_only
1,904,both
1,911,both
1,1059,both
1,1202,both
1,1212,both
1,1231,both
1,1250,both
1,1295,both
1,1297,both
1,3402,both
1,3406,uslm_only
1,6012,uslm_only
1,6013,uslm_only
1,7703,both
1,7874,uslm_only
2,1,both
2,55,both
2,63,uslm_only
2,112,both
2,151,uslm_only
2,152,both
2,871,uslm_only
2,877,uslm_only
2,6013,both
2,7703,uslm_only
3,1,uslm_only
3,63,uslm_only
3,443,both
3,6014,uslm_only
5,55,uslm_only
5,692,uslm_only
5,871,uslm_only
5,891,uslm_only
5,1341,uslm_only
5,1441,uslm_only
11,55,both
11,594,uslm_only
11,882,uslm_only
12,55,uslm_only
12,511,uslm_only
12,891,uslm_only
12,1442,uslm_only
15,1,uslm_only
15,11,uslm_only
21,32,uslm_only
21,129,both
21,151,uslm_only
21,152,both
21,170,uslm_only
21,501,uslm_only
22,72,both
22,86,uslm_only
22,104,uslm_only
22,105,both
22,7703,uslm_only
23,1,uslm_only
23,21,both
23,25D,uslm_only
23,26,uslm_only
23,137,uslm_only
23,217,both
23,911,uslm_only
23,931,uslm_only
23,933,uslm_only
24,1,uslm_only
24,2,uslm_only
24,26,both
24,32,both
24,112,uslm_only
24,151,both
24,152,both
24,911,both
24,931,uslm_only
24,933,uslm_only
24,937,both
24,1401,uslm_only
24,3101,both
24,3121,uslm_only
24,3201,both
24,3211,both
24,6213,uslm_only
24,6413,uslm_only
24,7527A,both
24,7703,uslm_only
25,23,uslm_only
25,25D,uslm_only
25,26,uslm_only
25,121,uslm_only
25,143,both
25,144,both
25,146,both
25A,1,uslm_only
25A,24,uslm_only
25A,26,both
25A,102,uslm_only
25A,117,uslm_only
25A,151,both
25A,911,uslm_only
25A,931,uslm_only
25A,933,uslm_only
25A,6013,uslm_only
25A,6050S,uslm_only
25A,7703,both
25B,1,uslm_only
25B,72,uslm_only
25B,151,both
25B,152,both
25B,219,both
25B,401,uslm_only
25B,402,uslm_only
25B,404,uslm_only
25B,408,uslm_only
25B,408A,both
25B,457,uslm_only
25B,529A,uslm_only
25B,911,uslm_only
25B,931,uslm_only
25B,933,uslm_only
25B,4974,both
25C,25D,both
25C,40,both
25C,40A,both
25C,45Z,both
25C,48,both
25C,121,both
25D,26,uslm_only
25D,48,both
25D,121,both
25D,216,both
25D,528,uslm_only
25E,2,uslm_only
25E,30B,uslm_only
25E,30D,both
25E,151,uslm_only
25E,911,uslm_only
25E,931,uslm_only
25E,933,uslm_only
25F,23,uslm_only
25F,25D,uslm_only
25F,26,uslm_only
25F,42,both
25F,170,uslm_only
25F,501,uslm_only
25F,530,uslm_only
25F,4946,uslm_only
25F,7701,both
26,24,uslm_only
26,27,uslm_only
26,36,uslm_only
26,55,both
26,59A,uslm_only
26,72,uslm_only
26,106,uslm_only
26,138,uslm_only
26,143,uslm_only
26,170,uslm_only
26,220,uslm_only
26,223,uslm_only
26,408,uslm_only
26,409A,uslm_only
26,453,uslm_only
26,457A,uslm_only
26,529A,uslm_only
26,530,uslm_only
26,531,uslm_only
26,541,uslm_only
26,860E,uslm_only
26,871,uslm_only
26,881,uslm_only
26,884,uslm_only
26,1351,uslm_only
26,1374,uslm_only
26,1375,uslm_only
26,7518,uslm_only
27,901,both
30B,30D,both
30B,38,both
30B,50,uslm_only
30B,52,both
30B,88,uslm_only
30B,179,uslm_only
30B,414,uslm_only
30B,1563,uslm_only
30C,26,uslm_only
30C,27,uslm_only
30C,38,both
30C,40A,both
30C,45,both
30C,45D,uslm_only
30C,45Z,both
30C,50,uslm_only
30C,121,uslm_only
30C,179,uslm_only
30C,179A,both
30C,4083,uslm_only
30D,2,uslm_only
30D,30B,both
30D,38,both
30D,45X,both
30D,50,uslm_only
30D,911,uslm_only
30D,931,uslm_only
30D,933,uslm_only
30D,6417,both
31,3402,uslm_only
31,3406,uslm_only
31,6413,both
32,1,uslm_only
32,25A,both
32,112,both
32,121,uslm_only
32,151,both
32,152,both
32,164,uslm_only
32,469,uslm_only
32,871,uslm_only
32,911,uslm_only
32,1222,uslm_only
32,1402,both
32,6013,uslm_only
32,7703,uslm_only
34,6420,both
34,6421,both
34,6427,both
35,21,both
35,36B,both
35,85,both
35,125,both
35,151,both
35,152,both
35,162,both
35,213,both
35,220,both
35,223,uslm_only
35,501,both
35,4980B,uslm_only
35,6050T,uslm_only
35,7527,both
35,9801,both
35,9832,both
36,121,both
36,151,both
36,267,both
36,707,both
36,911,uslm_only
36,931,uslm_only
36,933,uslm_only
36,1014,uslm_only
36,1033,uslm_only
36,1041,both
36,6012,uslm_only
36,6045,both
36,7703,uslm_only
36B,1,uslm_only
36B,85,uslm_only
36B,86,both
36B,151,both
36B,152,uslm_only
36B,911,uslm_only
36B,1311,both
36B,5000A,both
36B,7703,uslm_only
36B,9831,both
