source_section,target_section,status,classification
245,922,cornell_target_not_in_uslm,repealed_title26_reference
245,923,cornell_target_not_in_uslm,repealed_title26_reference
245,927,cornell_target_not_in_uslm,repealed_title26_reference
501,306A,cornell_target_not_in_uslm,external_rural_electrification_act
501,306B,cornell_target_not_in_uslm,external_rural_electrification_act
853A,54A,cornell_target_not_in_uslm,repealed_title26_reference
884,921,cornell_target_not_in_uslm,repealed_title26_reference
884,926,cornell_target_not_in_uslm,repealed_title26_reference
904,922,cornell_target_not_in_uslm,repealed_title26_reference
904,923,cornell_target_not_in_uslm,repealed_title26_reference
904,927,cornell_target_not_in_uslm,repealed_title26_reference
1248,922,cornell_target_not_in_uslm,repealed_title26_reference
1248,923,cornell_target_not_in_uslm,repealed_title26_reference
6011,922,cornell_target_not_in_uslm,repealed_title26_reference
6039K,1400Z-2,cornell_target_not_in_uslm,current_title26_uslm_section_discrepancy
6049,54A,cornell_target_not_in_uslm,repealed_title26_reference
7429,1402,cornell_only,external_title28_reference
7851,13,cornell_target_not_in_uslm,internal_revenue_code_1939
9501,427,cornell_target_not_in_uslm,external_black_lung_benefits_act
9501,435,cornell_target_not_in_uslm,external_black_lung_benefits_act
