source_section,status,link_occurrences,target_count,fetched_utc,url,error
1,ok,33,20,2026-08-08T23:45:28.248481+00:00,https://www.law.cornell.edu/uscode/text/26/1,
2,ok,6,5,2026-08-08T23:47:02.021763+00:00,https://www.law.cornell.edu/uscode/text/26/2,
3,ok,1,1,2026-08-08T23:47:12.145564+00:00,https://www.law.cornell.edu/uscode/text/26/3,
4,ok,0,0,2026-08-08T23:47:22.670205+00:00,https://www.law.cornell.edu/uscode/text/26/4,
5,ok,0,0,2026-08-08T23:47:33.098474+00:00,https://www.law.cornell.edu/uscode/text/26/5,
11,ok,1,1,2026-08-08T23:47:43.633329+00:00,https://www.law.cornell.edu/uscode/text/26/11,
12,ok,0,0,2026-08-08T23:47:54.242369+00:00,https://www.law.cornell.edu/uscode/text/26/12,
15,ok,0,0,2026-08-08T23:48:05.233091+00:00,https://www.law.cornell.edu/uscode/text/26/15,
21,ok,4,2,2026-08-08T23:48:17.062081+00:00,https://www.law.cornell.edu/uscode/text/26/21,
22,ok,2,2,2026-08-08T23:48:26.185075+00:00,https://www.law.cornell.edu/uscode/text/26/22,
23,ok,3,2,2026-08-08T23:48:36.172506+00:00,https://www.law.cornell.edu/uscode/text/26/23,
24,ok,15,10,2026-08-08T23:48:46.713761+00:00,https://www.law.cornell.edu/uscode/text/26/24,
25,ok,8,3,2026-08-08T23:48:57.275692+00:00,https://www.law.cornell.edu/uscode/text/26/25,
25A,ok,3,3,2026-08-08T23:49:07.824262+00:00,https://www.law.cornell.edu/uscode/text/26/25A,
25B,ok,5,5,2026-08-08T23:49:18.207379+00:00,https://www.law.cornell.edu/uscode/text/26/25B,
25C,ok,7,6,2026-08-08T23:49:29.752949+00:00,https://www.law.cornell.edu/uscode/text/26/25C,
25D,ok,4,3,2026-08-08T23:49:39.234161+00:00,https://www.law.cornell.edu/uscode/text/26/25D,
25E,ok,3,1,2026-08-08T23:49:49.707460+00:00,https://www.law.cornell.edu/uscode/text/26/25E,
25F,ok,2,2,2026-08-08T23:50:00.126918+00:00,https://www.law.cornell.edu/uscode/text/26/25F,
26,ok,1,1,2026-08-08T23:50:10.669389+00:00,https://www.law.cornell.edu/uscode/text/26/26,
27,ok,1,1,2026-08-08T23:50:21.216314+00:00,https://www.law.cornell.edu/uscode/text/26/27,
28,ok,0,0,2026-08-08T23:50:31.599730+00:00,https://www.law.cornell.edu/uscode/text/26/28,
29,ok,0,0,2026-08-08T23:50:42.090296+00:00,https://www.law.cornell.edu/uscode/text/26/29,
30,ok,0,0,2026-08-08T23:50:52.599041+00:00,https://www.law.cornell.edu/uscode/text/26/30,
30A,ok,0,0,2026-08-08T23:51:03.134416+00:00,https://www.law.cornell.edu/uscode/text/26/30A,
30B,ok,4,3,2026-08-08T23:51:13.636402+00:00,https://www.law.cornell.edu/uscode/text/26/30B,
30C,ok,8,5,2026-08-08T23:51:37.847037+00:00,https://www.law.cornell.edu/uscode/text/26/30C,
30D,ok,4,4,2026-08-08T23:51:41.623391+00:00,https://www.law.cornell.edu/uscode/text/26/30D,
31,ok,1,1,2026-08-08T23:51:54.375289+00:00,https://www.law.cornell.edu/uscode/text/26/31,
32,ok,7,5,2026-08-08T23:52:00.508192+00:00,https://www.law.cornell.edu/uscode/text/26/32,
33,ok,0,0,2026-08-08T23:52:10.261747+00:00,https://www.law.cornell.edu/uscode/text/26/33,
34,ok,4,3,2026-08-08T23:52:20.623871+00:00,https://www.law.cornell.edu/uscode/text/26/34,
35,ok,20,13,2026-08-08T23:52:31.070420+00:00,https://www.law.cornell.edu/uscode/text/26/35,
36,ok,7,6,2026-08-08T23:52:41.727491+00:00,https://www.law.cornell.edu/uscode/text/26/36,
36A,ok,0,0,2026-08-08T23:52:52.136454+00:00,https://www.law.cornell.edu/uscode/text/26/36A,
36B,ok,7,5,2026-08-08T23:53:02.560060+00:00,https://www.law.cornell.edu/uscode/text/26/36B,
36C,ok,0,0,2026-08-08T23:53:13.204601+00:00,https://www.law.cornell.edu/uscode/text/26/36C,
37,ok,0,0,2026-08-08T23:53:23.540215+00:00,https://www.law.cornell.edu/uscode/text/26/37,
38,ok,17,15,2026-08-08T23:53:38.623556+00:00,https://www.law.cornell.edu/uscode/text/26/38,
39,ok,5,2,2026-08-08T23:53:52.777293+00:00,https://www.law.cornell.edu/uscode/text/26/39,
40,ok,3,3,2026-08-08T23:54:05.721176+00:00,https://www.law.cornell.edu/uscode/text/26/40,
40A,ok,6,5,2026-08-08T23:54:22.733891+00:00,https://www.law.cornell.edu/uscode/text/26/40A,
40B,ok,1,1,2026-08-08T23:54:24.496349+00:00,https://www.law.cornell.edu/uscode/text/26/40B,
41,ok,15,11,2026-08-08T23:54:33.976870+00:00,https://www.law.cornell.edu/uscode/text/26/41,
42,ok,13,11,2026-08-08T23:54:44.688372+00:00,https://www.law.cornell.edu/uscode/text/26/42,
43,ok,9,5,2026-08-08T23:54:55.519406+00:00,https://www.law.cornell.edu/uscode/text/26/43,
44,ok,0,0,2026-08-08T23:55:05.492649+00:00,https://www.law.cornell.edu/uscode/text/26/44,
44A,ok,0,0,2026-08-08T23:55:16.057566+00:00,https://www.law.cornell.edu/uscode/text/26/44A,
44B,ok,0,0,2026-08-08T23:55:26.448434+00:00,https://www.law.cornell.edu/uscode/text/26/44B,
44C,ok,0,0,2026-08-08T23:55:36.958260+00:00,https://www.law.cornell.edu/uscode/text/26/44C,
44D,ok,0,0,2026-08-08T23:55:47.408446+00:00,https://www.law.cornell.edu/uscode/text/26/44D,
44E,ok,0,0,2026-08-08T23:55:57.923042+00:00,https://www.law.cornell.edu/uscode/text/26/44E,
44F,ok,0,0,2026-08-08T23:56:08.417485+00:00,https://www.law.cornell.edu/uscode/text/26/44F,
