source_section,span_start,span_end,surface,ref_class,target_section,target_path,status,method,confidence
162,-1,-1,§ 274,explicit,274,,needs_review,llm,high
162,-1,-1,section 212,explicit,212,,needs_review,llm,high
162,-1,-1,section 274,explicit,274,,needs_review,llm,high
162,-1,-1,"section 5312 of title 5, United States Code",explicit,5312,title 5,needs_review,llm,high
162,-1,-1,subparagraph (F),local_structural,162,F,needs_review,llm,high
162,-1,-1,paragraph (5),local_structural,162,5,needs_review,llm,high
162,-1,-1,section 162,local_structural,162,,needs_review,llm,high
162,-1,-1,subsection (c),local_structural,162,c,needs_review,llm,high
162,-1,-1,subparagraph (I),local_structural,162,I,needs_review,llm,high
162,-1,-1,subparagraph (II),local_structural,162,II,needs_review,llm,high
162,-1,-1,paragraph (6),local_structural,162,6,needs_review,llm,high
162,-1,-1,subclause (II),local_structural,162,6(A)(ii)(II),needs_review,llm,high
162,-1,-1,subparagraph (i),local_structural,162,6(C)(i),needs_review,llm,high
162,-1,-1,subsection (m),explicit,414,,needs_review,llm,high
162,-1,-1,subsection (o),explicit,414,,needs_review,llm,high
162,1177,1190,paragraph (2),local_structural,162,b,needs_review,llm,high
162,1761,1775,subsection (a),local_structural,162,a,needs_review,llm,high
162,1851,1862,section 170,explicit,170,,needs_review,llm,high
162,2810,2822,section 7454,explicit,7454,,needs_review,llm,high
162,3018,3031,paragraph (1),local_structural,162,c.1,needs_review,llm,high
162,3788,3800,section 7454,explicit,7454,,needs_review,llm,high
162,3966,3980,subsection (a),local_structural,162,a,needs_review,llm,high
162,4742,4756,section 303(c),explicit,303(c),,needs_review,llm,high
162,6009,6034,section 6033(e)(1)(A)(ii),explicit,6033,e(1)(A)(ii),needs_review,llm,high
162,6073,6086,paragraph (1),local_structural,162,e(1),needs_review,llm,high
162,6500,6518,section 4911(e)(2),explicit,4911,e(2),needs_review,llm,high
162,7333,7343,clause (i),local_structural,162,6(A)(i),needs_review,llm,high
162,7560,7573,paragraph (1),local_structural,162,,needs_review,llm,high
162,8808,8823,section 6033(e),explicit,6033,e,needs_review,llm,high
162,10239,10250,clause (ii),local_structural,162,6(A)(ii),needs_review,llm,high
162,11196,11214,section 1256(g)(7),explicit,1256,g(7),needs_review,llm,high
162,11737,11751,subsection (a),local_structural,162,a,needs_review,llm,high
162,11866,11875,section 4,explicit,4,,needs_review,llm,high
162,13603,13616,paragraph (1),local_structural,162,h(1),needs_review,llm,high
162,15257,15270,paragraph (2),local_structural,162,e(2),needs_review,llm,high
162,15493,15513,section 465(b)(3)(C),explicit,465,465(b)(3)(C),needs_review,llm,high
162,15632,15643,section 163,explicit,163,,needs_review,llm,high
162,15851,15862,section 561,explicit,561,,needs_review,llm,high
162,16274,16291,section 401(c)(1),explicit,401,401(c)(1),needs_review,llm,high
162,16274,16288,section 401(c),explicit,401,401(c),needs_review,llm,high
162,16568,16585,section 152(f)(1),explicit,152,152(f)(1),needs_review,llm,high
162,17285,17301,subparagraph (D),local_structural,162,,needs_review,llm,high
162,17589,17605,section 7702B(b),explicit,7702B(b),,needs_review,llm,high
162,17862,17880,section 213(d)(10),explicit,213,d(10),needs_review,llm,high
162,18149,18163,section 213(a),explicit,213,a,needs_review,llm,high
162,18397,18412,section 1402(a),explicit,1402,a,needs_review,llm,high
162,18765,18777,section 3121,explicit,3121,,needs_review,llm,high
162,18765,18774,section 3,explicit,3,,needs_review,llm,high
162,18877,18894,section 401(c)(1),explicit,401,c(1),needs_review,llm,high
162,19661,19671,section 12,explicit,12,,needs_review,llm,high
162,19750,19763,section 15(d),explicit,15,d,needs_review,llm,high
162,20390,20406,subparagraph (A),local_structural,162,c.2.A,needs_review,llm,high
162,20856,20872,subparagraph (B),local_structural,162,e(3)(B),needs_review,llm,high
162,21948,21966,section 3121(a)(5),explicit,3121,a(5),needs_review,llm,high
162,21979,21995,subparagraph (E),explicit,3121,a(5)(E),needs_review,llm,high
162,22423,22436,paragraph (1),local_structural,162,1,needs_review,llm,high
162,22645,22657,section 280G,explicit,280G,,needs_review,llm,high
162,22931,22943,section 4985,explicit,4985,,needs_review,llm,high
