source_section,span_start,span_end,surface,ref_class,target_section,target_path,status,manual_note,section_part
274,467,483,subparagraph (A),local_structural,274,A,needs_structural_resolution,local reference,main_text
274,528,541,paragraph (1),local_structural,274,1,needs_structural_resolution,local reference,main_text
274,701,712,section 212,explicit,212,,resolved_section,needed for seminar policy,main_text
274,1185,1199,section 132(f),explicit,132,f,resolved_section,fringe benefit context,main_text
274,1303,1314,section 162,explicit,162,,resolved_section,trade or business deduction context,main_text
274,1318,1329,section 212,explicit,212,,resolved_section,needed for seminar policy,main_text
274,1670,1681,section 102,explicit,102,,resolved_section,resolved cross-reference,main_text
274,2229,2243,paragraph (1) ,local_structural,274,1,needs_structural_resolution,local reference,main_text
274,2329,2342,paragraph (1),local_structural,274,1,needs_structural_resolution,local reference,main_text
274,2598,2609,section 212,explicit,212,,resolved_section,needed for seminar policy,main_text
274,2647,2658,section 162,explicit,162,,resolved_section,trade or business deduction context,main_text
274,2662,2673,section 212,explicit,212,,resolved_section,needed for seminar policy,main_text
274,2893,2907,Paragraph (1) ,local_structural,274,1,needs_structural_resolution,local reference,main_text
274,3227,3238,section 212,explicit,212,,resolved_section,needed for seminar policy,main_text
274,3574,3585,section 162,explicit,162,,resolved_section,trade or business deduction context,main_text
274,3760,3778,section 280F(d)(4),explicit,280F,d.4,resolved_section,vehicle limitation reference,main_text
274,4477,4491,subsection (i),local_structural,274,i,needs_structural_resolution,local reference,main_text
274,4536,4551,subsection (a) ,local_structural,274,a,needs_structural_resolution,local reference,main_text
274,4551,4566,Subsection (a) ,local_structural,274,a,needs_structural_resolution,local reference,main_text
274,4855,4871,subparagraph (B),local_structural,274,B,needs_structural_resolution,local reference,main_text
274,5356,5373,subparagraph (A) ,local_structural,274,A,needs_structural_resolution,local reference,main_text
274,5377,5391,paragraph (9) ,local_structural,274,9,needs_structural_resolution,local reference,main_text
274,5591,5601,clause (i),local_structural,274,i,needs_structural_resolution,local reference,main_text
274,5699,5712,section 16(a),explicit,16,a,resolved_external_reference,external Securities Exchange Act reference,main_text
274,6126,6140,section 267(b),explicit,267,b,resolved_section,resolved cross-reference,main_text
274,6592,6605,paragraph (2),local_structural,274,2,needs_structural_resolution,local reference,main_text
274,6741,6755,subsection (d),local_structural,274,d,needs_structural_resolution,local reference,main_text
274,7030,7044,section 414(q),explicit,414,q,resolved_section,resolved cross-reference,main_text
274,7354,7371,section 267(c)(4),explicit,267,c.4,resolved_section,resolved cross-reference,main_text
274,7421,7438,subsection (a)(3),local_structural,274,a.3,needs_structural_resolution,local reference,main_text
274,7788,7805,section 501(c)(6),explicit,501,c.6,resolved_section,resolved cross-reference,main_text
274,7931,7945,section 501(a),explicit,501,a,resolved_section,resolved cross-reference,main_text
274,8681,8691,section 74,explicit,74,,resolved_section,resolved cross-reference,main_text
274,9063,9078,subsection (a) ,local_structural,274,a,needs_structural_resolution,local reference,main_text
274,9566,9581,subsection (a) ,local_structural,274,a,needs_structural_resolution,local reference,main_text
274,9993,10004,section 162,explicit,162,,resolved_section,trade or business deduction context,main_text
274,10966,10977,section 162,explicit,162,,resolved_section,trade or business deduction context,main_text
