"source_section","span_start","span_end","surface","ref_class","target_section","target_path","rej16","gold","note"
"274","467","483","subparagraph (A)","local_structural","274","A","1","1",""
"274","528","541","paragraph (1)","local_structural","274","1","1","1",""
"274","701","712","section 212","explicit","212","","1","1",""
"274","1185","1199","section 132(f)","explicit","132","f","1","1",""
"274","1303","1314","section 162","explicit","162","","1","1",""
"274","1318","1329","section 212","explicit","212","","1","1",""
"274","1670","1681","section 102","explicit","102","","1","1",""
"274","2229","2243","paragraph (1)","local_structural","274","1","1","1",""
"274","2329","2342","paragraph (1)","local_structural","274","1","1","1",""
"274","2598","2609","section 212","explicit","212","","1","1",""
"274","2647","2658","section 162","explicit","162","","1","1",""
"274","2662","2673","section 212","explicit","212","","1","1",""
"274","2893","2907","Paragraph (1)","local_structural","274","1","1","1",""
"274","3227","3238","section 212","explicit","212","","1","1",""
"274","3574","3585","section 162","explicit","162","","1","1",""
"274","3760","3778","section 280F(d)(4)","explicit","280F","d.4","1","1",""
"274","4477","4491","subsection (i)","local_structural","274","i","1","1",""
"274","4536","4551","subsection (a)","local_structural","274","a","1","1",""
"274","4551","4566","Subsection (a)","local_structural","274","a","1","1",""
"274","4855","4871","subparagraph (B)","local_structural","274","B","1","1",""
"274","5356","5373","subparagraph (A)","local_structural","274","A","1","1",""
"274","5377","5391","paragraph (9)","local_structural","274","9","1","1",""
"274","5591","5601","clause (i)","local_structural","274","i","1","1",""
"274","5699","5712","section 16(a)","explicit","16","a","1","1",""
"274","6126","6140","section 267(b)","explicit","267","b","1","1",""
"274","6592","6605","paragraph (2)","local_structural","274","2","1","1",""
"274","6741","6755","subsection (d)","local_structural","274","d","1","1",""
"274","7030","7044","section 414(q)","explicit","414","q","1","1",""
"274","7354","7371","section 267(c)(4)","explicit","267","c.4","1","1",""
"274","7421","7438","subsection (a)(3)","local_structural","274","a.3","1","1",""
"274","7788","7805","section 501(c)(6)","explicit","501","c.6","1","1",""
"274","7931","7945","section 501(a)","explicit","501","a","1","1",""
"274","8681","8691","section 74","explicit","74","","1","1",""
"274","9063","9078","subsection (a)","local_structural","274","a","1","1",""
"274","9566","9581","subsection (a)","local_structural","274","a","1","1",""
"274","9993","10004","section 162","explicit","162","","1","1",""
"274","10966","10977","section 162","explicit","162","","1","1",""
"274","11064","11078","paragraph (5)","local_structural","274","5","1","1",""
"274","11558","11569","section 162","explicit","162","","1","1",""
"274","12036","12052","subparagraph (B)","local_structural","274","B","1","1",""
"274","12122","12133","section 162","explicit","162","","1","1",""
"274","12785","12796","section 162","explicit","162","","1","1",""
"274","14245","14262","subparagraph (C)","local_structural","274","C","1","1",""
"274","14669","14689","section 212(a)(1)(A)","explicit","212","a.1.A","1","1",""
"274","15008","15019","clause (ii)","local_structural","274","ii","1","1",""
"274","17330","17347","subparagraph (C)","local_structural","274","C","1","1",""
"274","17408","17426","section 6103(k)(4)","explicit","6103","k.4","1","1",""
"274","17585","17601","subparagraph (C)","local_structural","274","C","1","1",""
"274","17759","17780","subparagraph (C)(ii)","local_structural","274","C.ii","1","1",""
"274","17874","17895","subparagraph (C)(ii)","local_structural","274","C.ii","1","1",""
"274","17988","18009","subparagraph (A)(ii)","local_structural","274","A.ii","1","1",""
"274","18063","18074","section 212","explicit","212","","1","1",""
"274","18120","18131","section 212","explicit","212","","1","1",""
"274","18255","18269","subsection (d)","local_structural","274","d","1","1",""
"274","18529","18540","section 162","explicit","162","","1","1",""
"274","18544","18555","section 212","explicit","212","","1","1",""
"274","18683","18696","paragraph (2)","local_structural","274","2","1","1",""
"274","19846","19856","clause (i)","local_structural","274","i","1","1",""
"274","20578","20592","section 414(q)","explicit","414","q","1","1",""
"274","21305","21319","paragraph (2)","local_structural","274","2","1","1",""
"274","21679","21696","section 132(e)(1)","explicit","132","e.1","1","1",""
"274","21986","22003","section 132(e)(1)","explicit","132","e.1","1","1",""
"274","22164","22175","clause (ii)","local_structural","274","ii","1","1",""
"274","22615","22629","Paragraph (1)","local_structural","274","1","1","1",""
"274","22678","22691","paragraph (2)","local_structural","274","2","1","1",""
"274","22723","22737","subsection (e)","local_structural","274","e","1","1",""
"274","23741","23758","Subparagraph (A)","local_structural","274","A","1","1",""
"274","23915","23928","paragraph (2)","local_structural","274","2","1","1",""
"274","23960","23974","subsection (e)","local_structural","274","e","1","1",""
"274","24218","24229","section 217","explicit","217","","1","1",""
"274","25023","25037","Paragraph (1)","local_structural","274","1","1","1",""
"274","25105","25118","paragraph (2)","local_structural","274","2","1","1",""
"274","25150","25164","subsection (e)","local_structural","274","e","1","1",""
"274","25317","25327","section 82","explicit","82","","1","1",""
"274","26217","26229","section 2101","explicit","2101","","1","1",""
"274","26510","26530","section 143(k)(2)(B)","explicit","143","k.2.B","1","1",""
"274","26660","26672","Clauses (i)","local_structural","274","i","1","1",""
"274","26684","26701","subparagraph (C)","local_structural","274","C","1","1",""
"274","26823","26837","subsection (m)","local_structural","274","m","1","1",""
"274","26886","26903","subparagraph (A)","local_structural","274","A","1","1",""
"274","26944","26960","subparagraph (B)","local_structural","274","B","1","1",""
"274","27134","27151","section 162(a)(2)","explicit","162","a.2","1","1",""
"274","27294","27308","paragraph (1)","local_structural","274","1","1","1",""
"274","27464","27482","subsection (e)(8)","local_structural","274","e.8","1","1",""
"274","27611","27628","section 132(e)(2)","explicit","132","e.2","1","1",""
"274","27685","27702","section 132(e)(1)","explicit","132","e.1","1","1",""
"274","27777","27791","section 119(a)","explicit","119","a","1","1",""
"274","27975","27990","subsection (a)","local_structural","274","a","1","1",""
"274","27993","28008","subsection (b)","local_structural","274","b","1","1",""
