surface,target_section,target_path,ref_class,span_start,span_end,rej16,llm,gold,note
12 U.S.C. 1817(b),1817,b,explicit,41390,41407,0,1,1,
12 U.S.C. 5365,5365,,explicit,41628,41642,0,1,1,
clause (i),162,6.a.i,local_structural,7333,7343,0,1,0,
clause (i),162,i,local_structural,7333,7343,1,0,1,
clause (i)(I),162,i.i,local_structural,27101,27114,1,0,1,
clause (ii),162,6.a.ii,local_structural,10239,10250,0,1,0,
clause (ii),162,ii,local_structural,10239,10251,1,0,1,
paragraph (1),162,,local_structural,7560,7573,0,1,1,
paragraph (1),162,1,local_structural,3018,3031,1,1,1,
paragraph (1),162,c.1,local_structural,3018,3031,0,1,1,
paragraph (1),162,e.1,local_structural,6073,6086,0,1,1,
paragraph (1),162,h.1,local_structural,13603,13616,0,1,1,
paragraph (1)(A),162,1.a,local_structural,38272,38288,1,0,1,
paragraph (2),162,2,local_structural,1177,1190,1,0,1,
paragraph (2),162,b,local_structural,1177,1190,0,1,0,
paragraph (2),162,e.2,local_structural,15257,15270,0,1,0,
paragraph (3),162,3,local_structural,35156,35169,1,0,1,
paragraph (3),162,e.3,local_structural,35156,35169,0,1,0,
paragraph (4),162,4,local_structural,28094,28108,1,1,1,
paragraph (4),162,e.4,local_structural,28094,28107,0,1,0,
paragraph (5),162,5,local_structural,-1,-1,0,1,0,no exact surface span
paragraph (6),162,6,local_structural,-1,-1,0,1,0,no exact surface span
paragraphs (1)(A),162,1.a,local_structural,7263,7281,1,0,1,
paragraphs (2),162,2,local_structural,25484,25499,1,0,0,
section 1(f)(3),1,f.3,explicit,39409,39424,1,1,1,
section 101(a),101,a,explicit,24638,24652,1,1,1,
section 113(c),113,c,explicit,25017,25031,1,1,1,
section 12,12,,explicit,19661,19671,1,1,1,
section 120,120,,explicit,25892,25903,1,1,1,
section 1237,1237,,explicit,42608,42620,1,1,1,
section 1253,1253,,explicit,42743,42755,1,1,1,
section 1256(g)(7),1256,g.7,explicit,11196,11214,1,1,1,
section 1372(a),1372,a,explicit,18659,18674,1,0,1,
section 1402(a),1402,a,explicit,18397,18412,1,1,1,
section 15(d),15,d,explicit,19750,19763,1,1,1,
section 1504(a),1504,a,explicit,41956,41971,1,1,1,
section 1504(b),1504,b,explicit,42130,42145,1,1,1,
section 152(f)(1),152,152.f.1,explicit,16568,16585,0,1,0,
section 152(f)(1),152,f.1,explicit,16568,16585,1,0,1,
section 1563(a),1563,a,explicit,25428,25443,1,1,1,
section 162,162,,local_structural,-1,-1,0,1,0,no exact surface span
section 163,163,,explicit,15632,15643,1,1,1,
section 165,165,,explicit,41549,41560,1,1,1,
section 170,170,,explicit,1851,1862,1,1,1,
section 212,212,,explicit,-1,-1,0,1,0,no exact surface span
section 213(a),213,a,explicit,18149,18163,1,1,1,
section 213(d)(10),213,d.10,explicit,17862,17880,1,1,1,
section 274,274,,explicit,-1,-1,0,1,0,no exact surface span
section 280G,280g,,explicit,22645,22657,1,1,1,
section 3,3,,explicit,19528,19537,1,1,1,
section 303(c),303,c,explicit,4742,4756,1,1,1,
section 3121,3121,,explicit,18765,18777,1,1,1,
section 3121(a)(5),3121,a.5,explicit,21948,21966,1,1,1,
section 3121(v)(1),3121,v.1,explicit,22309,22327,1,0,1,
section 4,4,,explicit,11866,11875,1,1,1,
section 401(c),401,401.c,explicit,16274,16288,0,1,0,
section 401(c),401,c,explicit,16858,16872,1,0,1,
section 401(c)(1),401,401.c.1,explicit,16274,16291,0,1,0,
section 401(c)(1),401,c.1,explicit,16274,16291,1,1,1,
section 404,404,,explicit,42906,42917,1,1,1,
section 414,414,,explicit,25353,25364,1,1,1,
section 419,419,,explicit,42830,42841,1,1,1,
section 465(b)(3)(C),465,465.b.3.c,explicit,15493,15513,0,1,0,
section 465(b)(3)(C),465,b.3.c,explicit,15493,15513,1,0,1,
section 4911(e)(2),4911,e.2,explicit,6500,6518,1,1,1,
section 4985,4985,,explicit,22931,22943,1,1,1,
section 5000A(f),5000a,f,explicit,31453,31469,1,1,1,
section 5312,5312,,explicit,8494,8506,1,0,1,
"section 5312 of title 5, United States Code",5312,title.5,explicit,-1,-1,0,1,0,no exact surface span
section 561,561,,explicit,15851,15862,1,1,1,
section 6033(e),6033,e,explicit,8808,8823,1,1,1,
