source_section,span_start,span_end,surface,ref_class,target_section,target_path,status,method
1,1,10,SECTION 1,explicit,1,,resolved_section,rej16
2,588,600,This section,local_structural,2,,resolved_local,rej16
3,165,179,subsection (b),local_structural,3,b,resolved_local,rej16
3,732,746,Subsection (a),local_structural,3,a,resolved_local,rej16
3,786,801,this subsection,local_structural,3,b,resolved_local,rej16
3,812,825,section 2032A,explicit,2032A,,resolved_section,rej16
3,930,942,section 6166,explicit,6166,,resolved_section,rej16
3,1087,1096,chapter 2,explicit,2,,resolved_structure,rej16
4,74,84,sections 2,explicit,2,,resolved_section,rej16
4,298,310,this section,local_structural,4,,resolved_local,rej16
4,631,643,this section,local_structural,4,,resolved_local,rej16
4,946,965,section 2032A(e)(2),explicit,2032A,e.2,resolved_section,rej16
4,1044,1058,Subsection (a),local_structural,4,a,resolved_local,rej16
5,606,622,subparagraph (A),local_structural,5,a.1.a,resolved_local,rej16
5,1130,1170,clauses (i) and (ii) of paragraph (1)(A),local_structural,5,"a.1.a.i, a.1.a.ii",resolved_local,rej16
5,1766,1780,Subsection (a),local_structural,5,a,resolved_local,rej16
5,1784,1793,section 2,explicit,2,,resolved_section,rej16
5,2390,2436,subparagraphs (A) and (B) of subsection (a)(1),local_structural,5,"a.1.a, a.1.b",resolved_local,rej16
11,187,201,subsection (a),local_structural,11,a,resolved_local,rej16
11,256,270,Subsection (a),local_structural,11,a,resolved_local,rej16
11,337,348,section 594,explicit,594,,resolved_section,rej16
11,704,718,subsection (a),local_structural,11,a,resolved_local,rej16
11,723,733,section 55,explicit,55,,resolved_section,rej16
11,766,777,section 882,explicit,882,,resolved_section,rej16
12,167,179,this chapter,local_structural,1,,resolved_structure,rej16
12,185,196,section 511,explicit,511,,resolved_section,rej16
12,400,411,section 891,explicit,891,,resolved_section,rej16
12,478,490,section 1442,explicit,1442,,resolved_section,rej16
12,529,539,section 55,explicit,55,,resolved_section,rej16
15,71,83,this chapter,local_structural,1,,resolved_structure,rej16
15,666,680,subsection (a),local_structural,15,a,resolved_local,rej16
15,866,881,subsections (a),local_structural,15,a,resolved_local,rej16
15,1255,1267,This section,local_structural,15,,resolved_local,rej16
15,1313,1327,subsection (f),local_structural,15,f,resolved_local,rej16
15,1331,1340,section 1,explicit,1,,resolved_section,rej16
15,1493,1507,subsection (a),local_structural,15,a,resolved_local,rej16
15,1564,1573,section 1,explicit,1,,resolved_section,rej16
15,1577,1582,11(b),explicit,11,b,resolved_section,rej16
15,1601,1613,this chapter,local_structural,1,,resolved_structure,rej16
15,2039,2051,This section,local_structural,15,,resolved_local,rej16
15,2097,2111,subsection (i),local_structural,15,i,needs_structural_resolution,rej16
15,2115,2124,section 1,explicit,1,,resolved_section,rej16
21,226,243,subsection (b)(1),local_structural,21,b.1,resolved_local,rej16
21,340,352,this chapter,local_structural,1,,resolved_structure,rej16
21,469,486,subsection (b)(2),local_structural,21,b.2,resolved_local,rej16
21,587,600,paragraph (1),local_structural,21,b.1,resolved_local,rej16
21,1196,1208,this section,local_structural,21,,resolved_local,rej16
21,1323,1340,section 152(a)(1),explicit,152,a.1,resolved_section,rej16
21,1418,1429,section 152,explicit,152,,resolved_section,rej16
21,1460,1478,subsections (b)(1),local_structural,21,b.1,resolved_local,rej16
21,2526,2542,subparagraph (A),local_structural,21,b.2.a,resolved_local,rej16
21,2711,2727,paragraph (1)(A),local_structural,21,b.1.a,resolved_local,rej16
21,2779,2795,paragraph (1)(A),local_structural,21,b.1.a,resolved_local,rej16
21,2941,2957,subparagraph (A),local_structural,21,b.2.a,resolved_local,rej16
21,3074,3090,subparagraph (D),local_structural,21,b.2.d,resolved_local,rej16
21,3264,3280,subparagraph (B),local_structural,21,b.2.b,resolved_local,rej16
21,3340,3354,this paragraph,local_structural,21,b.2,resolved_local,rej16
21,3826,3840,subsection (a),local_structural,21,a,resolved_local,rej16
21,4098,4111,paragraph (1),local_structural,21,c.1,resolved_local,rej16
21,4115,4118,(2),local_structural,21,2,resolved_local,rej16
21,4221,4232,section 129,explicit,129,,resolved_section,rej16
21,4331,4346,this subsection,local_structural,21,d,resolved_local,rej16
21,4465,4479,subsection (a),local_structural,21,a,resolved_local,rej16
21,4959,4979,subsection (b)(1)(C),local_structural,21,b.1.c,resolved_local,rej16
21,4997,5010,paragraph (1),local_structural,21,d.1,resolved_local,rej16
21,5251,5268,subsection (c)(1),local_structural,21,c.1,resolved_local,rej16
21,5314,5331,subsection (c)(2),local_structural,21,c.2,resolved_local,rej16
21,5399,5413,this paragraph,local_structural,21,d.2,resolved_local,rej16
21,5511,5523,this section,local_structural,21,,resolved_local,rej16
21,5919,5933,subsection (a),local_structural,21,a,resolved_local,rej16
21,6771,6785,section 152(e),explicit,152,e,resolved_section,rej16
21,7079,7123,subparagraph (A) or (B) of subsection (b)(1),local_structural,21,"b.1.a, b.1.b",resolved_local,rej16
21,7203,7223,section 152(e)(4)(A),explicit,152,e.4.a,resolved_section,rej16
21,7388,7402,subsection (a),local_structural,21,a,resolved_local,rej16
21,7523,7537,section 151(c),explicit,151,c,resolved_section,rej16
21,7713,7730,section 152(f)(1),explicit,152,f.1,resolved_section,rej16
21,7817,7831,this paragraph,local_structural,21,e.6,resolved_local,rej16
21,8210,8234,section 170(b)(1)(A)(ii),explicit,170,b.1.a.ii,resolved_section,rej16
21,8339,8353,subsection (a),local_structural,21,a,resolved_local,rej16
21,8571,8588,section 501(c)(3),explicit,501,c.3,resolved_section,rej16
21,8615,8629,section 501(a),explicit,501,a,resolved_section,rej16
21,9066,9078,this section,local_structural,21,,resolved_local,rej16
21,9314,9326,this section,local_structural,21,,resolved_local,rej16
21,9621,9631,section 32,explicit,32,,resolved_section,rej16
21,9702,9716,subsection (a),local_structural,21,a,resolved_local,rej16
21,9858,9872,Subsection (c),local_structural,21,c,resolved_local,rej16
21,9936,9949,paragraph (1),local_structural,21,g.1,resolved_local,rej16
21,10009,10022,paragraph (2),local_structural,21,g.2,resolved_local,rej16
21,10070,10087,Subsection (a)(2),local_structural,21,a.2,needs_structural_resolution,rej16
21,10277,10294,Subsection (a)(2),local_structural,21,a.2,needs_structural_resolution,rej16
21,10895,10907,this section,local_structural,21,,resolved_local,rej16
21,10938,10953,this subsection,local_structural,21,h,resolved_local,rej16
21,11434,11446,this section,local_structural,21,,resolved_local,rej16
21,11945,11957,this section,local_structural,21,,resolved_local,rej16
21,12092,12104,this section,local_structural,21,,resolved_local,rej16
21,12169,12182,paragraph (2),local_structural,21,h.2,resolved_local,rej16
21,12227,12242,this subsection,local_structural,21,h,resolved_local,rej16
21,12620,12644,section 1324 of title 31,external,1324,title.31,resolved_external,rej16
21,12686,12701,this subsection,local_structural,21,h,resolved_local,rej16
21,12793,12810,subsection (b)(2),local_structural,21,b.2,resolved_local,rej16
22,188,200,this chapter,local_structural,1,,resolved_structure,rej16
22,273,283,section 22,explicit,22,,resolved_section,rej16
22,355,367,this section,local_structural,22,,resolved_local,rej16
22,627,637,Section 22,explicit,22,,resolved_section,rej16
22,661,675,subsection (a),local_structural,22,a,resolved_local,rej16
22,708,718,section 22,explicit,22,,resolved_section,rej16
22,803,816,paragraph (2),local_structural,22,2,needs_structural_resolution,rej16
22,841,854,paragraph (3),local_structural,22,3,needs_structural_resolution,rej16
22,862,876,subsection (d),local_structural,22,d,resolved_local,rej16
22,934,950,subparagraph (B),local_structural,22,b,needs_structural_resolution,rej16
22,1469,1480,clause (ii),local_structural,22,ii,needs_structural_resolution,rej16
22,2382,2392,section 72,explicit,72,,resolved_section,rej16
22,2396,2402,105(a),explicit,105,a,resolved_section,rej16
22,2636,2650,this paragraph,local_structural,22,d,needs_structural_resolution,rej16
22,3171,3186,clause (i)(III),local_structural,22,i.iii,needs_structural_resolution,rej16
22,3215,3232,section 104(a)(4),explicit,104,a.4,resolved_section,rej16
