source_section,target_section,status
1,1059,both
1,1202,both
1,1212,both
1,1231,both
1,1250,both
1,1295,both
1,1297,both
1,15,both
1,151,both
1,152,both
1,163,both
1,2,both
1,246,both
1,3402,both
1,3406,both
1,404,both
1,408,both
1,501,both
1,521,both
1,57,both
1,591,both
1,6012,both
1,6013,both
1,63,both
1,642,both
1,652,both
1,662,both
1,68,both
1,751,both
1,7703,both
1,7874,both
1,854,both
1,857,both
1,904,both
1,911,both
1001,1011,both
1001,1014,both
1001,1015,both
1001,1041,both
1001,164,both
101,105,both
101,264,both
101,267,both
101,401,both
101,414,both
101,4980C,both
101,501,both
101,52,both
101,692,both
101,707,both
101,72,both
101,7702,both
101,7702A,both
101,7702B,both
101,817,both
1011,1012,both
1011,1016,both
1011,170,both
1012,164,both
1012,6045,both
1014,2001,both
1014,2031,both
1014,2032,both
1014,2032A,both
1014,2044,both
1014,6018,both
1014,6035,both
1014,691,both
1014,72,both
1014,811,both
1014,992,both
1014,995,both
1014,996,both
1015,1016,both
1015,1041,both
1015,2503,both
1015,2513,both
1015,2521,both
1015,2522,both
1015,2523,both
1016,1,both
1016,1020,both
1016,1034,both
1016,1042,both
1016,1043,both
1016,1045,both
1016,1059,both
1016,1367,both
1016,137,both
1016,1397B,both
1016,167,both
1016,171,both
1016,173,both
1016,174,both
1016,174A,both
1016,179B,both
1016,179D,both
1016,2001,both
1016,2032,both
1016,2032A,both
1016,23,both
1016,25C,both
1016,25D,both
1016,266,both
1016,268,both
1016,272,both
1016,30B,both
1016,30C,both
1016,30D,both
1016,38,both
1016,4064,both
1016,45F,both
1016,45G,both
1016,45L,both
1016,50,both
1016,59,both
1016,614,both
1016,616,both
1016,6601,both
1016,75,both
1016,77,both
1016,811,both
1016,961,both
1017,108,both
1017,1221,both
1017,1245,both
1017,1250,both
1017,1501,both
1019,109,both
102,132,both
102,74,both
1023,301,both
103,141,both
103,148,both
103,149,both
1031,1033,both
1031,1035,both
1031,1036,both
1031,1037,both
1031,267,both
1031,357,both
1031,707,both
1031,761,both
1032,1234B,both
1032,362,both
1033,1012,both
1033,1017,both
1033,121,both
1033,1223,both
1033,1231,both
1033,165,both
1033,179,both
1033,267,both
1033,6212,both
1033,6501,both
1033,707,both
1035,1031,both
1036,1031,both
1036,351,both
1037,1031,both
1037,1271,both
1037,454,both
1038,121,both
1038,691,both
104,106,both
104,213,both
104,401,both
104,403,both
104,404,both
104,501,both
104,692,both
1040,2032A,both
1042,1278,both
1042,1362,both
1042,1504,both
1042,1563,both
1042,165,both
1042,304,both
1042,318,both
1042,368,both
1042,401,both
1042,409,both
1042,422,both
1042,423,both
1042,424,both
1042,4975,both
1042,4978,both
1042,4979A,both
1042,581,both
1042,83,both
1042,954,both
1043,1012,both
1045,1012,both
1045,1202,both
1045,1223,both
105,104,both
105,115,both
105,152,both
105,213,both
105,318,both
105,401,both
105,414,both
105,501,both
105,861,both
105,911,both
1052,113,both
1053,1016,both
1054,162,both
1055,163,both
1058,1236,both
1059,243,both
1059,246,both
1059,301,both
1059,302,both
1059,304,both
1059,318,both
1059,356,both
1059A,482,both
106,105,both
106,213,both
106,220,both
106,223,both
106,4980B,both
106,4980E,both
106,4980G,both
106,5000A,both
106,6012,both
106,72,both
106,7702B,both
106,9831,both
1060,1031,both
1060,197,both
1060,267,both
1060,318,both
1060,338,both
1060,6721,both
1060,707,both
1060,755,both
1061,1,both
1061,2,both
1061,318,both
1061,475,both
1061,83,both
1062,2032A,both
108,1017,both
108,118,both
108,121,both
108,1212,both
108,1245,both
108,1273,both
108,1274,both
108,1275,both
108,1366,both
108,1367,both
108,1398,both
108,163,both
108,166,both
108,170,both
108,24,both
108,267,both
108,27,both
108,354,both
108,355,both
108,356,both
108,368,both
108,38,both
108,414,both
108,469,both
108,49,both
108,501,both
108,53,both
108,704,both
108,707,both
108,731,both
108,752,both
108,856,both
1091,1234B,both
1091,165,both
1092,1091,both
1092,1221,both
1092,1233,both
1092,1256,both
1092,1501,both
1092,1504,both
1092,246,both
1092,263,both
11,55,both
11,594,both
11,882,both
110,168,both
111,46,both
111,531,both
111,541,both
112,351,both
117,132,both
117,170,both
117,414,both
118,108,both
118,1231,both
118,362,both
118,7701,both
119,170,both
12,1442,both
12,511,both
12,55,both
12,891,both
1202,1,both
1202,1223,both
1202,1244,both
1202,1397C,both
1202,1563,both
1202,174,both
1202,174A,both
1202,195,both
1202,267,both
1202,304,both
1202,351,both
1202,368,both
1202,41,both
1202,543,both
1202,613,both
1202,613A,both
1202,707,both
1202,7703,both
121,1031,both
121,1033,both
121,1034,both
121,1041,both
121,1223,both
121,1250,both
121,216,both
121,267,both
121,5,both
121,707,both
121,877,both
1212,1211,both
1212,1256,both
1212,151,both
1212,165,both
1212,172,both
1212,851,both
1212,856,both
122,72,both
1221,1256,both
1221,167,both
1222,1211,both
1222,1212,both
1223,1014,both
1223,1033,both
1223,1040,both
1223,1042,both
1223,1043,both
1223,1045,both
