source_section,span_start,span_end,surface,ref_class,source_node_id,target_path,resolved_target_id,resolution_status,reason_code,target_snippet
274,467,483,subparagraph (A),local_structural,274(a)(1)(B),A,274(a)(1)(A),resolved,,"(A) Activity With respect to an activity which is of a type generally considered to constitute entertainment, amusement, or recreation, or"
274,528,541,paragraph (1),local_structural,274(a)(2),1,274(a)(1),resolved,,(1) In general No deduction otherwise allowable under this chapter shall be allowed for any item— (A) Activity With respect to an activity which is of a type generally considered t
274,2229,2243,paragraph (1) ,local_structural,274(b)(2)(A),1,274(b)(1),resolved,,(1) Limitation No deduction shall be allowed under section 162 or section 212 for any expense for gifts made directly or indirectly to any individual to the extent that such expens
274,2329,2342,paragraph (1),local_structural,274(b)(2)(B),1,274(b)(1),resolved,,(1) Limitation No deduction shall be allowed under section 162 or section 212 for any expense for gifts made directly or indirectly to any individual to the extent that such expens
274,2893,2907,Paragraph (1) ,local_structural,274(c)(2),1,274(c)(1),resolved,,(1) In general In the case of any individual who travels outside the United States away from home in pursuit of a trade or business or in pursuit of an activity described in sectio
274,4477,4491,subsection (i),local_structural,274(d)(3)(D),i,274(i),resolved,,"(i) Qualified nonpersonal use vehicle For purposes of subsection (d), the term “qualified nonpersonal use vehicle” means any vehicle which, by reason of its nature, is not likely t"
274,4536,4551,subsection (a) ,local_structural,274(e),a,274(a),resolved,,"(a) Entertainment, amusement, recreation, or qualified transportation fringes (1) In general No deduction otherwise allowable under this chapter shall be allowed for any item— (A) "
274,4551,4566,Subsection (a) ,local_structural,274(e),a,274(a),resolved,,"(a) Entertainment, amusement, recreation, or qualified transportation fringes (1) In general No deduction otherwise allowable under this chapter shall be allowed for any item— (A) "
274,4855,4871,subparagraph (B),local_structural,274(e)(2)(A),B,274(e)(2)(B),resolved,,"(B) Specified individuals (i) In general In the case of a recipient who is a specified individual, subparagraph (A) and paragraph (9) shall each be applied by substituting “to the "
274,5356,5373,subparagraph (A) ,local_structural,274(e)(2)(B)(i),A,274(e)(2)(A),resolved,,"(A) In general Except as provided in subparagraph (B), expenses for goods, services, and facilities, to the extent that the expenses are treated by the taxpayer, with respect to th"
274,5377,5391,paragraph (9) ,local_structural,274(e)(2)(B)(i),9,274(e)(9),resolved,,"(9) Expenses includible in income of persons who are not employees Expenses paid or incurred by the taxpayer for goods, services, and facilities to the extent that the expenses are"
274,5591,5601,clause (i),local_structural,274(e)(2)(B)(ii),i,274(e)(2)(B)(i),resolved,,"(i) In general In the case of a recipient who is a specified individual, subparagraph (A) and paragraph (9) shall each be applied by substituting “to the extent that the expenses d"
274,6592,6605,paragraph (2),local_structural,274(e)(3)(A),2,274(e)(2),resolved,,"(2) Expenses treated as compensation (A) In general Except as provided in subparagraph (B), expenses for goods, services, and facilities, to the extent that the expenses are treate"
274,6741,6755,subsection (d),local_structural,274(e)(3)(B),d,274(d),resolved,,"(d) Substantiation required No deduction or credit shall be allowed— (1) under section 162 or 212 for any traveling expense (including meals and lodging while away from home), (2) "
274,7421,7438,subsection (a)(3),local_structural,274(e)(4),a.3,274(a)(3),resolved,,"(3) Denial of deduction for club dues Notwithstanding the preceding provisions of this subsection, no deduction shall be allowed under this chapter for amounts paid or incurred for"
274,9063,9078,subsection (a) ,local_structural,274(e)(9),a,274(a),resolved,,"(a) Entertainment, amusement, recreation, or qualified transportation fringes (1) In general No deduction otherwise allowable under this chapter shall be allowed for any item— (A) "
274,9566,9581,subsection (a) ,local_structural,274(g),a,274(a),resolved,,"(a) Entertainment, amusement, recreation, or qualified transportation fringes (1) In general No deduction otherwise allowable under this chapter shall be allowed for any item— (A) "
274,11064,11078,paragraph (5) ,local_structural,274(h)(2),5,274(h)(5),resolved,,"(5) Reporting requirements No deduction shall be allowed under section 162 for expenses allocable to attendance at a convention, seminar, or similar meeting on any cruise ship unle"
274,12036,12052,subparagraph (B),local_structural,274(h)(4)(A),B,274(h)(4)(B),resolved,,"(B) This subsection shall not deny a deduction to any person other than the individual attending the convention, seminar, or similar meeting with respect to any amount paid by such"
274,14245,14262,subparagraph (C) ,local_structural,274(h)(6)(A)(i),C,274(h)(6)(C),resolved,,(C) Authority to conclude exchange of information agreements (i) In general The Secretary is authorized to negotiate and conclude an agreement for the exchange of information with 
274,15008,15019,clause (ii),local_structural,274(h)(6)(C)(i),ii,274(h)(6)(C)(ii),resolved,,(ii) Nondisclosure of qualified confidential information sought for civil tax purposes An exchange of information agreement need not provide for the exchange of qualified confident
274,17330,17347,subparagraph (C) ,local_structural,274(h)(6)(D),C,274(h)(6)(C),resolved,,(C) Authority to conclude exchange of information agreements (i) In general The Secretary is authorized to negotiate and conclude an agreement for the exchange of information with 
274,17585,17601,subparagraph (C),local_structural,274(h)(6)(D),C,274(h)(6)(C),resolved,,(C) Authority to conclude exchange of information agreements (i) In general The Secretary is authorized to negotiate and conclude an agreement for the exchange of information with 
274,17759,17780,subparagraph (C)(ii) ,local_structural,274(h)(6)(E)(i),C.ii,274(h)(6)(C)(ii),resolved,,(ii) Nondisclosure of qualified confidential information sought for civil tax purposes An exchange of information agreement need not provide for the exchange of qualified confident
274,17874,17895,subparagraph (C)(ii) ,local_structural,274(h)(6)(E)(ii),C.ii,274(h)(6)(C)(ii),resolved,,(ii) Nondisclosure of qualified confidential information sought for civil tax purposes An exchange of information agreement need not provide for the exchange of qualified confident
274,17988,18009,subparagraph (A)(ii) ,local_structural,274(h)(6)(E)(iii),A.ii,274(h)(6)(A)(ii),resolved,,(ii) there is not in effect a finding by the Secretary that the tax laws of such country discriminate against conventions held in the United States.
274,18255,18269,subsection (d),local_structural,274(i),d,274(d),resolved,,"(d) Substantiation required No deduction or credit shall be allowed— (1) under section 162 or 212 for any traveling expense (including meals and lodging while away from home), (2) "
274,18683,18696,paragraph (2),local_structural,274(j)(1),2,274(j)(2),resolved,,"(2). (2) Deduction limitations The deduction for the cost of an employee achievement award made by an employer to an employee— (A) which is not a qualified plan award, when added t"
274,19846,19856,clause (i),local_structural,274(j)(3)(A)(ii),i,274(j)(3)(A)(i),resolved,,(i) In general The term “employee achievement award” means an item of tangible personal property which is— (I) transferred by an employer to an employee for length of service achie
274,21305,21319,paragraph (2) ,local_structural,274(j)(4)(A),2,274(j)(2),resolved,,"(2). (2) Deduction limitations The deduction for the cost of an employee achievement award made by an employer to an employee— (A) which is not a qualified plan award, when added t"
274,22164,22175,clause (ii),local_structural,274(j)(4)(C)(i),ii,274(j)(4)(C)(ii),resolved,,"(ii)), or (ii) such item is awarded to a manager, administrator, clerical employee, or other professional employee."
274,22615,22629,Paragraph (1) ,local_structural,274(k)(2),1,274(k)(1),resolved,,(1) In general No deduction shall be allowed under this chapter for the expense of any food or beverages unless— (A) such expense is not lavish or extravagant under the circumstanc
274,22678,22691,paragraph (2),local_structural,274(k)(2)(A),2,274(k)(2),resolved,,"(2) Exceptions Paragraph (1) shall not apply to— (A) any expense described in paragraph (2), (3), (4), (7), (8), or (9) of subsection (e), and (B) any other expense to the extent p"
274,22723,22737,subsection (e),local_structural,274(k)(2)(A),e,274(e),resolved,,(e) Specific exceptions to application of subsection (a) Subsection (a) shall not apply to— (1) Food and beverages for employees Expenses for food and beverages (and facilities use
274,23741,23758,Subparagraph (A) ,local_structural,274(m)(1)(B),A,274(m)(1)(A),resolved,,(A) In general No deduction shall be allowed under this chapter for expenses incurred for transportation by water to the extent such expenses exceed twice the aggregate per diem am
274,23915,23928,paragraph (2),local_structural,274(m)(1)(B)(ii),2,274(m)(2),resolved,,(2) Travel as form of education No deduction shall be allowed under this chapter for expenses for travel as a form of education.
