source_section,direct_refs,reachable_refs,prompt_chars,approx_tokens_4chars
1,35,1194,9400462,2350116
1000,0,0,1149,288
1001,5,1194,9400462,2350116
1002,0,0,1229,308
101,15,1194,9400462,2350116
1011,3,1194,9400462,2350116
1012,2,1194,9400462,2350116
1013,0,0,1296,324
1014,13,1194,9400462,2350116
1015,7,1194,9400462,2350116
1016,44,1194,9400462,2350116
1017,5,1194,9400462,2350116
1018,0,0,1209,303
1019,1,1,1822,456
102,2,1194,9400462,2350116
1020,0,0,1224,306
1021,0,0,1255,314
1022,0,0,1221,306
1023,1,1195,9400728,2350182
1024,0,0,1158,290
103,3,1194,9400462,2350116
1031,8,1194,9400462,2350116
1032,2,1195,9401071,2350268
1033,11,1194,9400462,2350116
1034,0,0,1218,305
1035,1,1194,9400462,2350116
1036,2,1194,9400462,2350116
1037,3,1194,9400462,2350116
1038,2,1195,9405445,2351362
1039,0,0,1229,308
103A,0,0,1225,307
104,7,1194,9400462,2350116
1040,1,1194,9400462,2350116
1041,0,0,2699,675
1042,19,1194,9400462,2350116
1043,1,1194,9400462,2350116
1044,0,0,1220,305
1045,3,1194,9400462,2350116
105,10,1194,9400462,2350116
1051,0,0,1232,308
1052,1,1,2603,651
1053,1,1195,9401043,2350261
1054,1,1195,9401016,2350254
1055,1,1194,9400462,2350116
1056,0,0,1228,307
1057,0,0,1221,306
1058,1,1194,9400462,2350116
1059,7,1194,9400462,2350116
1059A,1,1195,9401567,2350392
106,12,1194,9400462,2350116
1060,8,1194,9400462,2350116
1061,5,1195,9405359,2351340
1062,1,1195,9406310,2351578
1063,0,0,1489,373
107,0,0,1603,401
1071,0,0,1204,301
108,32,1194,9400462,2350116
109,0,0,1419,355
1091,2,1194,9400462,2350116
1092,8,1194,9400462,2350116
11,3,1194,9400462,2350116
110,1,1194,9400462,2350116
111,3,1194,9400462,2350116
1111,0,0,1224,306
112,1,1194,9400462,2350116
113,0,0,1226,307
114,0,0,1217,305
115,0,0,1514,379
116,0,0,1217,305
117,3,1194,9400462,2350116
118,4,1194,9400462,2350116
119,1,1194,9400462,2350116
12,4,1194,9400462,2350116
120,0,0,1233,309
1201,0,0,1226,307
1202,18,1194,9400462,2350116
121,11,1194,9400462,2350116
1211,0,0,1724,431
1212,7,1194,9400462,2350116
122,1,1194,9400462,2350116
1221,2,1194,9400462,2350116
1222,2,1194,9400462,2350116
1223,18,1194,9400462,2350116
123,0,0,2266,567
1231,4,1194,9400462,2350116
1233,5,1194,9400462,2350116
1234,3,1194,9400462,2350116
1234A,2,1195,9401192,2350298
1234B,4,1194,9400462,2350116
1235,3,1194,9400462,2350116
1236,1,1194,9400462,2350116
1237,1,1194,9400462,2350116
1238,0,0,1229,308
1239,4,1194,9400462,2350116
124,0,0,1226,307
1240,0,0,1224,306
1241,0,0,1491,373
1242,1,1194,9400462,2350116
1243,0,0,1624,406
1244,5,1194,9400462,2350116
1245,26,1194,9400462,2350116
1248,14,1194,9400462,2350116
