execution_number,timestamp,duration_ms,error,base_aggregate_columns,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,join_fanout,policy_column_count,query_type,row_count,run_num,variation_base_aggregate_columns,variation_join_fanout,variation_policy_columns,variation_row_count
1,2026-03-01T00:13:00.829549,16.36249991133809,,128,,True,,8.167874999344349,6.590874865651131,1,14.75874986499548,,8.194624911993742,7.9309591092169285,1,16.12558402121067,2,2,PHASE_COMPETITION,10000,1,128,2,2,10000
2,2026-03-01T00:13:00.893639,16.144791152328253,,128,,True,,6.943416316062212,5.552124697715044,1,12.495541013777256,,9.20137483626604,33.54274993762374,1,42.74412477388978,2,2,PHASE_COMPETITION,10000,2,128,2,2,10000
3,2026-03-01T00:13:00.931360,15.35683311522007,,128,,True,,7.303208112716675,5.942208226770163,1,13.245416339486837,,8.053625002503395,7.850124966353178,1,15.903749968856573,2,2,PHASE_COMPETITION,10000,3,128,2,2,10000
4,2026-03-01T00:13:00.978888,15.660709235817194,,128,,True,,7.423000410199165,6.144416052848101,1,13.567416463047266,,8.237708825618029,7.869250141084194,1,16.106958966702223,2,2,PHASE_COMPETITION,10000,4,128,2,2,10000
5,2026-03-01T00:13:01.016192,15.402291901409626,,128,,True,,7.295417133718729,5.981707945466042,1,13.27712507918477,,8.106874767690897,7.065207697451115,1,15.172082465142012,2,2,PHASE_COMPETITION,10000,5,128,2,2,10000
6,2026-03-01T00:13:01.095280,15.740291681140661,,128,,True,,7.131791673600674,6.274917162954807,1,13.406708836555481,,8.608500007539988,7.347375154495239,1,15.955875162035227,2,4,PHASE_COMPETITION,10000,1,128,2,4,10000
7,2026-03-01T00:13:01.134189,16.425249632447958,,128,,True,,8.001457899808884,5.625667050480843,1,13.627124950289726,,8.423791732639074,7.554832845926285,1,15.97862457856536,2,4,PHASE_COMPETITION,10000,2,128,2,4,10000
8,2026-03-01T00:13:01.174073,17.479583155363798,,128,,True,,8.169916924089193,5.67725021392107,1,13.847167138010263,,9.309666231274605,7.577667012810707,1,16.887333244085312,2,4,PHASE_COMPETITION,10000,3,128,2,4,10000
9,2026-03-01T00:13:01.213257,16.135459300130606,,128,,True,,7.632917258888483,6.392041686922312,1,14.024958945810795,,8.502542041242123,7.859666831791401,1,16.362208873033524,2,4,PHASE_COMPETITION,10000,4,128,2,4,10000
10,2026-03-01T00:13:01.251800,16.52070926502347,,128,,True,,7.87433423101902,5.652790889143944,1,13.527125120162964,,8.64637503400445,7.5706662610173225,1,16.217041295021772,2,4,PHASE_COMPETITION,10000,5,128,2,4,10000
11,2026-03-01T00:13:01.329784,15.890082810074091,,128,,True,,7.522541098296642,6.142791826277971,1,13.665332924574614,,8.367541711777449,8.168790955096483,1,16.536332666873932,2,8,PHASE_COMPETITION,10000,1,128,2,8,10000
12,2026-03-01T00:13:01.368585,16.395832877606153,,128,,True,,7.916832808405161,5.74991712346673,1,13.666749931871891,,8.479000069200993,7.689792197197676,1,16.16879226639867,2,8,PHASE_COMPETITION,10000,2,128,2,8,10000
13,2026-03-01T00:13:01.410498,17.98908319324255,,128,,True,,8.445083163678646,6.434249691665173,1,14.879332855343819,,9.544000029563904,7.869374938309193,1,17.413374967873096,2,8,PHASE_COMPETITION,10000,3,128,2,8,10000
14,2026-03-01T00:13:01.450317,16.585249919444323,,128,,True,,7.571958936750889,5.769208073616028,1,13.341167010366917,,9.013290982693434,8.070374839007854,1,17.083665821701288,2,8,PHASE_COMPETITION,10000,4,128,2,8,10000
15,2026-03-01T00:13:01.524576,17.31295930221677,,128,,True,,8.129250258207321,39.13533315062523,1,47.26458340883255,,9.183709044009447,7.7969166450202465,1,16.980625689029694,2,8,PHASE_COMPETITION,10000,5,128,2,8,10000
16,2026-03-01T00:13:01.610556,17.555084079504013,,128,,True,,8.552083745598793,6.806832738220692,1,15.358916483819485,,9.00300033390522,8.275874890387058,1,17.27887522429228,2,16,PHASE_COMPETITION,10000,1,128,2,16,10000
