execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_count,variation_join_matches,variation_num,variation_num_groups,variation_num_rows,variation_policy_threshold,variation_rows_to_remove,variation_type
1,2026-03-01T00:03:21.760674,5.197916179895401,,,True,,0.24850014597177505,0.5624173209071159,1,0.810917466878891,,0.3970409743487835,True,,0.8204174228012562,1,1.2174583971500397,,0.5863751284778118,0.9437496773898602,1,1.530124805867672,,0.29962463304400444,1,0.29962463304400444,0.45395782217383385,,0.8858330547809601,0.9210840798914433,1,1.339790876954794,1.339790876954794,1,SIMPLE_AGG,0,1,0,,,1,,1000,,,num_rows
2,2026-03-01T00:03:21.785190,4.781793337315321,,,True,,0.2600420266389847,0.5753748118877411,1,0.8354168385267258,,0.4117093048989773,True,,0.6892089731991291,1,1.1009182780981064,,0.35966699942946434,0.9101252071559429,1,1.2697922065854073,,0.23300014436244965,1,0.23300014436244965,0.4020407795906067,,0.9406250901520252,0.9057093411684036,1,1.342665869742632,1.342665869742632,1,SIMPLE_AGG,1,2,0,,,1,,1000,,,num_rows
3,2026-03-01T00:03:21.810160,4.996498581022024,,,True,,0.2093333750963211,0.5311248824000359,1,0.740458257496357,,0.32354099676012993,True,,0.6954167038202286,1,1.0189577005803585,,0.4215841181576252,0.9723748080432415,1,1.3939589262008667,,0.32179057598114014,1,0.32179057598114014,0.5622501485049725,,0.9590829722583294,1.0282499715685844,1,1.5213331207633018,1.5213331207633018,1,SIMPLE_AGG,2,3,0,,,1,,1000,,,num_rows
4,2026-03-01T00:03:21.834791,4.850543569773436,,,True,,0.253917183727026,0.49562472850084305,1,0.749541912227869,,0.40454138070344925,True,,0.7565421983599663,1,1.1610835790634155,,0.34691719338297844,1.013417262583971,1,1.3603344559669495,,0.24900026619434357,1,0.24900026619434357,0.4992503672838211,,0.8313329890370369,0.8347919210791588,1,1.330583356320858,1.330583356320858,1,SIMPLE_AGG,3,4,0,,,1,,1000,,,num_rows
5,2026-03-01T00:03:21.860169,5.520584527403116,,,True,,0.2682497724890709,0.5159168504178524,1,0.7841666229069233,,0.3977501764893532,True,,0.6973748095333576,1,1.0951249860227108,,0.4581250250339508,1.0144589468836784,1,1.4725839719176292,,0.32804207876324654,1,0.32804207876324654,0.6452919915318489,,1.1953748762607574,1.002333126962185,1,1.8406668677926064,1.8406668677926064,1,SIMPLE_AGG,4,5,0,,,1,,1000,,,num_rows
6,2026-03-01T00:03:21.911245,5.577583331614733,,,True,,0.24687498807907104,0.5064578726887703,1,0.7533328607678413,,0.40225032716989517,True,,0.7848748937249184,1,1.1871252208948135,,0.5692499689757824,1.0089999996125698,1,1.5782499685883522,,0.3084172494709492,1,0.3084172494709492,0.6436659023165703,,1.1067921295762062,0.845249742269516,1,1.7504580318927765,1.7504580318927765,1,SIMPLE_AGG,0,1,1,,,2,,10000,,,num_rows
7,2026-03-01T00:03:21.936414,5.195082165300846,,,True,,0.24704216048121452,0.48616575077176094,1,0.7332079112529755,,0.4104156978428364,True,,0.7872497662901878,1,1.1976654641330242,,0.44562527909874916,0.883874949067831,1,1.3295002281665802,,0.2661668695509434,1,0.2661668695509434,0.5168328061699867,,1.1517088860273361,0.8283331990242004,1,1.6685416921973228,1.6685416921973228,1,SIMPLE_AGG,1,2,1,,,2,,10000,,,num_rows
8,2026-03-01T00:03:21.962143,5.8834184892475605,,,True,,0.23637525737285614,0.6130421534180641,1,0.8494174107909203,,0.41666673496365547,True,,0.6830831989645958,1,1.0997499339282513,,0.67145936191082,1.33050000295043,1,2.00195936486125,,0.3028339706361294,1,0.3028339706361294,0.5372497253119946,,1.0922080837190151,1.1463752016425133,1,1.6294578090310097,1.6294578090310097,1,SIMPLE_AGG,2,3,1,,,2,,10000,,,num_rows
9,2026-03-01T00:03:21.987274,5.148041527718306,,,True,,0.28245802968740463,0.49170805141329765,1,0.7741660811007023,,0.4465421661734581,True,,0.698666088283062,1,1.14520825445652,,0.4028342664241791,0.8782497607171535,1,1.2810840271413326,,0.30795810744166374,1,0.30795810744166374,0.4913751035928726,,1.1482499539852142,0.9524165652692318,1,1.6396250575780869,1.6396250575780869,1,SIMPLE_AGG,3,4,1,,,2,,10000,,,num_rows
10,2026-03-01T00:03:22.012793,5.335373338311911,,,True,,0.2758330665528774,0.5807089619338512,1,0.8565420284867287,,0.4163328558206558,True,,0.7834578864276409,1,1.1997907422482967,,0.40175020694732666,0.9660827927291393,1,1.367832999676466,,0.25008292868733406,1,0.25008292868733406,0.5096248351037502,,1.151499804109335,0.9992080740630627,1,1.6611246392130852,1.6611246392130852,1,SIMPLE_AGG,4,5,1,,,2,,10000,,,num_rows
