execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_dfc_1phase_time_ms,umbra_dfc_2phase_time_ms,umbra_logical_time_ms,umbra_time_ms,postgres_dfc_1phase_time_ms,postgres_dfc_2phase_time_ms,postgres_logical_time_ms,postgres_time_ms,datafusion_dfc_1phase_time_ms,datafusion_dfc_2phase_time_ms,datafusion_logical_time_ms,datafusion_time_ms,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_1phase_correctness_error,sqlserver_dfc_1phase_correctness_match,sqlserver_dfc_1phase_error,sqlserver_dfc_1phase_rows,sqlserver_dfc_1phase_time_ms,sqlserver_dfc_2phase_correctness_error,sqlserver_dfc_2phase_correctness_match,sqlserver_dfc_2phase_error,sqlserver_dfc_2phase_rows,sqlserver_dfc_2phase_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms
1,2026-02-16T02:07:48.912663,9174.248748924583,,,True,,36.0495001077652,3.804208943620324,4,39.85370905138552,,42.36108297482133,2.7263329830020666,4,45.08741595782339,,108.65524993278086,4.739666124805808,4,113.39491605758668,,55.654124822467566,4,55.654124822467566,q01,1,1.0,30.974291963502765,57.02337506227195,36.64891701191664,58.31525009125471,853.9007499348372,1156.5504160244018,3657.830291893333,888.2932499982417,287.11612499319017,609.8399998154491,842.4923750571907,312.4118749983609,,True,,True,,4,8628.588082734495,,True,,4,12441.831499803811,,,True,,4,18606.230415869504,4,8289.719707798213
2,2026-02-16T02:08:27.312996,9270.425375085324,,,True,,36.15408297628164,3.5749170929193497,4,39.72900006920099,,45.19874998368323,2.7263329830020666,4,47.925082966685295,,111.7625420447439,4.899791907519102,4,116.662333952263,,36.47550009191036,4,36.47550009191036,q01,1,1.0,30.51404212601483,53.5752079449594,37.41850005462766,46.33395792916417,842.9944158997387,1142.647415865213,3604.332249844447,803.8625831250101,292.5965830218047,544.4447079207748,778.2567089889199,306.2276248820126,,True,,True,,4,8562.739208806306,,True,,4,12589.200207963586,,,True,,4,18632.92216602713,4,8363.485040608793
3,2026-02-16T02:09:05.597857,9096.737331943586,,,True,,46.70608299784362,2.2202502004802227,4,48.926333198323846,,44.946332927793264,3.199082799255848,4,48.14541572704911,,93.88458309695125,4.490124993026257,4,98.3747080899775,,37.139083025977015,4,37.139083025977015,q01,1,1.0,30.00970813445747,54.136957973241806,37.211667047813535,44.025874929502606,1021.3596250396222,1460.9257918782532,4520.886667072773,865.1119999121875,797.228290932253,1565.3371249791237,1711.49241598323,539.1531668137759,,True,,True,,4,8533.97283423692,,True,,4,12559.81562519446,,,True,,4,18600.099292118102,4,8340.265083126724
4,2026-02-16T02:09:44.011614,9072.785750264302,,,True,,34.48162507265806,2.956999931484461,4,37.43862500414252,,39.81925011612475,2.570665907114744,4,42.38991602323949,,93.83212495595215,5.042416974902153,4,98.87454193085432,,37.78558410704136,4,37.78558410704136,q01,1,1.0,59.5535000320524,102.91229211725296,78.4883750602603,70.47654199413955,1386.9221250060946,1901.105707976967,4489.532916108146,1420.5031250603497,629.7094158362597,1588.431749958545,1925.4034168552607,502.93045793659985,,True,,True,,4,8605.098249856383,,True,,4,12601.284416858109,,,True,,4,19986.527166794986,4,8347.542166244239
5,2026-02-16T02:10:22.648595,9147.665708791465,,,True,,35.00599996186793,2.1203330252319574,4,37.126332987099886,,41.95462493225932,2.664749976247549,4,44.61937490850687,,96.8895829282701,5.136874970048666,4,102.02645789831875,,37.7663339022547,4,37.7663339022547,q01,1,1.0,69.6530828718096,118.96470794454216,78.86712509207428,70.53083297796547,1404.0712090209126,1904.950167052448,5227.656832896173,1487.7299999352545,626.5941669698805,1476.814417168498,1811.0633338801565,509.64645901694894,,True,,True,,4,8495.983083732426,,True,,4,12519.696875009686,,,True,,4,18709.67150013894,4,8216.62791678682
6,2026-02-16T02:10:28.193512,814.2510009929538,,,True,,21.05966699309647,4.416416864842176,10,25.476083857938647,,39.93708407506347,2.9061660170555115,10,42.84325009211898,,21.937166107818484,4.2365421541035175,10,26.173708261922,,23.243499919772148,10,23.243499919772148,q03,3,1.0,14.55966685898602,33.40029087848961,19.925707951188087,14.243707992136478,409.7232921048999,799.1407918743789,736.888290848583,431.1527090612799,593.4199159964919,1224.202583078295,1221.0224580485374,545.5813331063837,,True,,True,,10,667.4660840071738,,True,,10,1348.8725000061097,,,True,,10,1237.568833865225,10,695.7137500867248
7,2026-02-16T02:10:31.214066,763.5726679582149,,,True,,17.889459151774645,4.587541799992323,10,22.477000951766968,,31.21491684578359,3.018875140696764,10,34.233791986480355,,21.720250137150288,4.203749820590019,10,25.923999957740307,,20.409292075783014,10,20.409292075783014,q03,3,1.0,10.662166867405176,23.02700001746416,20.591665990650657,24.34095903299749,399.2042080499232,781.2900829594582,718.0648329667747,434.14341704919934,604.7952079679817,1159.236584091559,1176.7019578255713,531.1236251145601,,True,,True,,10,725.460291840136,,True,,10,1345.6563749350607,,,True,,10,1220.3900828026235,10,665.3630002401769
8,2026-02-16T02:10:35.272288,1125.0746250152588,,,True,,19.021457992494103,5.450499942526221,10,24.471957935020328,,31.62995888851583,2.852375153452158,10,34.48233404196799,,25.79737501218915,4.217291017994285,10,30.01466603018343,,20.41954197920859,10,20.41954197920859,q03,3,1.0,10.1006249897182,23.218041053041816,19.389791879802942,26.333499932661653,421.6655830387026,768.133208155632,723.3145001810044,401.1494170408696,586.5677089896053,1126.1249999515712,1152.2609998937696,518.4241668321192,,True,,True,,10,685.5327500961721,,True,,10,1440.8172918483615,,,True,,10,1210.8877077698708,10,656.0084582306445
9,2026-02-16T02:10:37.975365,748.053123941645,,,True,,19.186167046427727,4.098040983080864,10,23.28420802950859,,32.06720785237849,4.007833078503609,10,36.075040930882096,,22.10766705684364,4.251374863088131,10,26.35904191993177,,22.034958004951477,10,22.034958004951477,q03,3,1.0,14.87895892933011,20.32599993981421,17.152166925370693,19.92912497371435,385.1195832248777,774.138499982655,696.886083111167,397.360207978636,583.7537918705493,1098.123958101496,1137.1428749989718,525.2874169964343,,True,,True,,10,661.7533750832081,,True,,10,1314.2349999397993,,,True,,10,1300.8091249503195,10,741.4173749275506
10,2026-02-16T02:10:40.685897,743.7574591021985,,,True,,19.41870804876089,4.110250156372786,10,23.528958205133677,,34.80808297172189,2.992291934788227,10,37.800374906510115,,23.417958989739414,5.0172090996056795,10,28.435168089345098,,18.22558301500976,10,18.22558301500976,q03,3,1.0,15.63408295623958,23.829624988138676,18.917083041742444,19.29904101416469,387.70970911718905,759.8063750192523,674.1376251447946,424.794957973063,567.522041965276,1060.6102920137346,1115.906334016472,518.7302080448717,,True,,True,,10,696.1009576916695,,True,,10,1321.20474986732,,,True,,10,1344.0657081082463,10,644.136625342071
