execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_optimized_error,dfc_1phase_optimized_exec_time_ms,dfc_1phase_optimized_match,dfc_1phase_optimized_match_error,dfc_1phase_optimized_rewrite_time_ms,dfc_1phase_optimized_rows,dfc_1phase_optimized_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,policy_count,query_name,query_num,run_num,tpch_sf
1,2026-02-28T14:15:47.153166,58.54075029492378,,,True,,27.16349996626377,,31.37725032866001,True,,0.0,4,31.37725032866001,0.0,4,27.16349996626377,1,q01,1,1,1.0
2,2026-02-28T14:15:47.208312,55.083584040403366,,,True,,27.90920902043581,,27.174375019967556,True,,0.0,4,27.174375019967556,0.0,4,27.90920902043581,1,q01,1,2,1.0
3,2026-02-28T14:15:47.262996,54.614041931927204,,,True,,27.323542162775993,,27.29049976915121,True,,0.0,4,27.29049976915121,0.0,4,27.323542162775993,1,q01,1,3,1.0
4,2026-02-28T14:15:47.319763,56.69945804402232,,,True,,28.738624881953,,27.96083316206932,True,,0.0,4,27.96083316206932,0.0,4,28.738624881953,1,q01,1,4,1.0
5,2026-02-28T14:15:47.376752,56.91812513396144,,,True,,28.31120789051056,,28.60691724345088,True,,0.0,4,28.60691724345088,0.0,4,28.31120789051056,1,q01,1,5,1.0
6,2026-02-28T14:15:47.490206,55.92179112136364,,,True,,28.82062504068017,,27.10116608068347,True,,0.0,4,27.10116608068347,0.0,4,28.82062504068017,2,q01,1,1,1.0
7,2026-02-28T14:15:47.545675,55.41179096326232,,,True,,27.681208215653896,,27.730582747608423,True,,0.0,4,27.730582747608423,0.0,4,27.681208215653896,2,q01,1,2,1.0
8,2026-02-28T14:15:47.600591,54.85737510025501,,,True,,27.197291143238544,,27.660083957016468,True,,0.0,4,27.660083957016468,0.0,4,27.197291143238544,2,q01,1,3,1.0
9,2026-02-28T14:15:47.654298,53.6488750949502,,,True,,26.869875378906727,,26.778999716043472,True,,0.0,4,26.778999716043472,0.0,4,26.869875378906727,2,q01,1,4,1.0
10,2026-02-28T14:15:47.708471,54.119999054819345,,,True,,27.236333116889,,26.883665937930346,True,,0.0,4,26.883665937930346,0.0,4,27.236333116889,2,q01,1,5,1.0
11,2026-02-28T14:15:47.816668,53.599458653479815,,,True,,27.175374794751406,,26.42408385872841,True,,0.0,4,26.42408385872841,0.0,4,27.175374794751406,4,q01,1,1,1.0
12,2026-02-28T14:15:47.875387,58.664665557444096,,,True,,31.58754063770175,,27.077124919742346,True,,0.0,4,27.077124919742346,0.0,4,31.58754063770175,4,q01,1,2,1.0
13,2026-02-28T14:15:47.929415,53.977333940565586,,,True,,26.74316707998514,,27.234166860580444,True,,0.0,4,27.234166860580444,0.0,4,26.74316707998514,4,q01,1,3,1.0
14,2026-02-28T14:15:47.984129,54.66604186221957,,,True,,27.88112498819828,,26.78491687402129,True,,0.0,4,26.78491687402129,0.0,4,27.88112498819828,4,q01,1,4,1.0
15,2026-02-28T14:15:48.039087,54.90604182705283,,,True,,27.5715421885252,,27.33449963852763,True,,0.0,4,27.33449963852763,0.0,4,27.5715421885252,4,q01,1,5,1.0
16,2026-02-28T14:15:48.155868,63.00654076039791,,,True,,33.875790890306234,,29.130749870091677,True,,0.0,4,29.130749870091677,0.0,4,33.875790890306234,8,q01,1,1,1.0
17,2026-02-28T14:15:48.210301,54.37645874917507,,,True,,27.547791600227356,,26.828667148947716,True,,0.0,4,26.828667148947716,0.0,4,27.547791600227356,8,q01,1,2,1.0
18,2026-02-28T14:15:48.264941,54.585082456469536,,,True,,27.570165693759918,,27.014916762709618,True,,0.0,4,27.014916762709618,0.0,4,27.570165693759918,8,q01,1,3,1.0
19,2026-02-28T14:15:48.319333,54.34383312240243,,,True,,27.069457806646824,,27.274375315755606,True,,0.0,4,27.274375315755606,0.0,4,27.069457806646824,8,q01,1,4,1.0
20,2026-02-28T14:15:48.372690,53.30670811235905,,,True,,26.3112080283463,,26.995500084012747,True,,0.0,4,26.995500084012747,0.0,4,26.3112080283463,8,q01,1,5,1.0
21,2026-02-28T14:15:48.480491,53.63795813173056,,,True,,26.9704582169652,,26.667499914765358,True,,0.0,4,26.667499914765358,0.0,4,26.9704582169652,16,q01,1,1,1.0
22,2026-02-28T14:15:48.533479,52.947415970265865,,,True,,26.31945814937353,,26.627957820892334,True,,0.0,4,26.627957820892334,0.0,4,26.31945814937353,16,q01,1,2,1.0
23,2026-02-28T14:15:48.587138,53.61558450385928,,,True,,27.294667437672615,,26.320917066186666,True,,0.0,4,26.320917066186666,0.0,4,27.294667437672615,16,q01,1,3,1.0
24,2026-02-28T14:15:48.640678,53.49233280867338,,,True,,26.60879073664546,,26.88354207202792,True,,0.0,4,26.88354207202792,0.0,4,26.60879073664546,16,q01,1,4,1.0
25,2026-02-28T14:15:48.694768,54.042873904109,,,True,,27.381082996726036,,26.661790907382965,True,,0.0,4,26.661790907382965,0.0,4,27.381082996726036,16,q01,1,5,1.0
26,2026-02-28T14:15:48.808638,59.83245884999633,,,True,,28.108291793614626,,31.724167056381702,True,,0.0,4,31.724167056381702,0.0,4,28.108291793614626,32,q01,1,1,1.0
27,2026-02-28T14:15:48.869387,60.69804122671485,,,True,,33.313500229269266,,27.384540997445583,True,,0.0,4,27.384540997445583,0.0,4,33.313500229269266,32,q01,1,2,1.0
28,2026-02-28T14:15:48.923399,53.957833442837,,,True,,26.87537530437112,,27.08245813846588,True,,0.0,4,27.08245813846588,0.0,4,26.87537530437112,32,q01,1,3,1.0
29,2026-02-28T14:15:48.977290,53.843915928155184,,,True,,27.151749935001135,,26.69216599315405,True,,0.0,4,26.69216599315405,0.0,4,27.151749935001135,32,q01,1,4,1.0
30,2026-02-28T14:15:49.030817,53.481625858694315,,,True,,26.635834015905857,,26.845791842788458,True,,0.0,4,26.845791842788458,0.0,4,26.635834015905857,32,q01,1,5,1.0
31,2026-02-28T14:15:49.138117,53.385999985039234,,,True,,27.01504109427333,,26.370958890765905,True,,0.0,4,26.370958890765905,0.0,4,27.01504109427333,64,q01,1,1,1.0
32,2026-02-28T14:15:49.192557,54.383665788918734,,,True,,27.550083119422197,,26.833582669496536,True,,0.0,4,26.833582669496536,0.0,4,27.550083119422197,64,q01,1,2,1.0
33,2026-02-28T14:15:49.246290,53.68725024163723,,,True,,27.03933324664831,,26.64791699498892,True,,0.0,4,26.64791699498892,0.0,4,27.03933324664831,64,q01,1,3,1.0
34,2026-02-28T14:15:49.299675,53.334875497967005,,,True,,26.964375283569098,,26.370500214397907,True,,0.0,4,26.370500214397907,0.0,4,26.964375283569098,64,q01,1,4,1.0
35,2026-02-28T14:15:49.353187,53.461707662791014,,,True,,27.08987472578883,,26.371832937002182,True,,0.0,4,26.371832937002182,0.0,4,27.08987472578883,64,q01,1,5,1.0
36,2026-02-28T14:15:49.463450,55.37183303385973,,,True,,27.93633285909891,,27.43550017476082,True,,0.0,4,27.43550017476082,0.0,4,27.93633285909891,128,q01,1,1,1.0
37,2026-02-28T14:15:49.517571,54.07333420589566,,,True,,27.895959094166756,,26.177375111728907,True,,0.0,4,26.177375111728907,0.0,4,27.895959094166756,128,q01,1,2,1.0
38,2026-02-28T14:15:49.571690,54.07337471842766,,,True,,27.62220799922943,,26.451166719198227,True,,0.0,4,26.451166719198227,0.0,4,27.62220799922943,128,q01,1,3,1.0
39,2026-02-28T14:15:49.626097,54.36083301901817,,,True,,28.09562487527728,,26.265208143740892,True,,0.0,4,26.265208143740892,0.0,4,28.09562487527728,128,q01,1,4,1.0
40,2026-02-28T14:15:49.680551,54.40924922004342,,,True,,28.184833005070686,,26.224416214972734,True,,0.0,4,26.224416214972734,0.0,4,28.184833005070686,128,q01,1,5,1.0
41,2026-02-28T14:15:49.794874,58.14620805904269,,,True,,29.891583137214184,,28.25462492182851,True,,0.0,4,28.25462492182851,0.0,4,29.891583137214184,256,q01,1,1,1.0
42,2026-02-28T14:15:49.851087,56.15854077041149,,,True,,29.379332903772593,,26.7792078666389,True,,0.0,4,26.7792078666389,0.0,4,29.379332903772593,256,q01,1,2,1.0
43,2026-02-28T14:15:49.908686,57.54841584712267,,,True,,30.186832882463932,,27.361582964658737,True,,0.0,4,27.361582964658737,0.0,4,30.186832882463932,256,q01,1,3,1.0
44,2026-02-28T14:15:49.964015,55.284541100263596,,,True,,29.06995778903365,,26.214583311229944,True,,0.0,4,26.214583311229944,0.0,4,29.06995778903365,256,q01,1,4,1.0
45,2026-02-28T14:15:50.019237,55.17237540334463,,,True,,28.88579200953245,,26.28658339381218,True,,0.0,4,26.28658339381218,0.0,4,28.88579200953245,256,q01,1,5,1.0
