execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,query_name,query_num,tpch_sf
1,2026-02-28T21:12:39.555414,4037.6167073845863,,,True,,268.520874902606,1.9419160671532154,4,270.4627909697592,,320.1626669615507,True,,2.3819999769330025,4,322.5446669384837,,829.7137501649559,4.142958205193281,4,833.8567083701491,,344.2178750410676,4,344.2178750410676,443.8068331219256,,1822.727832943201,4.465791862457991,4,2266.5346660651267,2266.5346660651267,q01,1,10.0
2,2026-02-28T21:12:44.354150,4039.467209484428,,,True,,272.2046668641269,1.6614580526947975,4,273.8661249168217,,322.30712473392487,True,,2.3733340203762054,4,324.68045875430107,,836.3437079824507,3.9443750865757465,4,840.2880830690265,,259.48695885017514,4,259.48695885017514,455.57079231366515,,1885.5747915804386,3.7398752756416798,4,2341.1455838941038,2341.1455838941038,q01,1,10.0
3,2026-02-28T21:12:49.185937,4064.16879221797,,,True,,262.7122923731804,2.900166902691126,4,265.6124592758715,,324.4435419328511,True,,2.5069578550755978,4,326.9504997879267,,854.2682081460953,4.132249858230352,4,858.4004580043256,,305.655584204942,4,305.655584204942,476.8659579567611,,1830.683832988143,4.3361252173781395,4,2307.549790944904,2307.549790944904,q01,1,10.0
4,2026-02-28T21:12:53.868072,3970.2674173749983,,,True,,252.04529101029038,2.0492500625550747,4,254.09454107284546,,324.1164591163397,True,,2.384417224675417,4,326.5008763410151,,815.0448747910559,4.2280410416424274,4,819.2729158326983,,259.8992921411991,4,259.8992921411991,427.60375002399087,,1882.8960419632494,3.481375053524971,4,2310.4997919872403,2310.4997919872403,q01,1,10.0
5,2026-02-28T21:12:58.839271,4189.207457005978,,,True,,255.43312542140484,1.9194157794117928,4,257.35254120081663,,389.22995794564486,True,,2.32158275321126,4,391.5515406988561,,818.0647920817137,4.076375160366297,4,822.14116724208,,277.84004202112556,4,277.84004202112556,425.0415829010308,,2015.2805829420686,5.202916916459799,4,2440.3221658430994,2440.3221658430994,q01,1,10.0
6,2026-02-28T21:13:00.559598,765.4752489179373,,,True,,132.25824991241097,3.4729172475636005,10,135.73116715997458,,217.2965002246201,True,,2.913957927376032,10,220.21045815199614,,114.62379107251763,30.515666119754314,10,145.13945719227195,,112.81175026670098,10,112.81175026670098,123.48979106172919,,28.092625085264444,2.8143334202468395,10,151.58241614699364,151.58241614699364,q03,3,10.0
7,2026-02-28T21:13:01.370848,773.0973777361214,,,True,,134.70820896327496,3.7219589576125145,10,138.43016792088747,,238.41562494635582,True,,2.8786668553948402,10,241.29429180175066,,120.47129217535257,4.255292005836964,10,124.72658418118954,,113.18241665139794,10,113.18241665139794,123.99145914241672,,31.47245803847909,2.8330418281257153,10,155.4639171808958,155.4639171808958,q03,3,10.0
8,2026-02-28T21:13:02.168366,760.1570831611753,,,True,,128.7049581296742,3.6317910999059677,10,132.33674922958016,,221.16220882162452,True,,3.3941250294446945,10,224.5563338510692,,116.54254188761115,4.262708127498627,10,120.80525001510978,,121.05249986052513,10,121.05249986052513,124.27674978971481,,37.12950041517615,2.8502908535301685,10,161.40625020489097,161.40625020489097,q03,3,10.0
9,2026-02-28T21:13:02.961802,753.9207497611642,,,True,,132.58320838212967,3.620750270783901,10,136.20395865291357,,219.12254067137837,True,,2.9443749226629734,10,222.06691559404135,,119.65595791116357,4.205083940178156,10,123.86104185134172,,115.169667173177,10,115.169667173177,128.78087488934398,,27.838291600346565,3.7716669030487537,10,156.61916648969054,156.61916648969054,q03,3,10.0
10,2026-02-28T21:13:03.825303,820.4416246153414,,,True,,125.9499997831881,3.5102912224829197,10,129.46029100567102,,226.11933294683695,True,,2.938750199973583,10,229.05808314681053,,121.2518340907991,4.285833332687616,10,125.53766742348671,,116.53983313590288,10,116.53983313590288,182.81862465664744,,37.027125246822834,3.301499877125025,10,219.84574990347028,219.84574990347028,q03,3,10.0
11,2026-02-28T21:13:11.700834,2964.7264177910984,,,True,,478.47995767369866,4.985208157449961,5,483.4651658311486,,664.7691666148603,True,,3.231958020478487,5,668.0011246353388,,1676.6690840013325,3.1975843012332916,5,1679.8666683025658,,133.39345902204514,5,133.39345902204514,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q04,4,10.0
12,2026-02-28T21:13:14.023021,2315.001874230802,,,True,,369.9220409616828,4.152833018451929,5,374.0748739801347,,488.0493329837918,True,,3.0141249299049377,5,491.06345791369677,,1127.4305833503604,2.7918340638279915,5,1130.2224174141884,,319.6411249227822,5,319.6411249227822,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q04,4,10.0
13,2026-02-28T21:13:16.142111,2115.3355413116515,,,True,,327.92537519708276,2.5233332999050617,5,330.4487084969878,,569.7756251320243,True,,2.93654203414917,5,572.7121671661735,,1041.2304578348994,2.818166743963957,5,1044.0486245788634,,168.1260410696268,5,168.1260410696268,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q04,4,10.0
14,2026-02-28T21:13:18.099754,1954.0612511336803,,,True,,356.2233750708401,4.097833298146725,5,360.32120836898685,,472.6581247523427,True,,3.189458977431059,5,475.84758372977376,,986.2281670793891,3.0626249499619007,5,989.290792029351,,128.60166700556874,5,128.60166700556874,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q04,4,10.0
15,2026-02-28T21:13:20.416039,2312.0789560489357,,,True,,597.4502912722528,2.5344169698655605,5,599.9847082421184,,483.9433329179883,True,,3.297416027635336,5,487.24074894562364,,1080.7174160145223,14.45662509649992,5,1095.1740411110222,,129.67945775017142,5,129.67945775017142,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q04,4,10.0
16,2026-02-28T21:13:23.240468,1452.5634166784585,,,True,,264.3555412068963,2.147334162145853,5,266.50287536904216,,272.62487495318055,True,,7.416916079819202,5,280.04179103299975,,514.0984579920769,4.906666930764914,5,519.0051249228418,,141.1913330666721,5,141.1913330666721,176.91587517037988,,68.90641711652279,3.3998750150203705,5,245.82229228690267,245.82229228690267,q05,5,10.0
17,2026-02-28T21:13:25.346722,2045.6051682122052,,,True,,200.72470931336284,2.747124992311001,5,203.47183430567384,,363.49499970674515,True,,3.0975420959293842,5,366.59254180267453,,705.7259581051767,5.76250022277236,5,711.488458327949,,351.8509166315198,5,351.8509166315198,335.06379183381796,,77.13762531057,3.649749793112278,5,412.20141714438796,412.20141714438796,q05,5,10.0
18,2026-02-28T21:13:26.421851,1031.6567476838827,,,True,,153.24383275583386,2.509749960154295,5,155.75358271598816,,253.3383327536285,True,,3.162750042974949,5,256.50108279660344,,260.81366557627916,5.059542134404182,5,265.87320771068335,,146.79341670125723,5,146.79341670125723,140.4421660117805,,66.29329174757004,3.2740412279963493,5,206.73545775935054,206.73545775935054,q05,5,10.0
