execution_number,timestamp,duration_ms,error,query_name,query_num,tpch_sf,no_policy_exec_time_ms,dfc_exec_time_ms,logical_exec_time_ms
1,2026-02-10T10:04:44.007544,270.5969603266567,,q01,1,1.0,47.369000036269426,50.15949998050928,116.59558420069516
2,2026-02-10T10:04:44.149150,110.62850011512636,,q03,3,1.0,23.736624978482723,28.91275007277727,37.0082501322031
3,2026-02-10T10:04:44.565477,211.26300026662648,,q04,4,1.0,22.727792151272297,46.99920816347003,118.0299581028521
4,2026-02-10T10:04:44.705966,112.3833330348134,,q05,5,1.0,25.255833053961396,25.132833048701286,44.82054198160768
5,2026-02-10T10:04:44.755862,33.68795895949006,,q06,6,1.0,6.341292057186365,6.466750055551529,14.570249943062665
6,2026-02-10T10:04:45.178031,384.414748987183,,q07,7,1.0,60.63129100948572,58.401166927069426,235.5284581426531
7,2026-02-10T10:04:45.415650,161.41533409245312,,q08,8,1.0,20.883334102109075,23.458292009308938,76.11187500879169
8,2026-02-10T10:05:36.105853,50588.723375229165,,q09,9,1.0,62.70312494598329,54.659583140164614,1000.0
9,2026-02-10T10:05:36.579474,403.75649905763566,,q10,10,1.0,164.4152500666678,73.24912515468895,85.77287499792874
10,2026-02-10T10:05:36.736150,127.63633392751215,,q12,12,1.0,32.37820789217949,17.72083411924541,32.89270796813071
11,2026-02-10T10:05:36.820358,64.21516626141965,,q14,14,1.0,17.350291134789586,15.08070807904005,21.26254211179912
12,2026-02-10T10:05:37.293306,386.9280400685966,,q18,18,1.0,97.02612506225704,47.3832911811769,131.2947920523584
13,2026-02-10T10:05:37.489218,119.04137628152966,,q19,19,1.0,27.09225006401539,22.598874988034368,45.70083413273096
14,2026-02-10T10:05:37.860187,287.26766793988645,,q01,1,1.0,51.46191688254475,49.89333404228091,126.03870895691216
15,2026-02-10T10:05:38.057207,153.2835413236171,,q03,3,1.0,22.227875189855695,20.07958292961121,30.438499990850687
16,2026-02-10T10:05:38.623226,230.2675419487059,,q04,4,1.0,46.95583297871053,47.77954192832112,109.68762496486306
17,2026-02-10T10:05:38.763966,110.87083187885582,,q05,5,1.0,28.514874866232276,23.518041940405965,42.050540912896395
18,2026-02-10T10:05:38.812393,31.97137382812798,,q06,6,1.0,6.193583132699132,6.195958005264401,13.239583000540732
19,2026-02-10T10:05:39.227688,375.6573321297765,,q07,7,1.0,50.1459171064198,52.39995801821351,240.87662482634187
20,2026-02-10T10:05:39.457815,153.72925205156207,,q08,8,1.0,20.342084113508463,25.528999976813793,71.76474994048476
21,2026-02-10T10:06:15.213742,35666.59216606058,,q09,9,1.0,52.43300017900765,49.9031669460237,1000.0
22,2026-02-10T10:06:15.596917,325.1060431357473,,q10,10,1.0,102.22412506118415,62.807041918858886,86.52895805425942
23,2026-02-10T10:06:15.750731,127.35112640075386,,q12,12,1.0,30.81554197706282,18.102708039805293,34.4258330296725
24,2026-02-10T10:06:15.831035,61.09745684079826,,q14,14,1.0,14.880042057484388,13.702166033908725,21.611541975289583
25,2026-02-10T10:06:16.260993,347.47129236347973,,q18,18,1.0,91.71783295460044,47.33108403161168,125.99312514066696
26,2026-02-10T10:06:16.393182,107.8245418611914,,q19,19,1.0,24.410208920016885,22.721624933183193,43.13579108566046
27,2026-02-10T10:06:16.751429,276.6027911566198,,q01,1,1.0,50.40654190815985,50.4187501501292,123.26800008304416
28,2026-02-10T10:06:16.878587,96.00604278966784,,q03,3,1.0,21.5296670794487,23.591874865815043,34.78137496858835
29,2026-02-10T10:06:17.321857,227.63520781882107,,q04,4,1.0,20.383666967973113,61.32770818658173,128.99337499402463
30,2026-02-10T10:06:17.469611,112.06566775217652,,q05,5,1.0,26.7944170627743,26.324083097279072,44.52062491327524
31,2026-02-10T10:06:17.515801,31.267917016521096,,q06,6,1.0,6.328708026558161,6.1841250862926245,13.051292160525918
32,2026-02-10T10:06:17.928711,379.57249814644456,,q07,7,1.0,51.022041123360395,50.06566597148776,247.98145820386708
33,2026-02-10T10:06:18.161271,161.53029189445078,,q08,8,1.0,22.32500002719462,22.759250132367015,78.2084169331938
34,2026-02-10T10:06:51.526710,33271.986541803926,,q09,9,1.0,63.73995798639953,58.59599984250963,1000.0
35,2026-02-10T10:06:51.928044,341.99666627682745,,q10,10,1.0,105.2676250692457,60.00575004145503,89.37912504188716
36,2026-02-10T10:06:52.086642,130.38945733569562,,q12,12,1.0,31.355791026726365,19.243207992985845,35.67895805463195
37,2026-02-10T10:06:52.174440,67.68350093625486,,q14,14,1.0,18.614958971738815,15.070166904479263,22.379792062565684
38,2026-02-10T10:06:52.689649,413.58741791918874,,q18,18,1.0,91.7063751257956,49.55145879648626,126.74325006082654
39,2026-02-10T10:06:52.845055,121.1018750909716,,q19,19,1.0,32.28820813819766,24.836957920342684,41.25033412128687
40,2026-02-10T10:06:53.193676,274.27670755423605,,q01,1,1.0,48.109125113114715,53.41604189015925,115.843707928434
41,2026-02-10T10:06:53.320787,95.38141707889736,,q03,3,1.0,21.148042054846883,22.776291938498616,30.40387504734099
42,2026-02-10T10:06:53.732005,200.70899883285165,,q04,4,1.0,20.54325002245605,46.84258298948407,107.27379098534584
43,2026-02-10T10:06:53.890900,117.72412504069509,,q05,5,1.0,31.08029207214713,23.467040853574872,45.83879210986197
44,2026-02-10T10:06:53.941167,33.00229203887284,,q06,6,1.0,6.408541928976774,6.387874949723482,14.247833052650094
45,2026-02-10T10:06:54.342683,363.7367079500109,,q07,7,1.0,51.32912495173514,53.859208011999726,226.765374885872
46,2026-02-10T10:06:54.569485,156.7149159964174,,q08,8,1.0,21.61154104396701,22.87104190327227,76.22299995273352
47,2026-02-10T10:07:33.453953,38769.622416934,,q09,9,1.0,54.92299981415272,53.7818749435246,1000.0
48,2026-02-10T10:07:33.946057,432.704791193828,,q10,10,1.0,154.17737513780594,73.0215001385659,91.60137502476572
49,2026-02-10T10:07:34.116152,138.67662381380796,,q12,12,1.0,33.88704196549952,22.46487489901483,44.07579102553427
50,2026-02-10T10:07:34.208066,69.31529147550464,,q14,14,1.0,21.922416985034943,14.083624817430971,22.39675004966557
51,2026-02-10T10:07:34.809781,502.66133318655193,,q18,18,1.0,220.71258397772908,53.19720809347928,137.60070805437863
52,2026-02-10T10:07:34.950722,116.3490826729685,,q19,19,1.0,30.118707800284028,22.123541915789247,37.57874993607402
53,2026-02-10T10:07:35.298421,268.99154181592166,,q01,1,1.0,48.94579201936722,49.03066693805158,113.70958294719458
54,2026-02-10T10:07:35.422373,92.21874875947832,,q03,3,1.0,22.39445806480944,19.869916839525104,29.04170798137784
55,2026-02-10T10:07:35.801793,199.67820844613016,,q04,4,1.0,21.86979097314179,44.65266712941229,110.20908318459988
56,2026-02-10T10:07:35.947796,107.02729411423206,,q05,5,1.0,27.255541877821088,24.676583940163255,41.0307920537889
57,2026-02-10T10:07:35.997002,34.40079325810075,,q06,6,1.0,6.6321659833192825,6.529542151838541,14.480709098279476
58,2026-02-10T10:07:36.417253,379.6038329601288,,q07,7,1.0,51.308542024344206,53.748416947200894,234.19749992899597
59,2026-02-10T10:07:36.666333,172.56754194386303,,q08,8,1.0,21.92316693253815,24.215125013142824,81.9375419523567
60,2026-02-10T10:08:12.536610,35758.52762465365,,q09,9,1.0,57.37066688016057,49.88845903426409,1000.0
61,2026-02-10T10:08:13.052095,447.9662084486335,,q10,10,1.0,103.31304208375514,102.18133311718702,153.25558301992714
62,2026-02-10T10:08:13.215319,133.04287381470203,,q12,12,1.0,36.940749967470765,19.768707919865847,36.507457960397005
63,2026-02-10T10:08:13.304986,70.45429083518684,,q14,14,1.0,17.767374869436026,16.671250108629465,25.61650006100535
64,2026-02-10T10:08:13.814751,414.7346660029143,,q18,18,1.0,113.03904186934231,58.79408307373524,142.00425008311868
65,2026-02-10T10:08:13.962327,119.35275117866696,,q19,19,1.0,28.438334120437503,28.87575002387166,43.6252080835402
