execution_number,timestamp,duration_ms,error,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms
1,2026-02-10T10:04:44.007544,270.5969603266567,,q01,1,1.0,,True,,True,,4,30.460292007774115,,,True,,4,35.66204197704792,4,48.52537508122623
2,2026-02-10T10:04:44.149150,110.62850011512636,,q03,3,1.0,,True,,True,,10,7.509584072977304,,,True,,10,8.902624947950244,10,13.172374805435538
3,2026-02-10T10:04:44.565477,211.26300026662648,,q04,4,1.0,,True,,True,,5,8.21983302012086,,,True,,5,186.41587509773672,5,18.674416933208704
4,2026-02-10T10:04:44.705966,112.3833330348134,,q05,5,1.0,,True,,True,,5,6.864124909043312,,,True,,5,10.969541035592556,5,11.063375044614077
5,2026-02-10T10:04:44.755862,33.68795895949006,,q06,6,1.0,,True,,True,,1,2.1208329126238823,,,True,,1,3.7096249870955944,1,2.581707900390029
6,2026-02-10T10:04:45.178031,384.414748987183,,q07,7,1.0,,True,,True,,4,8.105667075142264,,,True,,4,19.124209182336926,4,18.716332968324423
7,2026-02-10T10:04:45.415650,161.41533409245312,,q08,8,1.0,,True,,True,,2,25.586624862626195,,,True,,2,39.588999934494495,2,30.67262494005263
8,2026-02-10T10:05:36.105853,50588.723375229165,,q09,9,1.0,,True,,True,,175,28.20362499915063,,,True,,175,48.94262505695224,175,266.09416701830924
9,2026-02-10T10:05:36.579474,403.75649905763566,,q10,10,1.0,,True,,True,,20,12.919542146846652,,,True,,20,18.12695781700313,20,61.278457986190915
10,2026-02-10T10:05:36.736150,127.63633392751215,,q12,12,1.0,,True,,True,,2,4.962083883583546,,,True,,2,8.32420913502574,2,36.57245892100036
11,2026-02-10T10:05:36.820358,64.21516626141965,,q14,14,1.0,,True,,True,,1,3.355375025421381,,,True,,1,4.826083080843091,1,5.184749839827418
12,2026-02-10T10:05:37.293306,386.9280400685966,,q18,18,1.0,,True,,True,,57,48.22587501257658,,,True,,57,27.063915971666574,57,103.67016587406395
13,2026-02-10T10:05:37.489218,119.04137628152966,,q19,19,1.0,,True,,True,,1,6.814833963289857,,,True,,1,54.30199997499585,1,14.03420907445252
14,2026-02-10T10:05:37.860187,287.26766793988645,,q01,1,1.0,,True,,True,,4,32.84245799295604,,,True,,4,35.49016686156392,4,53.69070800952613
15,2026-02-10T10:05:38.057207,153.2835413236171,,q03,3,1.0,,True,,True,,10,10.95716585405171,,,True,,10,19.06445785425603,10,73.03404109552503
16,2026-02-10T10:05:38.623226,230.2675419487059,,q04,4,1.0,,True,,True,,5,10.32808399759233,,,True,,5,221.7151669319719,5,19.764125114306808
17,2026-02-10T10:05:38.763966,110.87083187885582,,q05,5,1.0,,True,,True,,5,7.187542039901018,,,True,,5,10.66533289849758,5,10.549541097134352
18,2026-02-10T10:05:38.812393,31.97137382812798,,q06,6,1.0,,True,,True,,1,2.76141706854105,,,True,,1,3.713875077664852,1,2.7732078451663256
19,2026-02-10T10:05:39.227688,375.6573321297765,,q07,7,1.0,,True,,True,,4,8.538041030988097,,,True,,4,19.310709089040756,4,19.75600002333522
20,2026-02-10T10:05:39.457815,153.72925205156207,,q08,8,1.0,,True,,True,,2,22.235124837607145,,,True,,2,44.18070800602436,2,18.82491703145206
21,2026-02-10T10:06:15.213742,35666.59216606058,,q09,9,1.0,,True,,True,,175,25.07216692902148,,,True,,175,47.091874992474914,175,240.23370794020593
22,2026-02-10T10:06:15.596917,325.1060431357473,,q10,10,1.0,,True,,True,,20,11.245542205870152,,,True,,20,19.482166972011328,20,57.33420909382403
23,2026-02-10T10:06:15.750731,127.35112640075386,,q12,12,1.0,,True,,True,,2,5.2022498566657305,,,True,,2,8.18174984306097,2,37.68079215660691
24,2026-02-10T10:06:15.831035,61.09745684079826,,q14,14,1.0,,True,,True,,1,3.344290889799595,,,True,,1,4.157083109021187,1,5.950415972620249
25,2026-02-10T10:06:16.260993,347.47129236347973,,q18,18,1.0,,True,,True,,57,43.16724999807775,,,True,,57,28.45720900222659,57,74.81387513689697
26,2026-02-10T10:06:16.393182,107.8245418611914,,q19,19,1.0,,True,,True,,1,3.7946668453514576,,,True,,1,7.530541159212589,1,8.044874994084239
