execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_count,variation_join_matches,variation_num,variation_num_groups,variation_policy_threshold,variation_rows_to_remove,variation_type
2,2026-02-14T23:40:12.356396,185.45970832929015,,,True,,8.991917129606009,64.90325019694865,5,73.89516732655466,,23.263624869287014,68.32495820708573,5,91.58858307637274,,7.498916937038302,5,7.498916937038302,9.57912509329617,,2.8979158960282803,41.93420894443989,5,12.47704098932445,12.47704098932445,100,JOIN_GROUP_BY,1,2,0,16,,1,,,,join_count
3,2026-02-14T23:40:12.666777,187.63533071614802,,,True,,9.266624925658107,48.55741607025266,5,57.824040995910764,,23.866749834269285,85.00908291898668,5,108.87583275325596,,8.218541042879224,5,8.218541042879224,10.39287494495511,,2.3240409791469574,42.489000130444765,5,12.716915924102068,12.716915924102068,100,JOIN_GROUP_BY,2,3,0,16,,1,,,,join_count
4,2026-02-14T23:40:12.974608,185.83941599354148,,,True,,9.372374974191189,48.30041597597301,5,57.6727909501642,,22.6344580296427,85.5255420319736,5,108.1600000616163,,7.404708070680499,5,7.404708070680499,9.835958015173674,,2.765958895906806,42.417916003614664,5,12.60191691108048,12.60191691108048,100,JOIN_GROUP_BY,3,4,0,16,,1,,,,join_count
5,2026-02-14T23:40:13.284602,188.26803984120488,,,True,,8.823415962979198,47.49808297492564,5,56.321498937904835,,24.425999959930778,86.03391703218222,5,110.459916992113,,8.288624929264188,5,8.288624929264188,10.939290979877114,,2.2587080020457506,41.90691700205207,5,13.197998981922865,13.197998981922865,100,JOIN_GROUP_BY,4,5,0,16,,1,,,,join_count
6,2026-02-14T23:40:13.595886,189.06116555444896,,,True,,9.867915883660316,48.421625047922134,5,58.28954093158245,,24.720708141103387,84.46058304980397,5,109.18129119090736,,8.602500194683671,5,8.602500194683671,10.274541098624468,,2.7132921386510134,42.3849169164896,5,12.987833237275481,12.987833237275481,100,JOIN_GROUP_BY,5,6,0,16,,1,,,,join_count
8,2026-02-14T23:40:14.877971,491.54645786620677,,,True,,44.59599987603724,59.31483395397663,5,103.91083383001387,,200.0661250203848,93.16945797763765,5,293.23558299802244,,44.13075000047684,5,44.13075000047684,47.777666011825204,,2.491625025868416,48.37033408693969,5,50.26929103769362,50.26929103769362,100,JOIN_GROUP_BY,1,2,1,32,,2,,,,join_count
9,2026-02-14T23:40:15.514973,490.09262467734516,,,True,,45.90854188427329,58.00566705875099,5,103.91420894302428,,198.83241690695286,92.92525006458163,5,291.7576669715345,,44.082499807700515,5,44.082499807700515,46.94954096339643,,3.3887079916894436,49.086791928857565,5,50.338248955085874,50.338248955085874,100,JOIN_GROUP_BY,2,3,1,32,,2,,,,join_count
10,2026-02-14T23:40:16.154176,491.68791715055704,,,True,,45.9604999050498,58.12566704116762,5,104.08616694621742,,199.96474985964596,92.59116603061557,5,292.55591589026153,,45.237834099680185,5,45.237834099680185,46.96770804002881,,2.8402921743690968,48.41295792721212,5,49.80800021439791,49.80800021439791,100,JOIN_GROUP_BY,3,4,1,32,,2,,,,join_count
11,2026-02-14T23:40:16.796034,493.3487088419497,,,True,,45.99133390001953,58.73045790940523,5,104.72179180942476,,200.33412496559322,92.96929207630455,5,293.3034170418978,,44.15966593660414,5,44.15966593660414,48.20283409208059,,2.9609999619424343,49.03079196810722,5,51.16383405402303,51.16383405402303,100,JOIN_GROUP_BY,4,5,1,32,,2,,,,join_count
12,2026-02-14T23:40:17.443126,498.47279116511345,,,True,,47.638250049203634,58.02266695536673,5,105.66091700457036,,202.85887503996491,93.06787513196468,5,295.9267501719296,,44.49933301657438,5,44.49933301657438,49.10870804451406,,3.2770829275250435,48.67483302950859,5,52.3857909720391,52.3857909720391,100,JOIN_GROUP_BY,5,6,1,32,,2,,,,join_count
