execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,join_count,logical_exec_time_ms,logical_match,logical_match_error,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_exec_time_ms,physical_lineage_query_time_ms,physical_match,physical_match_error,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_num,variation_join_count
1,2026-02-15T00:31:58.952343,208.15583295188844,,,True,24.168417090550065,43.13683300279081,5,67.30525009334087,8,132.92483310215175,True,,80.52083407528698,5,213.44566717743874,23.106541950255632,5,23.106541950255632,25.320082902908325,,27.956040808930993,2.635957906022668,True,,41.22691601514816,5,27.956040808930993,27.956040808930993,100,JOIN_GROUP_BY,1,8
2,2026-02-15T00:31:59.554429,125.34991698339581,,,True,24.562082951888442,43.390291975811124,5,67.95237492769957,8,50.35516689531505,True,,64.54445910640061,5,114.89962600171566,23.197249975055456,5,23.197249975055456,24.66162503696978,,27.235417161136866,2.5737921241670847,True,,56.38437485322356,5,27.235417161136866,27.235417161136866,100,JOIN_GROUP_BY,2,8
3,2026-02-15T00:32:00.143904,124.37233398668468,,,True,23.84804212488234,42.86808311007917,5,66.71612523496151,8,50.61354208737612,True,,64.4087081309408,5,115.02225021831691,22.411416983231902,5,22.411416983231902,25.21616593003273,,27.49933279119432,2.2831668611615896,True,,56.87708291225135,5,27.49933279119432,27.49933279119432,100,JOIN_GROUP_BY,3,8
4,2026-02-15T00:32:00.736920,126.27041689120233,,,True,24.679957889020443,43.63283305428922,5,68.31279094330966,8,50.46979198232293,True,,64.82441700063646,5,115.29420898295939,24.138167034834623,5,24.138167034834623,24.653082946315408,,26.982499985024333,2.3294170387089252,True,,56.632749969139695,5,26.982499985024333,26.982499985024333,100,JOIN_GROUP_BY,4,8
5,2026-02-15T00:32:01.326330,125.68224989809096,,,True,24.056833004578948,42.973709059879184,5,67.03054206445813,8,51.28412484191358,True,,63.96199995651841,5,115.24612479843199,22.54937496036291,5,22.54937496036291,25.46466700732708,,27.79191709123552,2.3272500839084387,True,,56.36375001631677,5,27.79191709123552,27.79191709123552,100,JOIN_GROUP_BY,5,8
6,2026-02-15T00:32:01.930456,52.09395894780755,,,True,8.26154206879437,47.87062504328787,5,56.13216711208224,16,23.294041864573956,True,,67.71587487310171,5,91.00991673767567,7.407375145703554,5,7.407375145703554,10.553916916251183,,13.130999868735671,2.5770829524844885,True,,58.74658399261534,5,13.130999868735671,13.130999868735671,100,JOIN_GROUP_BY,1,16
7,2026-02-15T00:32:02.468053,52.10850015282631,,,True,8.2546251360327,48.414000077173114,5,56.668625213205814,16,23.296749917790294,True,,71.77029200829566,5,95.06704192608595,7.150500081479549,5,7.150500081479549,10.443917009979486,,13.406625017523766,2.962708007544279,True,,60.05558301694691,5,13.406625017523766,13.406625017523766,100,JOIN_GROUP_BY,2,16
8,2026-02-15T00:32:02.998270,53.02995862439275,,,True,8.441749960184097,47.842999920248985,5,56.28474988043308,16,23.69370893575251,True,,68.58808407559991,5,92.28179301135242,6.862791953608394,5,6.862791953608394,11.252207914367318,,14.031707774847746,2.7794998604804277,True,,59.01224981062114,5,14.031707774847746,14.031707774847746,100,JOIN_GROUP_BY,3,16
9,2026-02-15T00:32:03.530627,52.590166218578815,,,True,8.065334055572748,47.75725002400577,5,55.82258407957852,16,25.01545799896121,True,,68.10166616924107,5,93.11712416820228,7.090791128575802,5,7.090791128575802,9.706333046779037,,12.418583035469055,2.7122499886900187,True,,60.67949999123812,5,12.418583035469055,12.418583035469055,100,JOIN_GROUP_BY,4,16
10,2026-02-15T00:32:04.059027,52.56137624382973,,,True,8.438667049631476,48.097750172019005,5,56.53641722165048,16,24.594167014583945,True,,68.37808317504823,5,92.97225018963218,7.984000025317073,5,7.984000025317073,9.146084077656269,,11.544542154297233,2.3984580766409636,True,,58.976958971470594,5,11.544542154297233,11.544542154297233,100,JOIN_GROUP_BY,5,16
