execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_count,variation_join_matches,variation_num,variation_num_groups,variation_policy_threshold,variation_rows_to_remove,variation_type
1,2026-02-14T22:54:50.316327,82.83195830881596,,,True,,7.656041998416185,3.6118340212851763,5,11.267876019701362,,22.151458077132702,9.90420812740922,5,32.05566620454192,,10.276333196088672,5,10.276333196088672,27.28708297945559,,1.944999909028411,7.566042011603713,5,29.232082888484,29.232082888484,1,JOIN_GROUP_BY,0,1,0,16,,1,,,,join_count
2,2026-02-14T22:54:50.477477,61.12145888619125,,,True,,7.854583906009793,3.886542050167918,5,11.741125956177711,,22.12275005877018,9.142333175987005,5,31.265083234757185,,7.298708893358707,5,7.298708893358707,9.158165892586112,,1.658374909311533,19.694665912538767,5,10.816540801897645,10.816540801897645,1,JOIN_GROUP_BY,1,2,0,16,,1,,,,join_count
3,2026-02-14T22:54:50.629262,62.11258424445987,,,True,,7.224334171041846,3.327124984934926,5,10.551459155976772,,22.327875019982457,9.1495830565691,5,31.477458076551557,,8.706375025212765,5,8.706375025212765,10.13924996368587,,1.2380420230329037,8.114167023450136,5,11.377291986718774,11.377291986718774,1,JOIN_GROUP_BY,2,3,0,16,,1,,,,join_count
4,2026-02-14T22:54:50.785009,63.09545715339482,,,True,,8.040083106607199,3.340542083606124,5,11.380625190213323,,23.07150000706315,9.21412487514317,5,32.28562488220632,,7.61229102499783,5,7.61229102499783,10.838707908987999,,0.9782081469893456,7.382875075563788,5,11.816916055977345,11.816916055977345,1,JOIN_GROUP_BY,3,4,0,16,,1,,,,join_count
5,2026-02-14T22:54:50.940129,66.08312460593879,,,True,,8.00037500448525,3.4525839146226645,5,11.452958919107914,,24.22445802949369,9.831749834120274,5,34.05620786361396,,7.916957838460803,5,7.916957838460803,11.55345793813467,,1.1035420466214418,7.273999974131584,5,12.656999984756112,12.656999984756112,1,JOIN_GROUP_BY,4,5,0,16,,1,,,,join_count
6,2026-02-14T22:54:51.096567,65.33437524922192,,,True,,7.310624932870269,3.467957954853773,5,10.778582887724042,,23.757666116580367,9.908083826303482,5,33.66574994288385,,8.293625200167298,5,8.293625200167298,10.177083080634475,,2.419334137812257,7.555833086371422,5,12.596417218446732,12.596417218446732,1,JOIN_GROUP_BY,5,6,0,16,,1,,,,join_count
7,2026-02-14T22:54:51.598855,390.45362500473857,,,True,,75.22362493909895,6.412375019863248,5,81.6359999589622,,197.6285830605775,17.762625124305487,5,215.391208184883,,43.19604206830263,5,43.19604206830263,48.397290986031294,,1.8330838065594435,13.916374882683158,5,50.23037479259074,50.23037479259074,1,JOIN_GROUP_BY,0,1,1,32,,2,,,,join_count
8,2026-02-14T22:54:52.074235,361.97020672261715,,,True,,44.57858297973871,6.6723329946398735,5,51.250915974378586,,199.88287496380508,16.928665805608034,5,216.8115407694131,,44.045208021998405,5,44.045208021998405,47.08808404393494,,2.774457912892103,14.108834089711308,5,49.862541956827044,49.862541956827044,1,JOIN_GROUP_BY,1,2,1,32,,2,,,,join_count
9,2026-02-14T22:54:52.564508,379.72983275540173,,,True,,44.686291832476854,6.166832987219095,5,50.85312481969595,,200.80370805226266,33.627625089138746,5,234.4313331414014,,44.69770798459649,5,44.69770798459649,47.83916682936251,,1.9084999803453684,13.977790949866176,5,49.74766680970788,49.74766680970788,1,JOIN_GROUP_BY,2,3,1,32,,2,,,,join_count
10,2026-02-14T22:54:53.037604,360.44079111889005,,,True,,44.52787502668798,5.9965830296278,5,50.52445805631578,,197.14458310045302,17.643457977101207,5,214.78804107755423,,44.88649987615645,5,44.88649987615645,48.67237503640354,,1.5694170724600554,13.96845793351531,5,50.24179210886359,50.24179210886359,1,JOIN_GROUP_BY,3,4,1,32,,2,,,,join_count
