execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_count,variation_join_matches,variation_num,variation_num_groups,variation_policy_threshold,variation_rows_to_remove,variation_type
1,2026-02-14T22:42:04.039750,10.820543160662055,,,True,,0.6458749994635582,0.9305840358138084,5,1.5764590352773666,,1.332750078290701,2.385917119681835,5,3.718667197972536,,0.9828340262174606,5,0.9828340262174606,2.3898750077933073,,2.1527078934013844,1.8942919559776783,5,4.542582901194692,4.542582901194692,1,JOIN_GROUP_BY,0,1,0,1,,1,,,,join_count
2,2026-02-14T22:42:04.115017,10.17970684915781,,,True,,0.8669581729918718,1.0307920165359974,5,1.8977501895278692,,1.6409580130130053,1.879457850009203,5,3.520415863022208,,0.9088329970836639,5,0.9088329970836639,2.332999836653471,,1.5197079628705978,1.6014580614864826,5,3.852707799524069,3.852707799524069,1,JOIN_GROUP_BY,1,2,0,1,,1,,,,join_count
3,2026-02-14T22:42:04.190237,10.508334264159203,,,True,,0.7915419992059469,1.0007501114159822,5,1.7922921106219292,,2.0189168862998486,1.9002091139554977,5,3.9191260002553463,,1.008625142276287,5,1.008625142276287,2.4986660573631525,,1.2896249536424875,1.6273751389235258,5,3.78829101100564,3.78829101100564,1,JOIN_GROUP_BY,2,3,0,1,,1,,,,join_count
4,2026-02-14T22:42:04.265041,10.665583424270153,,,True,,1.0784580372273922,0.9940420277416706,5,2.072500064969063,,1.7472920008003712,1.9513331353664398,5,3.698625136166811,,1.1993329972028732,5,1.1993329972028732,2.376000164076686,,1.3191250618547201,1.5511668752878904,5,3.695125225931406,3.695125225931406,1,JOIN_GROUP_BY,3,4,0,1,,1,,,,join_count
5,2026-02-14T22:42:04.341066,11.042043566703796,,,True,,1.0369590017944574,1.085667172446847,5,2.1226261742413044,,1.7311670817434788,2.0507080480456352,5,3.781875129789114,,0.8487501181662083,5,0.8487501181662083,2.7550000231713057,,1.533792121335864,1.662250142544508,5,4.28879214450717,4.28879214450717,1,JOIN_GROUP_BY,4,5,0,1,,1,,,,join_count
6,2026-02-14T22:42:04.421217,14.433792093768716,,,True,,1.4744580257683992,1.1359171476215124,5,2.6103751733899117,,3.3476250246167183,2.41937511600554,5,5.767000140622258,,1.7884168773889542,5,1.7884168773889542,2.6364580262452364,,1.6315418761223555,2.1460000425577164,5,4.267999902367592,4.267999902367592,1,JOIN_GROUP_BY,0,1,1,2,,2,,,,join_count
7,2026-02-14T22:42:04.501413,13.87454173527658,,,True,,0.884166918694973,1.1235838755965233,5,2.0077507942914963,,2.7381249237805605,2.83091701567173,5,5.5690419394522905,,1.768958056345582,5,1.768958056345582,2.9119160026311874,,1.6168749425560236,1.9878330640494823,5,4.528790945187211,4.528790945187211,1,JOIN_GROUP_BY,1,2,1,2,,2,,,,join_count
8,2026-02-14T22:42:04.581207,13.704250799492002,,,True,,1.519208075478673,1.1142089497298002,5,2.633417025208473,,3.1725838780403137,2.544957911595702,5,5.717541789636016,,1.440499909222126,5,1.440499909222126,2.454624976962805,,1.4581670984625816,1.9069169647991657,5,3.9127920754253864,3.9127920754253864,1,JOIN_GROUP_BY,2,3,1,2,,2,,,,join_count
9,2026-02-14T22:42:04.661550,13.664457714185119,,,True,,1.1786669492721558,1.1034158524125814,5,2.282082801684737,,2.4554580450057983,2.4289998691529036,5,4.884457914158702,,1.7653750255703926,5,1.7653750255703926,3.26187489554286,,1.470667077228427,1.958583015948534,5,4.732541972771287,4.732541972771287,1,JOIN_GROUP_BY,3,4,1,2,,2,,,,join_count
10,2026-02-14T22:42:04.741077,13.766377000138164,,,True,,1.237708842381835,1.1238749139010906,5,2.3615837562829256,,2.319792052730918,2.3337919265031815,5,4.653583979234099,,1.6957090701907873,5,1.6957090701907873,2.824667142704129,,2.230833051726222,2.0130828488618135,5,5.055500194430351,5.055500194430351,1,JOIN_GROUP_BY,4,5,1,2,,2,,,,join_count
11,2026-02-14T22:42:04.843779,23.693831404671073,,,True,,2.6850830763578415,1.357541186735034,5,4.0426242630928755,,6.286374991759658,4.02091583237052,5,10.307290824130177,,2.721416065469384,5,2.721416065469384,5.0859590992331505,,1.5365411527454853,2.802375005558133,5,6.622500251978636,6.622500251978636,1,JOIN_GROUP_BY,0,1,2,4,,3,,,,join_count
12,2026-02-14T22:42:04.933428,21.634831791743636,,,True,,1.8022910226136446,1.4416659250855446,5,3.243956947699189,,6.292250007390976,3.699874971061945,5,9.992124978452921,,2.8661249671131372,5,2.8661249671131372,4.027750110253692,,1.5048747882246971,2.863458124920726,5,5.532624898478389,5.532624898478389,1,JOIN_GROUP_BY,1,2,2,4,,3,,,,join_count
13,2026-02-14T22:42:05.023249,20.944625604897738,,,True,,2.653958974406123,1.5191668644547462,5,4.173125838860869,,5.015749949961901,3.565249964594841,5,8.580999914556742,,2.9128750320523977,5,2.9128750320523977,4.318916937336326,,0.958707882091403,2.9239158611744642,5,5.277624819427729,5.277624819427729,1,JOIN_GROUP_BY,2,3,2,4,,3,,,,join_count
14,2026-02-14T22:42:05.111656,19.735875772312284,,,True,,2.113749971613288,1.4327499084174633,5,3.5464998800307512,,4.6466251369565725,4.093833034858108,5,8.74045817181468,,2.286250004544854,5,2.286250004544854,4.039458930492401,,1.123208785429597,2.8061249759048223,5,5.162667715921998,5.162667715921998,1,JOIN_GROUP_BY,3,4,2,4,,3,,,,join_count
15,2026-02-14T22:42:05.199685,20.228875102475286,,,True,,1.652916893362999,1.4553749933838844,5,3.1082918867468834,,5.506207933649421,3.4502921625971794,5,8.9565000962466,,2.8382090386003256,5,2.8382090386003256,4.0157081093639135,,1.3101659715175629,2.758542075753212,5,5.325874080881476,5.325874080881476,1,JOIN_GROUP_BY,4,5,2,4,,3,,,,join_count
16,2026-02-14T22:42:05.409325,134.59504209458828,,,True,,24.46612506173551,2.0787499379366636,5,26.544874999672174,,50.121250096708536,5.475291982293129,5,55.596542079001665,,24.63750005699694,5,24.63750005699694,26.717707980424166,,1.0984169784933329,4.3682497926056385,5,27.8161249589175,27.8161249589175,1,JOIN_GROUP_BY,0,1,3,8,,4,,,,join_count
17,2026-02-14T22:42:05.615548,132.26062641479075,,,True,,24.056334048509598,2.111125038936734,5,26.167459087446332,,49.141584197059274,5.417791893705726,5,54.559376090765,,25.382291991263628,5,25.382291991263628,25.038916151970625,,1.1125830933451653,4.3926669750362635,5,26.15149924531579,26.15149924531579,1,JOIN_GROUP_BY,1,2,3,8,,4,,,,join_count
