execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_count,variation_join_matches,variation_num,variation_num_groups,variation_policy_threshold,variation_rows_to_remove,variation_type
1,2026-02-14T22:43:57.467772,26.190665550529957,,,True,,0.8626659400761127,1.1037499643862247,5,1.9664159044623375,,2.782125025987625,2.1212920546531677,5,4.903417080640793,,2.5666248984634876,5,2.5666248984634876,15.17612487077713,,1.5780827961862087,1.743209082633257,5,16.75420766696334,16.75420766696334,1,JOIN_GROUP_BY,0,1,0,1,,1,,,,join_count
2,2026-02-14T22:43:57.541464,8.978209691122174,,,True,,0.6208328995853662,0.9146668016910553,5,1.5354997012764215,,1.2764590792357922,2.609709044918418,5,3.88616812415421,,0.6183339282870293,5,0.6183339282870293,1.8658749759197235,,1.0723329614847898,1.570916036143899,5,2.9382079374045134,2.9382079374045134,1,JOIN_GROUP_BY,1,2,0,1,,1,,,,join_count
3,2026-02-14T22:43:57.615114,8.750625187531114,,,True,,0.9602908976376057,0.99762505851686,5,1.9579159561544657,,1.4490419998764992,1.952167134732008,5,3.401209134608507,,0.5456670187413692,5,0.5456670187413692,1.8712501041591167,,0.9745829738676548,1.5907499473541975,5,2.8458330780267715,2.8458330780267715,1,JOIN_GROUP_BY,2,3,0,1,,1,,,,join_count
4,2026-02-14T22:43:57.722961,9.21983178704977,,,True,,0.4895830061286688,0.996083952486515,5,1.4856669586151838,,1.1965828016400337,1.9618330989032984,5,3.158415900543332,,0.6189160048961639,5,0.6189160048961639,2.7903751470148563,,1.1664577759802341,1.6307919286191463,5,3.9568329229950905,3.9568329229950905,1,JOIN_GROUP_BY,3,4,0,1,,1,,,,join_count
5,2026-02-14T22:43:57.796140,8.924667024984956,,,True,,0.6301249377429485,0.9810840710997581,5,1.6112090088427067,,1.5682498924434185,1.903250114992261,5,3.4715000074356794,,1.0608751326799393,5,1.0608751326799393,1.8613748252391815,,0.9197080507874489,1.4962919522076845,5,2.7810828760266304,2.7810828760266304,1,JOIN_GROUP_BY,4,5,0,1,,1,,,,join_count
6,2026-02-14T22:43:57.870651,9.883000049740076,,,True,,0.9458339773118496,0.9581660851836205,5,1.90400006249547,,1.31295807659626,1.8386668525636196,5,3.1516249291598797,,0.9099161252379417,5,0.9099161252379417,2.332041971385479,,1.5854169614613056,1.7151669599115849,5,3.9174589328467846,3.9174589328467846,1,JOIN_GROUP_BY,5,6,0,1,,1,,,,join_count
7,2026-02-14T22:43:57.948982,13.092793058604002,,,True,,1.3510840944945812,1.1417919304221869,5,2.492876024916768,,2.697416115552187,2.440167125314474,5,5.137583240866661,,1.4111250638961792,5,1.4111250638961792,2.671249909326434,,1.3799588195979595,1.9989581778645515,5,4.051208728924394,4.051208728924394,1,JOIN_GROUP_BY,0,1,1,2,,2,,,,join_count
8,2026-02-14T22:43:58.028501,14.23837523907423,,,True,,1.235709059983492,1.0738749988377094,5,2.3095840588212013,,3.249166999012232,3.1840000301599503,5,6.433167029172182,,1.1954579968005419,5,1.1954579968005419,3.1260831747204065,,1.1740829795598984,1.984999980777502,5,4.300166154280305,4.300166154280305,1,JOIN_GROUP_BY,1,2,1,2,,2,,,,join_count
9,2026-02-14T22:43:58.106930,12.27741688489914,,,True,,1.0771669913083315,1.073499908670783,5,2.1506668999791145,,2.3927909787744284,2.360417041927576,5,4.753208020702004,,1.255375100299716,5,1.255375100299716,2.830999903380871,,1.2871669605374336,1.9997500348836184,5,4.118166863918304,4.118166863918304,1,JOIN_GROUP_BY,2,3,1,2,,2,,,,join_count
10,2026-02-14T22:43:58.185557,13.198334258049726,,,True,,1.2097919825464487,1.1112920474261045,5,2.3210840299725533,,2.4049580097198486,2.3582500871270895,5,4.763208096846938,,1.6417501028627157,5,1.6417501028627157,2.887832932174206,,1.5844590961933136,2.100166864693165,5,4.472292028367519,4.472292028367519,1,JOIN_GROUP_BY,3,4,1,2,,2,,,,join_count
11,2026-02-14T22:43:58.262772,11.783541180193424,,,True,,1.0925410315394402,1.1743330396711826,5,2.266874071210623,,2.245208015665412,2.400666940957308,5,4.64587495662272,,1.1163749732077122,5,1.1163749732077122,2.5238750968128443,,1.2305420823395252,1.9797091372311115,5,3.7544171791523695,3.7544171791523695,1,JOIN_GROUP_BY,4,5,1,2,,2,,,,join_count
12,2026-02-14T22:43:58.352109,12.878834502771497,,,True,,1.1772499419748783,1.0692081414163113,5,2.2464580833911896,,1.7573751974850893,2.7655831072479486,5,4.522958304733038,,1.0661669075489044,5,1.0661669075489044,3.2190841156989336,,1.8241670913994312,13.337499927729368,5,5.043251207098365,5.043251207098365,1,JOIN_GROUP_BY,5,6,1,2,,2,,,,join_count
13,2026-02-14T22:43:58.439927,19.512792816385627,,,True,,1.7199160065501928,1.4177500270307064,5,3.1376660335808992,,4.855416947975755,3.5385419614613056,5,8.39395890943706,,2.4454589001834393,5,2.4454589001834393,3.9796249475330114,,1.5560840256512165,2.8468340169638395,5,5.535708973184228,5.535708973184228,1,JOIN_GROUP_BY,0,1,2,4,,3,,,,join_count
14,2026-02-14T22:43:58.526793,18.334583146497607,,,True,,2.243333961814642,1.430833013728261,5,3.674166975542903,,4.687333945184946,3.617833135649562,5,8.305167080834508,,2.2853331174701452,5,2.2853331174701452,3.0910829082131386,,0.9788330644369125,2.765167038887739,5,4.069915972650051,4.069915972650051,1,JOIN_GROUP_BY,1,2,2,4,,3,,,,join_count
15,2026-02-14T22:43:58.613952,18.719251500442624,,,True,,1.588083105161786,1.4466671273112297,5,3.034750232473016,,4.171542124822736,3.6440000403672457,5,7.8155421651899815,,2.291042124852538,5,2.291042124852538,4.354042001068592,,1.2238749768584967,3.167541930451989,5,5.577916977927089,5.577916977927089,1,JOIN_GROUP_BY,2,3,2,4,,3,,,,join_count
16,2026-02-14T22:43:58.701876,20.35333262756467,,,True,,2.346999943256378,1.3584168627858162,5,3.7054168060421944,,5.595790920779109,3.5075838677585125,5,9.103374788537621,,1.9327499903738499,5,1.9327499903738499,3.881791140884161,,1.729999901726842,2.8056250885128975,5,5.611791042611003,5.611791042611003,1,JOIN_GROUP_BY,3,4,2,4,,3,,,,join_count
17,2026-02-14T22:43:58.790636,20.8241268992424,,,True,,3.0245829839259386,1.5523340553045273,5,4.576917039230466,,4.26883390173316,3.467041999101639,5,7.735875900834799,,2.8942918870598078,5,2.8942918870598078,4.0356251411139965,,1.5814169310033321,2.8244589921087027,5,5.617042072117329,5.617042072117329,1,JOIN_GROUP_BY,4,5,2,4,,3,,,,join_count
