execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,join_count,logical_exec_time_ms,logical_match,logical_match_error,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_exec_time_ms,physical_lineage_query_time_ms,physical_match,physical_match_error,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_num,variation_join_count
1,2026-02-15T00:16:00.690946,5.045168334618211,,,True,0.5447082221508026,0.8837080094963312,5,1.4284162316471338,1,1.0291668586432934,True,,2.615999896079302,5,3.645166754722595,0.5711251869797707,5,0.5711251869797707,1.9325839821249247,,2.900168066844344,0.9675840847194195,True,,1.6416250728070736,5,2.900168066844344,2.900168066844344,1,JOIN_GROUP_BY,1,1
2,2026-02-15T00:16:00.721768,5.323040997609496,,,True,0.6305000279098749,0.8853750769048929,5,1.5158751048147678,1,1.2997498270124197,True,,2.7972920797765255,5,4.097041906788945,0.5666660144925117,5,0.5666660144925117,1.8185421358793974,,2.8261251281946898,1.0075829923152924,True,,1.6764169558882713,5,2.8261251281946898,2.8261251281946898,1,JOIN_GROUP_BY,2,1
3,2026-02-15T00:16:00.752619,5.0351249519735575,,,True,0.4391670227050781,0.75562484562397,5,1.1947918683290482,1,1.3622920960187912,True,,2.7655421290546656,5,4.127834225073457,0.4290828946977854,5,0.4290828946977854,1.8499160651117563,,2.8045829385519028,0.9546668734401464,True,,1.4997920952737331,5,2.8045829385519028,2.8045829385519028,1,JOIN_GROUP_BY,3,1
4,2026-02-15T00:16:00.783365,5.278917495161295,,,True,0.4346671048551798,0.8418748620897532,5,1.276541966944933,1,1.1278751771897078,True,,2.4863749276846647,5,3.6142501048743725,0.4480420611798763,5,0.4480420611798763,2.2433751728385687,,3.268333151936531,1.0249579790979624,True,,1.6549578867852688,5,3.268333151936531,3.268333151936531,1,JOIN_GROUP_BY,4,1
5,2026-02-15T00:16:00.834349,5.418206797912717,,,True,0.516165979206562,1.4588329941034317,5,1.9749989733099937,1,1.4515838120132685,True,,21.917541045695543,5,23.36912485770881,0.5237080622464418,5,0.5237080622464418,1.9538330379873514,,2.9267489444464445,0.9729159064590931,True,,1.5787919983267784,5,2.9267489444464445,2.9267489444464445,1,JOIN_GROUP_BY,5,1
6,2026-02-15T00:16:00.901879,5.883915117010474,,,True,0.7500830106437206,2.92599992826581,5,3.6760829389095306,1,1.2315830681473017,True,,7.718374952673912,5,8.949958020821214,0.6047079805284739,5,0.6047079805284739,1.8950412049889565,,3.297541057690978,1.4024998527020216,True,,5.484665976837277,5,3.297541057690978,3.297541057690978,10,JOIN_GROUP_BY,1,1
7,2026-02-15T00:16:00.969018,5.382291739806533,,,True,0.5857918877154589,2.911082934588194,5,3.4968748223036528,1,1.0965000838041306,True,,7.524582790210843,5,8.621082874014974,0.5213748663663864,5,0.5213748663663864,2.0914580672979355,,3.178624901920557,1.0871668346226215,True,,5.32583286985755,5,3.178624901920557,3.178624901920557,10,JOIN_GROUP_BY,2,1
8,2026-02-15T00:16:01.035663,5.499332910403609,,,True,0.575625104829669,2.70791701041162,5,3.283542115241289,1,1.0859579779207706,True,,7.866540923714638,5,8.952498901635408,0.5553339142352343,5,0.5553339142352343,1.918707974255085,,3.2824159134179354,1.3637079391628504,True,,5.534458206966519,5,3.2824159134179354,3.2824159134179354,10,JOIN_GROUP_BY,3,1
9,2026-02-15T00:16:01.102126,5.3759990260005,,,True,0.6695829797536135,2.629500115290284,5,3.2990830950438976,1,1.132291043177247,True,,7.524499902501702,5,8.65679094567895,0.5642080213874578,5,0.5642080213874578,1.921874936670065,,3.0099169816821814,1.0880420450121164,True,,5.197165999561548,5,3.0099169816821814,3.0099169816821814,10,JOIN_GROUP_BY,4,1
10,2026-02-15T00:16:01.168853,5.4920820984989405,,,True,0.626708148047328,2.643791027367115,5,3.270499175414443,1,1.1450001038610935,True,,7.466375129297376,5,8.61137523315847,0.5283330101519823,5,0.5283330101519823,2.0439999643713236,,3.1920408364385366,1.148040872067213,True,,5.2269999869167805,5,3.1920408364385366,3.1920408364385366,10,JOIN_GROUP_BY,5,1
