execution_number,timestamp,duration_ms,error,base_aggregate_columns,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,join_fanout,policy_column_count,query_type,row_count,run_num,variation_base_aggregate_columns,variation_join_fanout,variation_policy_columns,variation_row_count
1,2026-02-16T01:15:03.512938,16.30862499587238,,128,,True,,7.54912500269711,5.764791974797845,1,13.313916977494955,,8.759499993175268,19.507582997903228,1,28.267082991078496,2,2,PHASE_COMPETITION,10000,1,128,2,2,10000
2,2026-02-16T01:15:03.552411,16.837417148053646,,128,,True,,7.759209023788571,5.458083935081959,1,13.21729295887053,,9.078208124265075,7.39958300255239,1,16.477791126817465,2,2,PHASE_COMPETITION,10000,2,128,2,2,10000
3,2026-02-16T01:15:03.589676,15.400668140500784,,128,,True,,7.238709134981036,5.957874935120344,1,13.19658407010138,,8.161959005519748,6.786333164200187,1,14.948292169719934,2,2,PHASE_COMPETITION,10000,3,128,2,2,10000
4,2026-02-16T01:15:03.627899,15.697167022153735,,128,,True,,7.396792061626911,5.720082903280854,1,13.116874964907765,,8.300374960526824,7.496499922126532,1,15.796874882653356,2,2,PHASE_COMPETITION,10000,4,128,2,2,10000
5,2026-02-16T01:15:03.665161,15.565667068585753,,128,,True,,7.177917053923011,5.4729171097278595,1,12.65083416365087,,8.387750014662743,7.5744998175650835,1,15.962249832227826,2,2,PHASE_COMPETITION,10000,5,128,2,2,10000
6,2026-02-16T01:15:03.704972,17.405542079359293,,128,,True,,7.964417105540633,6.121249869465828,1,14.085666975006461,,9.44112497381866,7.456833031028509,1,16.89795800484717,2,2,PHASE_COMPETITION,10000,6,128,2,2,10000
7,2026-02-16T01:15:03.743552,17.07137399353087,,128,,True,,7.7927908860147,5.658125039190054,1,13.450915925204754,,9.27858310751617,7.270999951288104,1,16.549583058804274,2,2,PHASE_COMPETITION,10000,7,128,2,2,10000
8,2026-02-16T01:15:03.780285,15.105791157111526,,128,,True,,7.372291060164571,6.313249934464693,1,13.685540994629264,,7.733500096946955,7.150792051106691,1,14.884292148053646,2,2,PHASE_COMPETITION,10000,8,128,2,2,10000
9,2026-02-16T01:15:03.818412,16.06566598638892,,128,,True,,7.816083030775189,5.27449999935925,1,13.09058303013444,,8.249582955613732,7.413791958242655,1,15.663374913856387,2,2,PHASE_COMPETITION,10000,9,128,2,2,10000
10,2026-02-16T01:15:03.856460,16.62833313457668,,128,,True,,7.441583089530468,5.791458068415523,1,13.23304115794599,,9.18675004504621,7.037458010017872,1,16.224208055064082,2,2,PHASE_COMPETITION,10000,10,128,2,2,10000
11,2026-02-16T01:15:03.892199,14.649332966655493,,128,,True,,6.799499969929457,5.46916713938117,1,12.268667109310627,,7.849832996726036,7.052832981571555,1,14.902665978297591,2,2,PHASE_COMPETITION,10000,11,128,2,2,10000
12,2026-02-16T01:15:03.949528,15.57620894163847,,128,,True,,7.2087920270860195,5.742040928453207,1,12.950832955539227,,8.36741691455245,27.119125006720424,1,35.486541921272874,2,2,PHASE_COMPETITION,10000,12,128,2,2,10000
13,2026-02-16T01:15:03.987760,16.49800012819469,,128,,True,,8.072375087067485,5.200916202738881,1,13.273291289806366,,8.425625041127205,7.418707944452763,1,15.844332985579967,2,2,PHASE_COMPETITION,10000,13,128,2,2,10000
14,2026-02-16T01:15:04.024708,15.46100014820695,,128,,True,,7.3457080870866776,5.60704106464982,1,12.952749151736498,,8.115292061120272,7.350083906203508,1,15.46537596732378,2,2,PHASE_COMPETITION,10000,14,128,2,2,10000
15,2026-02-16T01:15:04.063308,15.742623945698142,,128,,True,,7.373665925115347,6.163625046610832,1,13.53729097172618,,8.368958020582795,8.116000099107623,1,16.48495811969042,2,2,PHASE_COMPETITION,10000,15,128,2,2,10000
16,2026-02-16T01:15:04.101156,15.85370791144669,,128,,True,,7.554457988590002,5.404209019616246,1,12.958667008206248,,8.299249922856688,7.372833089902997,1,15.672083012759686,2,2,PHASE_COMPETITION,10000,16,128,2,2,10000
17,2026-02-16T01:15:04.142618,18.93949997611344,,128,,True,,8.53612506762147,5.8277498465031385,1,14.363874914124608,,10.403374908491969,7.150999968871474,1,17.554374877363443,2,2,PHASE_COMPETITION,10000,17,128,2,2,10000
18,2026-02-16T01:15:04.186083,17.41129206493497,,128,,True,,8.397500030696392,5.581915844231844,1,13.979415874928236,,9.013792034238577,7.76499998755753,1,16.778792021796107,2,2,PHASE_COMPETITION,10000,18,128,2,2,10000
19,2026-02-16T01:15:04.225453,17.571916803717613,,128,,True,,7.715374929830432,5.570625187829137,1,13.286000117659569,,9.856541873887181,7.452792022377253,1,17.309333896264434,2,2,PHASE_COMPETITION,10000,19,128,2,2,10000
20,2026-02-16T01:15:04.265068,16.453833784908056,,128,,True,,7.721999892964959,6.512042135000229,1,14.234042027965188,,8.731833891943097,7.893499918282032,1,16.62533381022513,2,2,PHASE_COMPETITION,10000,20,128,2,2,10000
21,2026-02-16T01:15:04.363451,15.342916827648878,,128,,True,,7.073624990880489,26.69566683471203,1,33.76929182559252,,8.269291836768389,7.442374946549535,1,15.711666783317924,2,4,PHASE_COMPETITION,10000,1,128,2,4,10000
22,2026-02-16T01:15:04.404580,18.181666964665055,,128,,True,,8.850583108142018,5.889334017410874,1,14.739917125552893,,9.331083856523037,7.308957865461707,1,16.640041721984744,2,4,PHASE_COMPETITION,10000,2,128,2,4,10000
23,2026-02-16T01:15:04.443164,16.077667009085417,,128,,True,,7.918582996353507,6.611374905332923,1,14.52995790168643,,8.15908401273191,7.223208900541067,1,15.382292913272977,2,4,PHASE_COMPETITION,10000,3,128,2,4,10000
24,2026-02-16T01:15:04.483141,16.559500014409423,,128,,True,,7.711542071774602,5.569249857217073,1,13.280791928991675,,8.847957942634821,7.884958991780877,1,16.732916934415698,2,4,PHASE_COMPETITION,10000,4,128,2,4,10000
25,2026-02-16T01:15:04.523014,17.2369172796607,,128,,True,,7.887333165854216,6.3310409896075726,1,14.218374155461788,,9.349584113806486,7.13912514038384,1,16.488709254190326,2,4,PHASE_COMPETITION,10000,5,128,2,4,10000
26,2026-02-16T01:15:04.562087,15.390915796160698,,128,,True,,7.043415913358331,6.164334015920758,1,13.207749929279089,,8.347499882802367,8.370292140170932,1,16.7177920229733,2,4,PHASE_COMPETITION,10000,6,128,2,4,10000
27,2026-02-16T01:15:04.600596,16.107001109048724,,128,,True,,7.218792103230953,5.5985411163419485,1,12.817333219572902,,8.888209005817771,7.897374918684363,1,16.785583924502134,2,4,PHASE_COMPETITION,10000,7,128,2,4,10000
28,2026-02-16T01:15:04.639339,15.772707993164659,,128,,True,,7.436000043526292,6.230000173673034,1,13.666000217199326,,8.336707949638367,7.626042002812028,1,15.962749952450395,2,4,PHASE_COMPETITION,10000,8,128,2,4,10000
29,2026-02-16T01:15:04.677310,15.44312504120171,,128,,True,,7.0605839136987925,5.887415958568454,1,12.947999872267246,,8.382541127502918,7.6950001530349255,1,16.077541280537844,2,4,PHASE_COMPETITION,10000,9,128,2,4,10000
30,2026-02-16T01:15:04.714743,15.382915968075395,,128,,True,,7.735625142231584,5.8910411316901445,1,13.626666273921728,,7.647290825843811,7.230415940284729,1,14.87770676612854,2,4,PHASE_COMPETITION,10000,10,128,2,4,10000
