execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_rows,dfc_time_ms,logical_error,logical_rows,logical_time_ms,no_policy_error,no_policy_rows,no_policy_time_ms,physical_error,physical_rows,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_matches,variation_num,variation_num_groups,variation_policy_threshold,variation_rows_to_remove,variation_type
1,2026-02-03T11:16:21.236506,2889.8664999287575,,,True,,999001,1831.7120419815183,,999001,856.5690419636667,,1000000,201.5854159835726,skipped_for_multi_policy,0,0.0,1000,SELECT,0,1,0,,1,,1,100,policy_threshold
2,2026-02-03T11:16:25.946632,2886.5733749698848,,,True,,999001,1818.2950839400291,,999001,867.3046659678221,,999950,200.97362506203353,skipped_for_multi_policy,0,0.0,1000,WHERE,0,1,0,,1,,1,100,policy_threshold
3,2026-02-03T11:16:37.097629,2178.1222911085933,,,True,,1,1562.4721660278738,,1,615.1133750099689,,1000,0.5367500707507133,skipped_for_multi_policy,0,0.0,1000,JOIN,0,1,0,1000,1,,,,join_matches
4,2026-02-03T11:17:15.049969,3283.2158328965306,,,True,,10,2552.79566696845,,10,726.6101660206914,,10,3.809999907389283,skipped_for_multi_policy,0,0.0,1000,GROUP_BY,0,1,0,,1,10,,,num_groups
5,2026-02-03T11:17:28.408561,3133.7115408387035,,,True,,999001,2004.836916923523,,999001,897.3465408198535,,1000000,231.52808309532702,skipped_for_multi_policy,0,0.0,1000,ORDER_BY,0,1,0,,1,,1,100,policy_threshold
6,2026-02-03T11:17:41.873058,3297.7172075770795,,,True,,999001,2138.407207792625,,999001,905.7646249420941,,1000000,253.54537484236062,skipped_for_multi_policy,0,0.0,1000,SELECT,0,1,1,,2,,2,1000,policy_threshold
7,2026-02-03T11:17:46.777079,3039.5976658910513,,,True,,999001,1938.3677910082042,,999001,888.7139579746872,,999950,212.51591690815985,skipped_for_multi_policy,0,0.0,1000,WHERE,0,1,1,,2,,2,1000,policy_threshold
8,2026-02-03T11:17:57.498330,2163.319625193253,,,True,,9001,1570.941667072475,,9001,590.8787501975894,,10000,1.4992079231888056,skipped_for_multi_policy,0,0.0,1000,JOIN,0,1,1,10000,2,,,,join_matches
9,2026-02-03T11:18:35.526085,3271.8396249692887,,,True,,100,2559.4567500520498,,100,708.2854998297989,,100,4.097375087440014,skipped_for_multi_policy,0,0.0,1000,GROUP_BY,0,1,1,,2,100,,,num_groups
10,2026-02-03T11:18:48.979425,3134.983125841245,,,True,,999001,1950.6710420828313,,999001,920.3633337747306,,1000000,263.94874998368323,skipped_for_multi_policy,0,0.0,1000,ORDER_BY,0,1,1,,2,,2,1000,policy_threshold
11,2026-02-03T11:19:02.087450,3051.1535422410816,,,True,,999001,1935.309834079817,,999001,903.2942501362413,,1000000,212.54945802502334,skipped_for_multi_policy,0,0.0,1000,SELECT,0,1,2,,3,,11,10000,policy_threshold
12,2026-02-03T11:19:06.996146,3053.6917080171406,,,True,,999001,1932.6342910062522,,999001,903.6800840403885,,999950,217.3773329705,skipped_for_multi_policy,0,0.0,1000,WHERE,0,1,2,,3,,11,10000,policy_threshold
13,2026-02-03T11:19:20.958191,2221.4584569446743,,,True,,99001,1583.2769160624593,,99001,626.8510408699512,,100000,11.330500012263656,skipped_for_multi_policy,0,0.0,1000,JOIN,0,1,2,100000,3,,,,join_matches
14,2026-02-03T11:19:59.048796,3214.597000274807,,,True,,1000,2480.0142501480877,,1000,730.4972501005977,,1000,4.085500026121736,skipped_for_multi_policy,0,0.0,1000,GROUP_BY,0,1,2,,3,1000,,,num_groups
15,2026-02-03T11:20:12.343868,3137.4170831404626,,,True,,999001,2007.8853331506252,,999001,901.7829580698162,,1000000,227.74879192002118,skipped_for_multi_policy,0,0.0,1000,ORDER_BY,0,1,2,,3,,11,10000,policy_threshold
16,2026-02-03T11:20:25.746376,3062.7118332777172,,,True,,999001,1914.1182091552764,,999001,902.798708062619,,1000000,245.79491605982184,skipped_for_multi_policy,0,0.0,1000,SELECT,0,1,3,,4,,101,100000,policy_threshold
17,2026-02-03T11:20:30.728941,3049.1345410700887,,,True,,999001,1929.3227919843048,,999001,907.0634159725159,,999950,212.74833311326802,skipped_for_multi_policy,0,0.0,1000,WHERE,0,1,3,,4,,101,100000,policy_threshold
18,2026-02-03T11:21:16.947176,2712.067292071879,,,True,,999001,1811.0288339667022,,999001,791.631625033915,,1000000,109.40683307126164,skipped_for_multi_policy,0,0.0,1000,JOIN,0,1,3,1000000,4,,,,join_matches
19,2026-02-03T11:21:55.132677,3241.858375025913,,,True,,10000,2508.5030829068273,,10000,727.0622921641916,,10000,6.292999954894185,skipped_for_multi_policy,0,0.0,1000,GROUP_BY,0,1,3,,4,10000,,,num_groups
20,2026-02-03T11:22:08.318365,3170.5049590673298,,,True,,999001,2024.3043338414282,,999001,924.4441671762615,,1000000,221.75645804964006,skipped_for_multi_policy,0,0.0,1000,ORDER_BY,0,1,3,,4,,101,100000,policy_threshold
