execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_matches,variation_num,variation_num_groups,variation_policy_threshold,variation_rows_to_remove,variation_type
1,2026-02-14T12:25:46.399222,626.2963740155101,,,True,,206.2545830849558,0.6070828530937433,999999,206.86166593804955,,215.07775015197694,0.6079580634832382,999999,215.68570821546018,,203.74899986200035,1000000,203.74899986200035,0.0,skipped_for_select,0.0,0.0,0,0.0,0.0,1,SELECT,0,1,0,,1,,1,100,policy_threshold
2,2026-02-14T12:26:47.242614,59950.66033327021,,"physical=Row count mismatch: dfc=999950, logical=0",False,,206.0902500525117,0.7416659500449896,999950,206.83191600255668,,205.6497922167182,0.6916250567883253,999950,206.34141727350652,,207.29179098270833,999950,207.29179098270833,59310.689916834235,,19.505292177200317,2.440833020955324,0,59330.195209011436,59330.195209011436,1,WHERE,0,1,0,,1,,1,100,policy_threshold
3,2026-02-14T12:26:47.450204,60.34641619771719,,"physical=Row count mismatch: dfc=900, logical=0",False,,0.7695420645177364,0.9249160066246986,900,1.694458071142435,,0.6297910585999489,0.8964580483734608,900,1.5262491069734097,,0.54191704839468,1000,0.54191704839468,55.49516691826284,,1.0886250529438257,1.265082973986864,0,56.583791971206665,56.583791971206665,1,JOIN,0,1,0,1000,1,,,,join_matches
4,2026-02-14T12:27:26.888854,129.96329343877733,,,True,,4.669833928346634,1.9748751074075699,10,6.644709035754204,,10.918790940195322,1.622042153030634,10,12.540833093225956,,5.50075015053153,10,5.50075015053153,34.05879205092788,,71.21820910833776,1.918083056807518,10,105.27700115926564,105.27700115926564,1,GROUP_BY,0,1,0,,1,10,,,num_groups
5,2026-02-14T12:28:26.920040,59093.533583916724,,"physical=Row count mismatch: dfc=999999, logical=0",False,,250.5473750643432,0.723457895219326,999999,251.27083295956254,,258.9807501062751,0.7696249522268772,999999,259.75037505850196,,252.5176249910146,1000000,252.5176249910146,58328.75454192981,,1.2402089778333902,2.5219579692929983,0,58329.994750907645,58329.994750907645,1,ORDER_BY,0,1,0,,1,,1,100,policy_threshold
6,2026-02-14T12:28:28.273636,712.067749351263,,,True,,226.39212501235306,0.7702501025050879,999999,227.16237511485815,,262.43458315730095,0.767833087593317,999999,263.20241624489427,,221.70295799151063,1000000,221.70295799151063,0.0,skipped_for_select,0.0,0.0,0,0.0,0.0,1,SELECT,1,2,0,,1,,1,100,policy_threshold
7,2026-02-14T12:29:27.856053,58537.502624094486,,"physical=Row count mismatch: dfc=999950, logical=0",False,,223.1964161619544,0.7508751004934311,999950,223.94729126244783,,220.5755829345435,0.6964579224586487,999950,221.27204085700214,,220.5054999794811,999950,220.5054999794811,57846.97704203427,,24.800749961286783,2.5232911575585604,0,57871.777791995555,57871.777791995555,1,WHERE,1,2,0,,1,,1,100,policy_threshold
8,2026-02-14T12:29:28.078135,52.86075104959309,,"physical=Row count mismatch: dfc=900, logical=0",False,,0.5125829484313726,0.9389999322593212,900,1.4515828806906939,,0.5776251200586557,0.8979169651865959,900,1.4755420852452517,,0.48870895989239216,1000,0.48870895989239216,48.807833110913634,,0.637084012851119,1.1959581170231104,0,49.44491712376475,49.44491712376475,1,JOIN,1,2,0,1000,1,,,,join_matches
9,2026-02-14T12:30:07.318048,115.54329004138708,,,True,,3.738833125680685,1.9880000036209822,10,5.726833129301667,,10.113249998539686,1.4233330730348825,10,11.536583071574569,,3.6040409468114376,10,3.6040409468114376,30.470874859020114,,64.2049580346793,1.6726250760257244,10,94.67583289369941,94.67583289369941,1,GROUP_BY,1,2,0,,1,10,,,num_groups
10,2026-02-14T12:31:06.650252,58457.6162500307,,"physical=Row count mismatch: dfc=999999, logical=0",False,,253.038875060156,3.2625829335302114,999999,256.3014579936862,,262.8452079370618,0.7360831368714571,999999,263.58129107393324,,262.7522919792682,1000000,262.7522919792682,57673.64608403295,,1.3351249508559704,2.612499985843897,0,57674.98120898381,57674.98120898381,1,ORDER_BY,1,2,0,,1,,1,100,policy_threshold
