execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_count,variation_join_matches,variation_num,variation_num_groups,variation_policy_threshold,variation_rows_to_remove,variation_type
1,2026-02-15T22:30:10.748626,881.6122917924076,,,True,,211.5097080823034,0.6393750663846731,999999,212.14908314868808,,241.4997920859605,True,,0.9000417776405811,999999,242.3998338636011,,213.83749996311963,0.6238748319447041,999999,214.46137479506433,,212.60199998505414,1000000,212.60199998505414,0.0,skipped_for_select,0.0,0.0,0,0.0,0.0,1,SELECT,0,1,0,,,1,,1,100,policy_threshold
2,2026-02-15T22:30:12.946217,879.5076254755259,,,True,,209.87995783798397,0.5789590068161488,999999,210.45891684480011,,240.94816693104804,True,,0.8899997919797897,999999,241.83816672302783,,214.21287511475384,0.6812917999923229,999999,214.89416691474617,,212.31637499295175,1000000,212.31637499295175,0.0,skipped_for_select,0.0,0.0,0,0.0,0.0,1,SELECT,1,2,0,,,1,,1,100,policy_threshold
3,2026-02-15T22:30:15.039436,872.0234169159085,,,True,,210.83329198881984,0.7867501117289066,999999,211.62004210054874,,240.22895796224475,True,,0.8923748973757029,999999,241.12133285962045,,210.48016706481576,0.6002499721944332,999999,211.0804170370102,,208.20162491872907,1000000,208.20162491872907,0.0,skipped_for_select,0.0,0.0,0,0.0,0.0,1,SELECT,2,3,0,,,1,,1,100,policy_threshold
4,2026-02-15T22:30:17.077494,869.3567092996091,,,True,,209.37104104086757,0.8757079485803843,999999,210.24674898944795,,238.5144589934498,True,,0.9002501610666513,999999,239.41470915451646,,210.87670815177262,0.7018339820206165,999999,211.57854213379323,,208.11670902185142,1000000,208.11670902185142,0.0,skipped_for_select,0.0,0.0,0,0.0,0.0,1,SELECT,3,4,0,,,1,,1,100,policy_threshold
5,2026-02-15T22:30:19.109583,869.0868334379047,,,True,,208.46979203633964,0.5737910978496075,999999,209.04358313418925,,241.20862502604723,True,,0.9567090310156345,999999,242.16533405706286,,210.85245814174414,0.6352080963551998,999999,211.48766623809934,,206.39025000855327,1000000,206.39025000855327,0.0,skipped_for_select,0.0,0.0,0,0.0,0.0,1,SELECT,4,5,0,,,1,,1,100,policy_threshold
6,2026-02-15T22:30:23.346957,864.916413789615,,,True,,208.94533302634954,0.7269158959388733,999950,209.67224892228842,,235.75333296321332,True,,1.1379581410437822,999950,236.8912911042571,,210.85141599178314,0.7077499758452177,999950,211.55916596762836,,206.79370779544115,999950,206.79370779544115,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,0,1,0,,,1,,1,100,policy_threshold
7,2026-02-15T22:30:25.390692,872.3711657803506,,,True,,211.6827080026269,0.7091250736266375,999950,212.39183307625353,,237.33395896852016,True,,0.9547499939799309,999950,238.2887089625001,,213.3572909515351,0.6854159291833639,999950,214.04270688071847,,207.64791686087847,999950,207.64791686087847,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,1,2,0,,,1,,1,100,policy_threshold
8,2026-02-15T22:30:27.425428,868.9354590605944,,,True,,210.0745839998126,0.6925419438630342,999950,210.76712594367564,,237.4064999166876,True,,1.0242080315947533,999950,238.43070794828236,,213.1524169817567,0.701625132933259,999950,213.85404211468995,,205.8835830539465,999950,205.8835830539465,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,2,3,0,,,1,,1,100,policy_threshold
9,2026-02-15T22:30:29.468516,871.9542489852756,,,True,,211.86845912598073,0.6599999032914639,999950,212.5284590292722,,239.98233303427696,True,,0.9757908992469311,999950,240.9581239335239,,212.07120805047452,0.7546250708401203,999950,212.82583312131464,,205.6418329011649,999950,205.6418329011649,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,3,4,0,,,1,,1,100,policy_threshold
10,2026-02-15T22:30:31.521258,874.3145831394941,,,True,,211.15645905956626,0.9238331113010645,999950,212.08029217086732,,242.08045797422528,True,,0.9679580107331276,999950,243.0484159849584,,210.7861249241978,0.8120001293718815,999950,211.59812505356967,,207.58774993009865,999950,207.58774993009865,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,4,5,0,,,1,,1,100,policy_threshold
11,2026-02-15T22:30:31.731176,8.19004187360406,,,True,,0.8913329802453518,0.8358750492334366,900,1.7272080294787884,,2.84529197961092,True,,1.1748750694096088,900,4.020167049020529,,0.6507500074803829,0.8807918056845665,900,1.5315418131649494,,0.9111249819397926,1000,0.9111249819397926,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,JOIN,0,1,0,,1000,1,,,,join_matches
