execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_count,variation_join_matches,variation_num,variation_num_groups,variation_num_rows,variation_policy_threshold,variation_rows_to_remove,variation_type
1,2026-02-17T04:54:05.668109,2.4755853228271008,,,True,,0.14337501488626003,0.38733403198421,1,0.53070904687047,,0.21450011990964413,True,,0.6572091951966286,1,0.8717093151062727,,0.20583299919962883,0.7585419807583094,1,0.9643749799579382,,0.10879198089241982,1,0.10879198089241982,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,0,1,0,,,1,,1000,,,num_rows
2,2026-02-17T04:54:05.670484,2.3346662055701017,,,True,,0.14308304525911808,0.3697918727993965,1,0.5128749180585146,,0.22150017321109772,True,,0.5656250286847353,1,0.787125201895833,,0.20541599951684475,0.730500090867281,1,0.9359160903841257,,0.09874999523162842,1,0.09874999523162842,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,1,2,0,,,1,,1000,,,num_rows
3,2026-02-17T04:54:05.673330,2.8004159685224295,,,True,,0.1307500060647726,0.8274160791188478,1,0.9581660851836205,,0.19675004296004772,True,,0.6053750403225422,1,0.8021250832825899,,0.19170809537172318,0.715416856110096,1,0.9071249514818192,,0.13299984857439995,1,0.13299984857439995,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,2,3,0,,,1,,1000,,,num_rows
4,2026-02-17T04:54:05.675524,2.1661249920725822,,,True,,0.11758296750485897,0.30687497928738594,1,0.4244579467922449,,0.1788749359548092,True,,0.5422080866992474,1,0.7210830226540565,,0.17854198813438416,0.7337089627981186,1,0.9122509509325027,,0.10833307169377804,1,0.10833307169377804,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,3,4,0,,,1,,1000,,,num_rows
5,2026-02-17T04:54:05.677624,2.0735841244459152,,,True,,0.11862488463521004,0.31495816074311733,1,0.43358304537832737,,0.18133409321308136,True,,0.5291251000016928,1,0.7104591932147741,,0.17570913769304752,0.6693748291581869,1,0.8450839668512344,,0.08445791900157928,1,0.08445791900157928,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,4,5,0,,,1,,1000,,,num_rows
6,2026-02-17T04:54:05.996638,2.6504581328481436,,,True,,0.14408305287361145,0.3298330120742321,1,0.47391606494784355,,0.503667164593935,True,,0.5808330606669188,1,1.0845002252608538,,0.21395785734057426,0.7675839588046074,1,0.9815418161451817,,0.1105000264942646,1,0.1105000264942646,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,0,1,1,,,2,,10000,,,num_rows
7,2026-02-17T04:54:05.998822,2.153166336938739,,,True,,0.14033308252692223,0.30308403074741364,1,0.44341711327433586,,0.18858304247260094,True,,0.5167501512914896,1,0.7053331937640905,,0.2192910760641098,0.6656248588114977,1,0.8849159348756075,,0.11950009502470493,1,0.11950009502470493,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,1,2,1,,,2,,10000,,,num_rows
8,2026-02-17T04:54:06.001028,2.179127186536789,,,True,,0.14154193922877312,0.33537507988512516,1,0.4769170191138983,,0.1705000177025795,True,,0.5735841114073992,1,0.7440841291099787,,0.19762502051889896,0.6490419618785381,1,0.8466669823974371,,0.11145905591547489,1,0.11145905591547489,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,2,3,1,,,2,,10000,,,num_rows
9,2026-02-17T04:54:06.003174,2.1177090238779783,,,True,,0.14129211194813251,0.30079204589128494,1,0.44208415783941746,,0.19116699695587158,True,,0.5096248351037502,1,0.7007918320596218,,0.19687507301568985,0.6530829705297947,1,0.8499580435454845,,0.12487499043345451,1,0.12487499043345451,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,3,4,1,,,2,,10000,,,num_rows
10,2026-02-17T04:54:06.005310,2.111460082232952,,,True,,0.12425007298588753,0.3368749748915434,1,0.4611250478774309,,0.1740839798003435,True,,0.4924589302390814,1,0.6665429100394249,,0.224041985347867,0.6718751974403858,1,0.8959171827882528,,0.08787494152784348,1,0.08787494152784348,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,4,5,1,,,2,,10000,,,num_rows
