execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_count,variation_join_matches,variation_num,variation_num_groups,variation_policy_threshold,variation_rows_to_remove,variation_type
1,2026-02-17T02:55:30.741703,8874.107248615474,,,True,,2126.0679580736905,2.0907078869640827,9999950,2128.1586659606546,,2111.8376669473946,True,,0.6921670865267515,9999950,2112.5298340339214,,2566.907540895045,0.8893748745322227,9999950,2567.796915769577,,2065.6218328513205,9999950,2065.6218328513205,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,0,1,0,,,1,,0,0,policy_threshold
2,2026-02-17T02:55:57.719993,9050.699457759038,,,True,,2064.4979998469353,1.9311250653117895,9999950,2066.429124912247,,2467.341958079487,True,,0.7387078367173672,9999950,2468.0806659162045,,2434.3971249181777,0.9742500260472298,9999950,2435.371374944225,,2080.818291986361,9999950,2080.818291986361,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,1,2,0,,,1,,0,0,policy_threshold
3,2026-02-17T02:56:25.550175,8761.551166884601,,,True,,2022.1776668913662,2.037124941125512,9999950,2024.2147918324918,,2123.9091251045465,True,,0.6972909905016422,9999950,2124.606416095048,,2530.420333845541,0.8532910142093897,9999950,2531.2736248597503,,2081.456334097311,9999950,2081.456334097311,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,2,3,0,,,1,,0,0,policy_threshold
4,2026-02-17T02:56:51.618672,8892.522874986753,,,True,,2052.8014169540256,1.9954589661210775,9999950,2054.7968759201467,,2107.527333078906,True,,0.6772910710424185,9999950,2108.2046241499484,,2610.616958932951,0.8476250804960728,9999950,2611.464584013447,,2118.0567909032106,9999950,2118.0567909032106,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,3,4,0,,,1,,0,0,policy_threshold
5,2026-02-17T02:57:16.747785,8669.383038999513,,,True,,2026.135416002944,1.9970410503447056,9999950,2028.1324570532888,,2017.625957960263,True,,0.6708330474793911,9999950,2018.2967910077423,,2571.1003330070525,0.8337921462953091,9999950,2571.934125153348,,2051.019665785134,9999950,2051.019665785134,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,4,5,0,,,1,,0,0,policy_threshold
6,2026-02-17T02:58:13.519349,9043.568666093051,,,True,,2079.090957995504,4.371708026155829,9999950,2083.46266602166,,2139.7924579214305,True,,0.6271670572459698,9999950,2140.4196249786764,,2640.240208012983,1.8203749787062407,9999950,2642.0605829916894,,2177.6257921010256,9999950,2177.6257921010256,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,0,1,1,,,2,,1000000,1000000,policy_threshold
7,2026-02-17T02:58:39.115811,8645.821165526286,,,True,,2046.644583111629,2.5672081392258406,9999950,2049.2117912508547,,2088.862958131358,True,,1.47387501783669,9999950,2090.3368331491947,,2461.376375053078,1.7052500043064356,9999950,2463.0816250573844,,2043.190916068852,9999950,2043.190916068852,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,1,2,1,,,2,,1000000,1000000,policy_threshold
8,2026-02-17T02:59:07.242561,8669.548499863595,,,True,,2041.0818750970066,2.1912080701440573,9999950,2043.2730831671506,,2050.3626249264926,True,,1.6115838661789894,9999950,2051.9742087926716,,2530.8657500427216,1.0105827823281288,9999950,2531.8763328250498,,2042.4248750787228,9999950,2042.4248750787228,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,2,3,1,,,2,,1000000,1000000,policy_threshold
9,2026-02-17T02:59:34.374203,8758.721039863303,,,True,,2153.8834997918457,2.5558751076459885,9999950,2156.4393748994917,,2159.398917108774,True,,0.8882079273462296,9999950,2160.2871250361204,,2368.299416033551,0.8662908803671598,9999950,2369.1657069139183,,2072.828833013773,9999950,2072.828833013773,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,3,4,1,,,2,,1000000,1000000,policy_threshold
10,2026-02-17T03:00:01.298666,9521.470207022503,,,True,,2396.878666942939,12.113249860703945,9999950,2408.991916803643,,2066.2204581312835,True,,2.156208036467433,9999950,2068.376666167751,,2545.0756249483675,6.636708043515682,9999950,2551.712332991883,,2492.389291059226,9999950,2492.389291059226,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,4,5,1,,,2,,1000000,1000000,policy_threshold
11,2026-02-17T03:00:58.713699,8939.732916187495,,,True,,2136.0937079880387,1.9660829566419125,9999950,2138.0597909446806,,2227.4385830387473,True,,0.6469590589404106,9999950,2228.0855420976877,,2510.6571251526475,0.8169170469045639,9999950,2511.474042199552,,2062.1135409455746,9999950,2062.1135409455746,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,0,1,2,,,3,,2000000,2000000,policy_threshold
12,2026-02-17T03:01:24.529588,8680.451331660151,,,True,,2032.8115408774465,2.1275829058140516,9999950,2034.9391237832606,,2079.580625053495,True,,0.6617498584091663,9999950,2080.2423749119043,,2508.087791968137,0.7945830002427101,9999950,2508.8823749683797,,2056.387457996607,9999950,2056.387457996607,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,1,2,2,,,3,,2000000,2000000,policy_threshold
13,2026-02-17T03:01:51.166482,8749.511623056605,,,True,,2038.9442909508944,2.0057079382240772,9999950,2040.9499988891184,,2118.0568339768797,True,,0.6242911331355572,9999950,2118.6811251100153,,2542.7863330114633,0.8094580844044685,9999950,2543.5957910958678,,2046.284707961604,9999950,2046.284707961604,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,2,3,2,,,3,,2000000,2000000,policy_threshold
14,2026-02-17T03:02:18.172080,8877.245501847938,,,True,,2049.5097499806434,1.9210418686270714,9999950,2051.4307918492705,,2031.2259590718895,True,,0.6256250198930502,9999950,2031.8515840917826,,2753.866417100653,0.7979169022291899,9999950,2754.6643340028822,,2039.2987919040024,9999950,2039.2987919040024,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,3,4,2,,,3,,2000000,2000000,policy_threshold
15,2026-02-17T03:02:44.495358,8703.349750023335,,,True,,2041.8117921799421,1.9447081722319126,9999950,2043.756500352174,,2199.062957894057,True,,0.6292499601840973,9999950,2199.692207854241,,2417.4474158789963,0.8007918950170279,9999950,2418.2482077740133,,2041.6528340429068,9999950,2041.6528340429068,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,4,5,2,,,3,,2000000,2000000,policy_threshold
16,2026-02-17T03:03:40.890701,8872.491459129378,,,True,,2087.8594170790166,2.1750000305473804,9999950,2090.034417109564,,2098.219957901165,True,,0.7073341403156519,9999950,2098.9272920414805,,2587.8737079910934,3.9667501114308834,9999950,2591.8404581025243,,2091.6892918758094,9999950,2091.6892918758094,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,0,1,3,,,4,,4000000,4000000,policy_threshold
17,2026-02-17T03:04:07.391030,8985.487041296437,,,True,,2067.974666832015,2.0769161637872458,9999950,2070.051582995802,,2355.767250061035,True,,0.6072081159800291,9999950,2356.374458177015,,2475.753208156675,0.8107919711619616,9999950,2476.564000127837,,2082.496999995783,9999950,2082.496999995783,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,1,2,3,,,4,,4000000,4000000,policy_threshold
18,2026-02-17T03:04:34.070479,9027.300875168294,,,True,,2161.0302499029785,1.97366694919765,9999950,2163.003916852176,,2177.2289171349257,True,,0.6530000828206539,9999950,2177.8819172177464,,2573.16808286123,0.7989171426743269,9999950,2573.967000003904,,2112.448041094467,9999950,2112.448041094467,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,2,3,3,,,4,,4000000,4000000,policy_threshold
19,2026-02-17T03:04:59.281662,8765.942832455039,,,True,,2039.0538331121206,1.8565831705927849,9999950,2040.9104162827134,,2060.6685001403093,True,,0.6197497714310884,9999950,2061.2882499117404,,2622.0555000472814,0.8129160851240158,9999950,2622.8684161324054,,2040.8757501281798,9999950,2040.8757501281798,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,3,4,3,,,4,,4000000,4000000,policy_threshold
20,2026-02-17T03:05:28.207928,8980.93095771037,,,True,,2300.866749836132,1.9654999487102032,9999950,2302.832249784842,,2110.4906669352204,True,,0.7876250892877579,9999950,2111.278292024508,,2410.1132079958916,0.8798749186098576,9999950,2410.9930829145014,,2155.8273329865187,9999950,2155.8273329865187,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,4,5,3,,,4,,4000000,4000000,policy_threshold
21,2026-02-17T03:06:21.967948,8800.092500867322,,,True,,2097.9992079082876,1.978292129933834,9999950,2099.9775000382215,,2105.4653339087963,True,,0.6144579965621233,9999950,2106.0797919053584,,2521.880791988224,0.7814168930053711,9999950,2522.662208881229,,2071.373000042513,9999950,2071.373000042513,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,0,1,4,,,5,,8000000,8000000,policy_threshold
22,2026-02-17T03:06:50.063761,9270.694417413324,,,True,,2488.1479998584837,1.9562500528991222,9999950,2490.104249911383,,2204.62679117918,True,,0.6737092044204473,9999950,2205.3005003836006,,2488.5463339742273,0.8389579597860575,9999950,2489.3852919340134,,2085.9043751843274,9999950,2085.9043751843274,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,1,2,4,,,5,,8000000,8000000,policy_threshold
23,2026-02-17T03:07:17.716924,8915.911414893344,,,True,,2136.7812079843134,1.865082886070013,9999950,2138.6462908703834,,2106.3399580307305,True,,0.6296669598668814,9999950,2106.9696249905974,,2536.9289577938616,0.7976251654326916,9999950,2537.7265829592943,,2132.568916073069,9999950,2132.568916073069,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,WHERE,2,3,4,,,5,,8000000,8000000,policy_threshold
