execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_exec_time_ms,logical_match,logical_match_error,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_exec_time_ms,physical_lineage_query_time_ms,physical_match,physical_match_error,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,row_count,run_num,table_width
1,2026-02-15T02:26:50.834739,727.6796668302268,,,True,202.17974996194243,27.858792105689645,1,230.03854206763208,190.10687503032386,True,,149.9084171373397,1,340.0152921676636,95.79370892606676,1,95.79370892606676,105.99724994972348,,239.59933291189373,133.60208296217024,True,,64.01104177348316,1,239.59933291189373,239.59933291189373,1,WIDE_AGG,100000,1,1000
2,2026-02-15T02:26:51.804620,726.419541053474,,,True,203.96041707135737,27.259707916527987,1,231.22012498788536,184.63954096660018,True,,148.27500004321337,1,332.91454100981355,94.55666691064835,1,94.55666691064835,113.50408312864602,,243.26291610486805,129.75883297622204,True,,43.361041927710176,1,243.26291610486805,243.26291610486805,1,WIDE_AGG,100000,2,1000
3,2026-02-15T02:26:52.780108,728.9843324106187,,,True,214.6315830759704,27.947833063080907,1,242.57941613905132,184.58541622385383,True,,150.76666697859764,1,335.35208320245147,94.0261660143733,1,94.0261660143733,106.04141699150205,,235.74116709642112,129.69975010491908,True,,43.33029198460281,1,235.74116709642112,235.74116709642112,1,WIDE_AGG,100000,3,1000
4,2026-02-15T02:26:53.755293,712.1205830480903,,,True,199.0186250768602,49.03191584162414,1,248.05054091848433,183.91945818439126,True,,124.10079198889434,1,308.0202501732856,90.58000007644296,1,90.58000007644296,104.60912482813,,238.60249971039593,133.99337488226593,True,,43.20425004698336,1,238.60249971039593,238.60249971039593,1,WIDE_AGG,100000,4,1000
5,2026-02-15T02:26:54.710050,713.0522499792278,,,True,200.87766693904996,27.376624988391995,1,228.25429192744195,181.42824992537498,True,,146.34725009091198,1,327.77550001628697,94.00991606526077,1,94.00991606526077,102.59287501685321,,236.73641704954207,134.14354203268886,True,,43.422583024948835,1,236.73641704954207,236.73641704954207,1,WIDE_AGG,100000,5,1000
6,2026-02-15T02:27:05.277472,1942.0380827505141,,,True,540.9056248608977,54.43016602657735,1,595.335790887475,508.1882500089705,True,,320.2875410206616,1,828.4757910296321,254.47358307428658,1,254.47358307428658,300.86495797149837,,638.4706248063594,337.60566683486104,True,,112.89824987761676,1,638.4706248063594,638.4706248063594,1,WIDE_AGG,100000,1,2000
7,2026-02-15T02:27:07.778998,1983.404415892437,,,True,544.2704160232097,54.281292017549276,1,598.551708040759,536.2034169957042,True,,317.4656250048429,1,853.669042000547,256.2746668700129,1,256.2746668700129,303.78041602671146,,646.6559160035104,342.8754999767989,True,,115.32950005494058,1,646.6559160035104,646.6559160035104,1,WIDE_AGG,100000,2,2000
8,2026-02-15T02:27:10.265439,1966.3958761375397,,,True,543.8669580034912,78.57633312232792,1,622.4432911258191,526.549959089607,True,,297.2543751820922,1,823.8043342716992,264.2220000270754,1,264.2220000270754,298.4584169462323,,631.7569590173662,333.29854207113385,True,,113.21466718800366,1,631.7569590173662,631.7569590173662,1,WIDE_AGG,100000,3,2000
9,2026-02-15T02:27:12.751215,1967.813252005726,,,True,536.140084033832,78.522166935727,1,614.662250969559,523.2946248725057,True,,295.57666601613164,1,818.8712908886373,266.9625421985984,1,266.9625421985984,302.9750420246273,,641.4160009007901,338.44095887616277,True,,112.3171248473227,1,641.4160009007901,641.4160009007901,1,WIDE_AGG,100000,4,2000
10,2026-02-15T02:27:15.334459,2064.9533760733902,,,True,555.3789169061929,76.26612484455109,1,631.645041750744,527.784125180915,True,,298.4643750824034,1,826.2485002633184,340.75358300469816,1,340.75358300469816,304.9441671464592,,641.0367509815842,336.09258383512497,True,,112.65962501056492,1,641.0367509815842,641.0367509815842,1,WIDE_AGG,100000,5,2000
11,2026-02-15T02:27:33.444801,3767.3044577240944,,,True,1027.6875828858465,83.69629201479256,1,1111.383874900639,1028.4614581614733,True,,525.407083099708,1,1553.8685412611812,498.65616695024073,1,498.65616695024073,581.5624168608338,,1212.499249726534,630.9368328657001,True,,164.8625829257071,1,1212.499249726534,1212.499249726534,1,WIDE_AGG,100000,1,3000
12,2026-02-15T02:27:38.095089,3818.208791781217,,,True,1076.100999955088,111.41874990426004,1,1187.519749859348,1006.1264168471098,True,,494.9004170484841,1,1501.0268338955939,511.06024999171495,1,511.06024999171495,583.0488339997828,,1224.9211249873042,641.8722909875214,True,,154.91049992851913,1,1224.9211249873042,1224.9211249873042,1,WIDE_AGG,100000,2,3000
13,2026-02-15T02:27:42.745506,3839.1932900995016,,,True,1020.0557080097497,82.86779187619686,1,1102.9234998859465,991.8909999541938,True,,526.0215001180768,1,1517.9125000722706,485.9098750166595,1,485.9098750166595,595.6029160879552,,1341.3367071188986,745.7337910309434,True,,163.6172910220921,1,1341.3367071188986,1341.3367071188986,1,WIDE_AGG,100000,3,3000
14,2026-02-15T02:27:47.316639,3726.7465421464294,,,True,1014.7153751458973,111.03537492454052,1,1125.7507500704378,1016.3913748692721,True,,520.869042025879,1,1537.2604168951511,478.80012495443225,1,478.80012495443225,592.3579591326416,,1216.8396671768278,624.4817080441862,True,,173.98879094980657,1,1216.8396671768278,1216.8396671768278,1,WIDE_AGG,100000,4,3000
15,2026-02-15T02:27:51.908736,3761.0043762251735,,,True,1012.0352499652654,108.56579197570682,1,1120.6010419409722,1008.913875091821,True,,494.2122499924153,1,1503.1261250842363,491.6839590296149,1,491.6839590296149,589.5121670328081,,1248.3712921384722,658.8591251056641,True,,190.421209204942,1,1248.3712921384722,1248.3712921384722,1,WIDE_AGG,100000,5,3000
16,2026-02-15T02:28:18.681686,6151.246082037687,,,True,1625.3819160629064,142.45483302511275,1,1767.8367490880191,1660.6930419802666,True,,715.049457969144,1,2375.7424999494106,821.457332931459,1,821.457332931459,934.8097080364823,,2043.7137910630554,1108.904083026573,True,,236.56258406117558,1,2043.7137910630554,2043.7137910630554,1,WIDE_AGG,100000,1,4000
17,2026-02-15T02:28:25.822840,5993.435999378562,,,True,1654.027792159468,141.65920787490904,1,1795.687000034377,1637.3369579669088,True,,719.925083918497,1,2357.262041885406,793.1713331490755,1,793.1713331490755,929.3602500110865,,1908.8999161031097,979.5396660920233,True,,198.63529107533395,1,1908.8999161031097,1908.8999161031097,1,WIDE_AGG,100000,2,4000
18,2026-02-15T02:28:32.962175,5909.617583267391,,,True,1578.9052080363035,218.90974999405444,1,1797.814958030358,1620.4158330801874,True,,743.7027920968831,1,2364.1186251770705,776.714958017692,1,776.714958017692,929.2840419802815,,1933.5815841332078,1004.2975421529263,True,,222.19954105094075,1,1933.5815841332078,1933.5815841332078,1,WIDE_AGG,100000,3,4000
