execution_number,timestamp,duration_ms,error,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,join_count,no_policy_error,no_policy_exec_time_ms,no_policy_rows,num_rows,run_num,source_count,table_count
1,2026-02-06T11:59:09.953155,4.55745798535645,,,1.5037499833852053,1.0384588968008757,10,2.542208880186081,2,,2.013874938711524,10,10000,1,2,3
2,2026-02-06T11:59:09.975912,4.506333963945508,,,1.3836249709129333,1.0628749150782824,10,2.4464998859912157,2,,2.058458048850298,10,10000,2,2,3
3,2026-02-06T11:59:09.998562,5.032415967434645,,,2.3334170691668987,1.0905829258263111,10,3.42399999499321,2,,1.6059158369898796,10,10000,3,2,3
4,2026-02-06T11:59:10.020160,4.045083187520504,,,1.5311669558286667,0.9807499591261148,10,2.5119169149547815,2,,1.5322910621762276,10,10000,4,2,3
5,2026-02-06T11:59:10.044005,5.049875006079674,,,1.8791251350194216,1.0830420069396496,10,2.962167141959071,2,,2.085832878947258,10,10000,5,2,3
6,2026-02-06T11:59:10.069718,6.913208868354559,,,2.4302080273628235,1.344291027635336,10,3.7744990549981594,4,,3.1371251679956913,10,10000,1,2,5
7,2026-02-06T11:59:10.092695,5.800334038212895,,,2.1504168398678303,1.3411249965429306,10,3.491541836410761,4,,2.3076250217854977,10,10000,2,2,5
8,2026-02-06T11:59:10.116596,5.991874961182475,,,2.0654171239584684,1.3637919910252094,10,3.429209114983678,4,,2.561416942626238,10,10000,3,2,5
9,2026-02-06T11:59:10.140330,5.882000084966421,,,2.074332907795906,1.3387908693403006,10,3.4131237771362066,4,,2.4674588348716497,10,10000,4,2,5
10,2026-02-06T11:59:10.164005,6.143040955066681,,,2.3857499472796917,1.320874784141779,10,3.7066247314214706,4,,2.435040893033147,10,10000,5,2,5
11,2026-02-06T11:59:10.204899,5.705083021894097,,,1.9544169772416353,1.5686249826103449,10,3.52304195985198,4,,2.1805420983582735,10,10000,1,4,5
