execution_number,timestamp,duration_ms,error,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,join_count,no_policy_error,no_policy_exec_time_ms,no_policy_rows,num_rows,run_num,source_count,table_count
1,2026-02-16T01:19:40.826689,7.377875037491322,,,1.2947500217705965,1.2223338708281517,10,2.517083892598748,,1.6069160774350166,1.8569170497357845,10,3.463833127170801,2,,1.3925828970968723,10,10000,1,2,3
2,2026-02-16T01:19:40.839236,6.267750170081854,,,1.018540933728218,0.9607078973203897,10,1.9792488310486078,,1.6232500784099102,1.7858748324215412,10,3.4091249108314514,2,,0.8758748881518841,10,10000,2,2,3
3,2026-02-16T01:19:40.852086,6.245041964575648,,,1.0498750489205122,1.0114579927176237,10,2.061333041638136,,1.4679997693747282,1.6657079104334116,10,3.13370767980814,2,,1.0475830640643835,10,10000,3,2,3
4,2026-02-16T01:19:40.865596,7.021874887868762,,,1.185583183541894,1.1613750830292702,10,2.346958266571164,,1.8080000299960375,1.766375033184886,10,3.5743750631809235,2,,1.095250016078353,10,10000,4,2,3
5,2026-02-16T01:19:40.878572,6.366749992594123,,,1.0430829133838415,1.1519580148160458,10,2.1950409281998873,,1.3833330012857914,1.60491606220603,10,2.9882490634918213,2,,1.1814171448349953,10,10000,5,2,3
6,2026-02-16T01:19:40.891989,7.37854209728539,,,1.169667113572359,0.9321670513600111,10,2.10183416493237,,1.8600840121507645,2.538332948461175,10,4.398416960611939,2,,0.8755000308156013,10,10000,6,2,3
7,2026-02-16T01:19:40.905530,7.14358314871788,,,1.195667078718543,1.1184171307832003,10,2.3140842095017433,,1.7580001149326563,1.9720420241355896,10,3.730042139068246,2,,1.0965419933199883,10,10000,7,2,3
8,2026-02-16T01:19:40.917831,6.036417093127966,,,0.9342089761048555,0.9699170477688313,10,1.9041260238736868,,1.4682919718325138,1.6506249085068703,10,3.118916880339384,2,,1.0119578801095486,10,10000,8,2,3
9,2026-02-16T01:19:40.930251,6.261707982048392,,,1.0040830820798874,1.0167919099330902,10,2.0208749920129776,,1.4275829307734966,1.6499999910593033,10,3.0775829218328,2,,1.161583000794053,10,10000,9,2,3
10,2026-02-16T01:19:40.942881,6.689499830827117,,,1.272082794457674,1.0182498954236507,10,2.2903326898813248,,1.6781671438366175,1.72887509688735,10,3.4070422407239676,2,,0.9894999675452709,10,10000,10,2,3
