execution_number,timestamp,duration_ms,error,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,join_count,no_policy_error,no_policy_exec_time_ms,no_policy_rows,num_rows,run_num,source_count,table_count
1,2026-02-14T18:21:36.307713,3.4867909271270037,,,1.3201248366385698,1.0082919616252184,10,2.3284167982637882,2,,1.1575419921427965,10,10000,1,2,3
2,2026-02-14T18:21:36.317890,3.922708798199892,,,1.0550420265644789,1.0422500781714916,10,2.0972921047359705,2,,1.8241670913994312,10,10000,2,2,3
3,2026-02-14T18:21:36.327232,3.3191251568496227,,,1.2003339361399412,1.0507090482860804,10,2.2510429844260216,2,,1.0671669151633978,10,10000,3,2,3
4,2026-02-14T18:21:36.337281,3.9067501202225685,,,1.3032080605626106,1.155999954789877,10,2.4592080153524876,2,,1.4463330153375864,10,10000,4,2,3
5,2026-02-14T18:21:36.346440,3.310666885226965,,,1.3418749440461397,0.972250010818243,10,2.3141249548643827,2,,0.9958751033991575,10,10000,5,2,3
6,2026-02-14T18:21:36.358368,5.500541999936104,,,2.091915812343359,1.2625409290194511,10,3.35445674136281,4,,2.1452910732477903,10,10000,1,2,5
7,2026-02-14T18:21:36.370456,5.821540951728821,,,1.8826250452548265,1.3301658909767866,10,3.212790936231613,4,,2.607583999633789,10,10000,2,2,5
8,2026-02-14T18:21:36.382679,6.330749951303005,,,2.68641603179276,1.5216250903904438,10,4.208041122183204,4,,2.121667144820094,10,10000,3,2,5
9,2026-02-14T18:21:36.394473,5.77479088678956,,,2.026124857366085,1.8599580507725477,10,3.8860829081386328,4,,1.8879170529544353,10,10000,4,2,5
10,2026-02-14T18:21:36.405755,5.0447918474674225,,,1.9272500649094582,1.363332848995924,10,3.290582913905382,4,,1.7532908823341131,10,10000,5,2,5
11,2026-02-14T18:21:36.422887,5.456333048641682,,,1.7413331661373377,1.5435409732162952,10,3.284874139353633,4,,2.17054202221334,10,10000,1,4,5
12,2026-02-14T18:21:36.439828,5.234583048149943,,,1.7303330823779106,1.5957909636199474,10,3.326124045997858,4,,1.9075421150773764,10,10000,2,4,5
13,2026-02-14T18:21:36.457477,5.714499857276678,,,1.9963751547038555,1.6416250728070736,10,3.638000227510929,4,,2.0752910058945417,10,10000,3,4,5
14,2026-02-14T18:21:36.474569,5.285250023007393,,,1.7820422071963549,1.5240421053022146,10,3.3060843124985695,4,,1.978208078071475,10,10000,4,4,5
15,2026-02-14T18:21:36.491655,5.395709071308374,,,1.7524580471217632,1.6182500403374434,10,3.3707080874592066,4,,2.0240419544279575,10,10000,5,4,5
16,2026-02-14T18:21:36.506800,9.147875010967255,,,3.582499921321869,1.9917499739676714,10,5.57424989528954,8,,3.571916837245226,10,10000,1,2,9
17,2026-02-14T18:21:36.522410,9.533083997666836,,,3.625915851444006,2.047250047326088,10,5.673165898770094,8,,3.858458949252963,10,10000,2,2,9
18,2026-02-14T18:21:36.539157,10.728792054578662,,,3.6837500520050526,2.4012920912355185,10,6.085042143240571,8,,4.641999956220388,10,10000,3,2,9
19,2026-02-14T18:21:36.555186,9.885499952360988,,,3.614958142861724,2.114332979544997,10,5.729291122406721,8,,4.154207883402705,10,10000,4,2,9
20,2026-02-14T18:21:36.570893,9.678374975919724,,,3.527207998558879,2.0172500517219305,10,5.544458050280809,8,,4.132208880037069,10,10000,5,2,9
21,2026-02-14T18:21:36.592497,9.704792173579335,,,3.7253329064697027,2.2499170154333115,10,5.975249921903014,8,,3.727792063727975,10,10000,1,4,9
