execution_number,timestamp,duration_ms,error,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,join_count,no_policy_error,no_policy_exec_time_ms,no_policy_rows,num_rows,run_num,source_count,table_count
1,2026-02-06T12:05:29.793733,64.69929195009172,,,32.48475003056228,1.5565420035272837,10,34.041292034089565,2,,30.655208975076675,10,1000000,1,2,3
2,2026-02-06T12:05:29.864966,52.50587500631809,,,25.456000119447708,1.2441668659448624,10,26.70016698539257,2,,25.80208284780383,10,1000000,2,2,3
3,2026-02-06T12:05:29.940736,57.46612488292158,,,26.650291867554188,1.229416113346815,10,27.879707980901003,2,,29.584332834929228,10,1000000,3,2,3
4,2026-02-06T12:05:30.012598,53.80058288574219,,,26.279041077941656,1.1913750786334276,10,27.470416156575084,2,,26.326792081817985,10,1000000,4,2,3
5,2026-02-06T12:05:30.083443,52.39916709251702,,,25.30675008893013,1.1224590707570314,10,26.42920915968716,2,,25.967624969780445,10,1000000,5,2,3
6,2026-02-06T12:05:30.223767,121.95633305236697,,,59.9144590087235,1.443750225007534,10,61.35820923373103,4,,60.59537502005696,10,1000000,1,2,5
7,2026-02-06T12:05:30.363697,120.58258382603526,,,61.08666700311005,1.5327499713748693,10,62.61941697448492,4,,57.95954097993672,10,1000000,2,2,5
8,2026-02-06T12:05:30.504855,122.18266702257097,,,61.65041704662144,1.4505828730762005,10,63.10099991969764,4,,59.078667080029845,10,1000000,3,2,5
9,2026-02-06T12:05:30.647741,123.51904204115272,,,61.880625085905194,1.497957855463028,10,63.37858294136822,4,,60.137375025078654,10,1000000,4,2,5
10,2026-02-06T12:05:30.788151,121.42479210160673,,,60.09174999780953,1.5222919173538685,10,61.6140419151634,4,,59.80804190039635,10,1000000,5,2,5
11,2026-02-06T12:05:30.947085,121.37279193848372,,,58.132833102717996,1.681499881669879,10,59.814332984387875,4,,61.5554170217365,10,1000000,1,4,5
12,2026-02-06T12:05:31.107624,123.6912498716265,,,59.985958971083164,1.7702910117805004,10,61.756249982863665,4,,61.93187506869435,10,1000000,2,4,5
13,2026-02-06T12:05:31.264805,120.1296669896692,,,59.85175003297627,1.7070828471332788,10,61.55883288010955,4,,58.56749997474253,10,1000000,3,4,5
14,2026-02-06T12:05:31.419895,118.42524982057512,,,57.72879207506776,1.678416971117258,10,59.40720904618502,4,,59.01483306661248,10,1000000,4,4,5
15,2026-02-06T12:05:31.578901,122.17404204420745,,,60.28320803306997,1.9401251338422298,10,62.2233331669122,4,,59.94779197499156,10,1000000,5,4,5
16,2026-02-06T12:05:31.876411,278.4989590290934,,,138.90066696330905,2.068624831736088,10,140.96929179504514,8,,137.5262918882072,10,1000000,1,2,9
17,2026-02-06T12:05:32.159655,264.5602500997484,,,131.49295817129314,2.084792125970125,10,133.57775029726326,8,,130.97954099066556,10,1000000,2,2,9
18,2026-02-06T12:05:32.442422,262.37450004555285,,,132.9189999960363,2.073999959975481,10,134.99299995601177,8,,127.37837503664196,10,1000000,3,2,9
19,2026-02-06T12:05:32.728958,266.9519998598844,,,134.9997918587178,2.087750006467104,10,137.0875418651849,8,,129.85187489539385,10,1000000,4,2,9
20,2026-02-06T12:05:33.019989,272.4348329938948,,,141.21812512166798,2.451583044603467,10,143.66970816627145,8,,128.76183399930596,10,1000000,5,2,9
21,2026-02-06T12:05:33.326645,267.5411249510944,,,139.26920806989074,2.5638749357312918,10,141.83308300562203,8,,125.70329196751118,10,1000000,1,4,9
22,2026-02-06T12:05:33.636165,270.114541053772,,,138.09116696938872,2.329292008653283,10,140.420458978042,8,,129.69083292409778,10,1000000,2,4,9
23,2026-02-06T12:05:33.939421,267.15541700832546,,,136.3002499565482,2.2745421156287193,10,138.57479207217693,8,,128.57745797373354,10,1000000,3,4,9
24,2026-02-06T12:05:34.254768,278.3880829811096,,,144.70337494276464,2.283957786858082,10,146.98733272962272,8,,131.3971660565585,10,1000000,4,4,9
25,2026-02-06T12:05:34.556167,265.1362919714302,,,137.45908392593265,2.345167100429535,10,139.80425102636218,8,,125.32850005663931,10,1000000,5,4,9
26,2026-02-06T12:05:34.948490,320.1849169563502,,,141.82454091496766,3.14091588370502,10,144.96545679867268,8,,175.21616583690047,10,1000000,1,8,9
27,2026-02-06T12:05:35.299082,279.580167029053,,,144.01916693896055,2.711124951019883,10,146.73029188998044,8,,132.846541935578,10,1000000,2,8,9
28,2026-02-06T12:05:35.642169,270.8382911514491,,,144.9424580205232,2.7693749871104956,10,147.7118330076337,8,,123.12350003048778,10,1000000,3,8,9
29,2026-02-06T12:05:35.986714,273.6002921592444,,,142.6967498846352,2.8176249470561743,10,145.51437483169138,8,,128.0829159077257,10,1000000,4,8,9
30,2026-02-06T12:05:36.336736,277.07204199396074,,,145.79649991355836,2.8945000376552343,10,148.6909999512136,8,,128.37749999016523,10,1000000,5,8,9
31,2026-02-06T12:05:37.038544,682.9187921248376,,,351.29012493416667,3.7301669362932444,10,355.0202918704599,16,,327.89437496103346,10,1000000,1,2,17
32,2026-02-06T12:05:37.700579,642.6983748096973,,,327.49249995686114,3.1720418483018875,10,330.664541805163,16,,312.03045789152384,10,1000000,2,2,17
33,2026-02-06T12:05:38.375122,655.1312080118805,,,332.12804212234914,3.135083010420203,10,335.26312513276935,16,,319.8644588701427,10,1000000,3,2,17
34,2026-02-06T12:05:39.043135,648.9257919602096,,,336.8449588306248,3.3742920495569706,10,340.2192508801818,16,,308.70316713117063,10,1000000,4,2,17
35,2026-02-06T12:05:39.709665,646.7631661798805,,,319.8261249344796,3.1884158961474895,10,323.0145408306271,16,,323.7453328911215,10,1000000,5,2,17
36,2026-02-06T12:05:40.409813,663.3171669673175,,,352.66812494955957,4.070541821420193,10,356.73866677097976,16,,306.57500005327165,10,1000000,1,4,17
37,2026-02-06T12:05:41.151498,704.5437500346452,,,380.6501671206206,7.768124807626009,10,388.4182919282466,16,,316.12116703763604,10,1000000,2,4,17
38,2026-02-06T12:05:41.860721,671.5129159856588,,,349.75933306850493,3.4347500186413527,10,353.1940830871463,16,,318.3156668674201,10,1000000,3,4,17
39,2026-02-06T12:05:42.554690,657.0877500344068,,,352.2555830422789,3.4132921136915684,10,355.66887515597045,16,,301.4152499381453,10,1000000,4,4,17
