execution_number,timestamp,duration_ms,error,correctness_1phase_error,correctness_1phase_match,correctness_2phase_error,correctness_2phase_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,join_count,no_policy_error,no_policy_exec_time_ms,no_policy_rows,run_num,source_count,tpch_sf
1,2026-03-01T00:30:38.812669,120.1160829514265,,,1,,1,,37.79733320698142,2.09529185667634,4,39.89262506365776,,45.93354184180498,3.140999935567379,4,49.07454177737236,0,,31.138041988015175,4,1,1,1.0
2,2026-03-01T00:30:38.959596,142.40854186937213,,,1,,1,,45.09908379986882,2.230584155768156,4,47.32966795563698,,49.74224977195263,2.9868329875171185,4,52.72908275946975,0,,42.34054125845432,4,2,1,1.0
3,2026-03-01T00:30:39.090935,126.73487514257431,,,1,,1,,39.834000170230865,2.1290001459419727,4,41.96300031617284,,45.31766567379236,3.567708656191826,4,48.88537432998419,0,,35.87620798498392,4,3,1,1.0
4,2026-03-01T00:30:39.216019,121.01391702890396,,,1,,1,,38.40174991637468,2.2623329423367977,4,40.66408285871148,,43.64420799538493,2.9212920926511288,4,46.56550008803606,0,,33.77712471410632,4,4,1,1.0
5,2026-03-01T00:30:39.342565,122.56783340126276,,,1,,1,,38.4358330629766,2.0206249319016933,4,40.45645799487829,,44.58295786753297,3.13762528821826,4,47.72058315575123,0,,34.38516706228256,4,5,1,1.0
6,2026-03-01T00:30:39.886988,257.2749159298837,,,1,,1,,72.72950001060963,2.288541756570339,4,75.01804176717997,,110.40666699409485,4.0586250834167,4,114.46529207751155,1,,67.78720812872052,4,1,1,1.0
7,2026-03-01T00:30:40.145501,254.62337490171194,,,1,,1,,74.57108423113823,2.2754170931875706,4,76.8465013243258,,105.03575019538403,3.2415841706097126,4,108.27733436599374,1,,69.49416594579816,4,2,1,1.0
8,2026-03-01T00:30:40.398411,248.59166704118252,,,1,,1,,69.63875005021691,2.244458068162203,4,71.88320811837912,,105.661291629076,3.229999914765358,4,108.89129154384136,1,,67.81283300369978,4,3,1,1.0
9,2026-03-01T00:30:40.659032,256.43204199150205,,,1,,1,,73.54424986988306,2.2402917966246605,4,75.78454166650772,,107.66858281567693,4.092957824468613,4,111.76154064014554,1,,68.88070795685053,4,4,1,1.0
10,2026-03-01T00:30:40.917176,254.01550019159913,,,1,,1,,71.19541708379984,2.354125026613474,4,73.54954211041331,,108.57899999246001,3.2500410452485085,4,111.82904103770852,1,,68.63200012594461,4,5,1,1.0
11,2026-03-01T00:30:41.438341,256.4334999769926,,,1,,1,,74.20454220846295,2.291542012244463,4,76.49608422070742,,105.33975018188357,4.105625208467245,4,109.44537539035082,1,,70.48800028860569,4,1,2,1.0
12,2026-03-01T00:30:41.723005,277.8406674042344,,,1,,1,,72.90179096162319,26.556833181530237,4,99.45862414315343,,105.99075024947524,3.5647498443722725,4,109.55550009384751,1,,68.82004113867879,4,2,2,1.0
13,2026-03-01T00:30:41.992390,262.31570821255445,,,1,,1,,79.43150028586388,2.3677502758800983,4,81.79925056174397,,107.47633269056678,3.471500240266323,4,110.9478329308331,1,,69.56483284011483,4,3,2,1.0
14,2026-03-01T00:30:42.251728,251.99570786207914,,,1,,1,,72.67787493765354,2.348958048969507,4,75.02683298662305,,105.82570871338248,3.36366705596447,4,109.18937576934695,1,,67.77575006708503,4,4,2,1.0
15,2026-03-01T00:30:42.511139,252.6000002399087,,,1,,1,,74.20595875009894,3.421790897846222,4,77.62774964794517,,102.84204175695777,3.3570416271686554,4,106.19908338412642,1,,68.76883329823613,4,5,2,1.0
16,2026-03-01T00:30:43.074547,277.24675042554736,,,1,,1,,79.54354211688042,2.329542301595211,4,81.87308441847563,,119.14158286526799,3.349209204316139,4,122.49079206958413,2,,72.87937495857477,4,1,1,1.0
