execution_number,datafusion_dfc_time_ms,datafusion_logical_time_ms,datafusion_time_ms,query_num,tpch_sf
1,330.44329192489386,796.8104998581111,367.26633296348155,1,1.0
2,1009.12275002338,1306.668165838346,1142.3529169987887,3,1.0
3,360.7580829411745,723.2521250844002,409.4107081182301,4,1.0
4,343.9224171452224,1990.7847919967023,741.8526250403374,5,1.0
5,250.27983309701085,498.9415421150625,280.7427919469774,6,1.0
6,446.3597498834133,1221.7971249483526,461.721875006333,7,1.0
7,372.3999580834061,721.3190000038594,394.0643749665469,8,1.0
8,416.7574169114232,14446.275166934356,1313.299041939899,9,1.0
9,958.2434999756516,1707.5682498980314,1977.1527079865336,10,1.0
10,373.6298750154674,725.4429161548615,797.2076658625156,12,1.0
11,273.7884579692036,519.6021250449121,344.06583406962454,14,1.0
12,2048.4023748431355,2889.5454169251025,2569.090334000066,18,1.0
13,306.8235828541219,599.0018749143928,364.61408296599984,19,1.0
14,383.3792922087014,956.973958062008,532.0252501405776,1,1.0
15,1002.185834106058,1714.1217079479247,1080.9150419663638,3,1.0
16,783.9366248808801,1401.927333790809,889.4874169491231,4,1.0
17,951.6923748888076,3913.0110419355337,1091.485041892156,5,1.0
18,258.84141703136265,490.71400007233024,413.7127499561757,6,1.0
19,476.0647499933839,1601.223458070308,606.1967499554157,7,1.0
20,394.9584581423551,779.2891659773886,406.7808750551194,8,1.0
21,440.1635420508683,16723.579874960706,1288.2803331594914,9,1.0
22,1030.4281248245388,1765.732708852738,1097.9361669160426,10,1.0
23,399.3460419587791,808.5602079518139,773.2345419935882,12,1.0
24,309.85933309420943,545.9672091528773,313.7474169488996,14,1.0
25,2232.469334034249,3135.320708155632,2558.7407080456614,18,1.0
26,296.07420903630555,580.523082986474,342.14141708798707,19,1.0
27,718.7355000060052,1919.787583872676,670.315207913518,1,1.0
28,1031.039834022522,1718.0847090203315,1145.2731669414788,3,1.0
29,907.2822909802198,1438.8766249176117,1046.3587089907378,4,1.0
30,1027.7023331727833,4257.382000098005,1123.564624926075,5,1.0
31,252.6862919330597,472.6796669419855,346.6643749270588,6,1.0
32,423.6982080619782,1193.7439579050988,602.3270420264453,7,1.0
33,359.11745904013515,713.864834047854,406.07475000433624,8,1.0
34,417.743249796331,26492.198292165995,1282.5674579944462,9,1.0
35,999.0181671455504,1652.5449168402702,1602.6667091064155,10,1.0
36,353.26845780946314,821.9153329264373,718.017749954015,12,1.0
37,267.08804187364876,505.30970795080066,296.69783310964704,14,1.0
38,2005.297458963469,3394.890250172466,2715.6612088438123,18,1.0
39,303.17733413539827,610.9907920472324,351.41383297741413,19,1.0
40,319.17074997909367,815.4205831233412,500.53408299572766,1,1.0
41,994.1594589035958,1735.0341249257326,1084.517624927685,3,1.0
42,739.4732080865651,1534.9318338558078,873.9049169234931,4,1.0
43,970.3440838493408,4196.725625079125,2065.935749793425,5,1.0
44,298.2169159222394,586.0920420382172,455.5884578730911,6,1.0
45,480.10799987241626,1434.3386250548065,572.5965830497444,7,1.0
46,376.8552909605205,821.9307910185307,405.5244580376893,8,1.0
47,421.9353750813752,18954.485832946375,1263.6060831137002,9,1.0
48,973.6202920321376,1560.3631669655442,1157.7092909719795,10,1.0
49,354.34862482361495,705.7278749998659,668.669915990904,12,1.0
50,273.6361671704799,497.31570784933865,293.4846670832485,14,1.0
51,1866.7426670435816,3157.9246670007706,2692.4611660651863,18,1.0
52,284.5557499676943,552.4756249506027,329.9862500280142,19,1.0
53,331.5242088865489,807.5556252151728,380.4374160245061,1,1.0
54,2416.856291005388,2010.4088329244405,2804.0939159691334,3,1.0
55,1149.1196660790592,848.5923330299556,753.1009169761091,4,1.0
56,976.7043329775332,4382.095250068232,1112.5694999936968,5,1.0
57,467.9061248898506,577.4285830557346,750.9827909525484,6,1.0
58,442.7557089366019,1358.824250055477,637.4428330454975,7,1.0
59,373.8180410582572,816.1295840982348,371.9436670653522,8,1.0
60,473.1437920127064,21307.422583922744,1856.7691249772904,9,1.0
61,1575.7359580602497,2329.0215828455985,1183.8284581899643,10,1.0
62,529.139457968995,745.8828338421881,803.8551250938326,12,1.0
63,266.7842919472605,499.28995803929865,295.21704209037125,14,1.0
64,2279.327957890928,2119.336999952793,2522.6828341837972,18,1.0
65,289.79620803147554,562.3072499874979,348.3122088946402,19,1.0
