execution_number,datafusion_dfc_1phase_time_ms,datafusion_dfc_2phase_time_ms,datafusion_logical_time_ms,datafusion_time_ms,query_num,tpch_sf
1,287.11612499319017,609.8399998154491,842.4923750571907,312.4118749983609,1,1.0
2,292.5965830218047,544.4447079207748,778.2567089889199,306.2276248820126,1,1.0
3,797.228290932253,1565.3371249791237,1711.49241598323,539.1531668137759,1,1.0
4,629.7094158362597,1588.431749958545,1925.4034168552607,502.93045793659985,1,1.0
5,626.5941669698805,1476.814417168498,1811.0633338801565,509.64645901694894,1,1.0
6,593.4199159964919,1224.202583078295,1221.0224580485374,545.5813331063837,3,1.0
7,604.7952079679817,1159.236584091559,1176.7019578255713,531.1236251145601,3,1.0
8,586.5677089896053,1126.1249999515712,1152.2609998937696,518.4241668321192,3,1.0
9,583.7537918705493,1098.123958101496,1137.1428749989718,525.2874169964343,3,1.0
10,567.522041965276,1060.6102920137346,1115.906334016472,518.7302080448717,3,1.0
11,561.2485420424491,1254.770833067596,1366.1873750388622,662.23687492311,4,1.0
12,463.31308293156326,1004.3510000687093,1372.4096249789,427.87700006738305,4,1.0
13,525.1976661384106,1031.5144169144332,1904.334040824324,530.372167006135,4,1.0
14,489.3980419728905,1041.7637501377612,1430.7474589440972,457.70058291964233,4,1.0
15,513.8005840126425,1122.8386249858886,1527.2498750127852,447.1193340141326,4,1.0
16,647.1317089162767,1225.6598339881748,3014.818666037172,580.201500095427,5,1.0
17,809.7845420707017,1251.5525829512626,3126.9412501715124,593.7967079225928,5,1.0
18,628.6814589984715,1193.0738328956068,2820.681834127754,604.6646249014884,5,1.0
19,674.3296671193093,1246.2991250213236,3387.8701669164,611.941791838035,5,1.0
20,1115.148917073384,1503.299375064671,4150.897582992911,958.6640000343324,5,1.0
21,508.6948338430375,875.7080419454724,747.0540411304682,571.0426250007004,6,1.0
22,343.641750048846,629.8164590261877,634.4244999345392,334.72800021991134,6,1.0
23,344.7067921515554,702.0456250756979,687.0480419602245,347.73862501606345,6,1.0
24,361.9894168805331,656.6145420074463,645.2719999942929,319.1608749330044,6,1.0
25,389.6963330917061,630.9486669488251,621.1539169307798,326.5617920551449,6,1.0
26,833.094917004928,2353.2176660373807,2811.4604169968516,982.398666907102,7,1.0
27,1007.4024579953402,2030.3622921928763,2689.7563750389963,958.4418751765044,7,1.0
28,1000.6312921177596,1742.6549170631915,2569.600041024387,759.2451658565551,7,1.0
29,795.5828751437366,1943.152124993503,2438.2518748752773,794.5027081295848,7,1.0
30,758.4746249485761,1745.1346248853952,2865.2852079831064,782.0347498636693,7,1.0
31,980.66550004296,1659.6346248406917,1705.5171669926494,1009.9743329919876,8,1.0
32,676.6970418393612,1377.1277910564097,1952.7020829264077,601.2355000711977,8,1.0
33,841.1921251099557,1408.4819580893964,1709.7626249305904,708.673374960199,8,1.0
34,751.0044591035694,1478.6670829635111,1524.5354999788103,767.8451249375939,8,1.0
35,705.9621249791235,1357.0407500956208,1579.9181249458345,639.5024999510497,8,1.0
36,788.575833896175,1581.134625012055,36478.652874939144,1680.035165976733,9,1.0
37,826.7972080502659,1930.5550418794155,44675.41745887138,1644.2863328848034,9,1.0
38,847.650125157088,1890.061791986227,34374.47924981825,1663.4901252109555,9,1.0
39,784.7643750719726,1724.218707997352,32016.777415992692,1578.7000828422606,9,1.0
40,1207.5440830085429,2481.3104160130024,34630.53800002672,1690.9155410248786,9,1.0
41,680.4536250419915,1355.1007499918342,1353.3983749803156,578.1685418915004,10,1.0
42,695.6575422082096,1691.9632500503212,1443.316499935463,565.3559169732034,10,1.0
43,646.7620418407023,1411.3463750109076,1308.3677089307455,541.0918749403208,10,1.0
44,652.1609588526189,1387.9233330953866,1345.9642501547933,562.8574590664357,10,1.0
45,648.0093749705702,1311.5596249699593,1375.8972501382232,603.3023749478161,10,1.0
46,619.6595830842853,1290.7000000122937,1459.7851659636945,586.6953751537949,12,1.0
47,645.9144589025527,1339.0371659770608,2063.19099990651,608.5197499487549,12,1.0
48,603.9260409306735,1340.9765830729157,1472.3064999561757,548.4055411070585,12,1.0
49,624.6939159464091,1212.1037498582157,1338.3256669621917,527.0041250623763,12,1.0
50,585.0470829755068,1263.2919589523226,1339.6827501710504,572.6695000194013,12,1.0
51,515.9342919941992,1265.864709159359,1174.2137500550598,514.0470832120627,14,1.0
52,533.645958872512,1132.069209124893,990.2549590915442,459.6141658257693,14,1.0
53,528.1198329757899,912.1077908203006,972.898666979745,477.5250409729779,14,1.0
54,775.4864580929279,1161.3795419689268,1082.824375014752,570.2416661661118,14,1.0
55,504.87395911477506,1323.996250052005,1330.3687090519816,445.6860418431461,14,1.0
56,2534.0317501686513,4029.548125108704,2974.6894580312073,2768.6163750477135,18,1.0
57,2592.561707831919,3840.5963331460953,2822.0191670116037,2749.834750080481,18,1.0
58,2480.221833102405,3901.665708050132,2878.0458332039416,3800.7605830207463,18,1.0
59,2436.65283289738,4440.051957964897,2796.8227909877896,2723.5393337905407,18,1.0
60,2646.5075828600675,3851.9018329679966,3065.3934159781784,2816.4971249643713,18,1.0
61,527.7774999849498,1040.5704998411238,1157.1097918786108,501.5401251148433,19,1.0
62,574.9135001096874,1148.04020896554,1269.641333958134,1020.2625829260796,19,1.0
63,514.6044997964054,1064.4468748942018,1132.2113340720534,522.7365419268608,19,1.0
64,511.0409581102431,1051.621624967083,1106.6519170999527,486.71795800328255,19,1.0
65,504.4525000266731,1021.1539580486716,1099.4042078964412,500.88254106231034,19,1.0
