execution_number,timestamp,duration_ms,error,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms,query_name,query_num,tpch_sf
1,2026-02-06T18:13:21.351329,871.4419568423182,,,True,,True,,4,501.53633300215006,,,True,,4,1222.6317499298602,4,492.3712911549955,q01,1,1.0
2,2026-02-06T18:13:23.474013,586.5069993305951,,,True,,True,,10,519.976207986474,,,True,,10,1003.710333025083,10,486.0079160425812,q03,3,1.0
3,2026-02-06T18:13:26.121878,736.3841240294278,,,True,,True,,5,558.4244169294834,,,True,,5,1335.902834078297,5,443.7453330028802,q04,4,1.0
4,2026-02-06T18:13:29.324587,703.7957897409797,,,True,,True,,5,615.3399171307683,,,True,,5,1866.2575839553028,5,550.574041903019,q05,5,1.0
5,2026-02-06T18:13:31.046632,460.7966670300811,,,True,,True,,1,427.82441596500576,,,True,,1,808.4591249935329,1,410.7802920043469,q06,6,1.0
6,2026-02-06T18:13:34.664086,1199.4457081891596,,,True,,True,,4,690.544290933758,,,True,,4,1707.319458015263,4,592.4450410529971,q07,7,1.0
7,2026-02-06T18:13:37.284049,747.5559569429606,,,True,,True,,2,683.5236251354218,,,True,,2,1174.9205000232903,2,569.4489588495344,q08,8,1.0
8,2026-02-06T18:14:30.575321,33933.41437424533,,,True,,True,,175,616.8783339671791,,,True,,175,18717.370541999117,175,1381.295083090663,q09,9,1.0
9,2026-02-06T18:14:35.900360,2151.7890826798975,,,True,,True,,20,1147.7277500089258,,,True,,20,1930.1237498875707,20,1631.4082089811563,q10,10,1.0
10,2026-02-06T18:14:38.315021,802.6599588338286,,,True,,True,,2,509.08629200421274,,,True,,2,1089.2833329271523,2,679.4403749518096,q12,12,1.0
11,2026-02-06T18:14:40.041133,505.9512504376471,,,True,,True,,1,412.4125000089407,,,True,,1,788.9994590077549,1,407.7469161711633,q14,14,1.0
12,2026-02-06T18:14:44.687742,1564.922582358122,,,True,,True,,57,955.8552911039442,,,True,,57,2106.2702911440283,57,1005.2542500197889,q18,18,1.0
13,2026-02-06T18:14:46.664553,626.5778329689056,,,True,,True,,1,448.2059171423316,,,True,,1,885.5725000612438,1,467.54445787519217,q19,19,1.0
14,2026-02-06T18:14:49.303028,877.9611238278449,,,True,,True,,4,541.7122091166675,,,True,,4,1201.83658413589,4,504.227832891047,q01,1,1.0
15,2026-02-06T18:14:51.382796,573.4701661858708,,,True,,True,,10,538.6073330882937,,,True,,10,955.2505840547384,10,456.1859159730375,q03,3,1.0
16,2026-02-06T18:14:53.768978,769.7757079731673,,,True,,True,,5,500.4101658705622,,,True,,5,1097.6900421082971,5,466.2430409807712,q04,4,1.0
17,2026-02-06T18:14:57.025721,734.1037513688207,,,True,,True,,5,580.2400829270482,,,True,,5,1924.600875005126,5,584.8218749742955,q05,5,1.0
18,2026-02-06T18:14:58.779393,483.10750001110137,,,True,,True,,1,436.6411669179797,,,True,,1,817.5145001150668,1,441.8610420543701,q06,6,1.0
19,2026-02-06T18:15:02.566567,1295.8465828560293,,,True,,True,,4,698.2503749895841,,,True,,4,1772.3680830094963,4,678.7525829859078,q07,7,1.0
20,2026-02-06T18:15:05.126255,793.9365829806775,,,True,,True,,2,593.8330828212202,,,True,,2,1153.2285828143358,2,554.9463329371065,q08,8,1.0
21,2026-02-06T18:15:57.937071,32379.035333171487,,,True,,True,,175,607.1381669025868,,,True,,175,19799.991082865745,175,1468.4665000531822,q09,9,1.0
22,2026-02-06T18:16:03.418209,1946.453208103776,,,True,,True,,20,1329.3446670286355,,,True,,20,2119.654915994033,20,1453.7600830662996,q10,10,1.0
23,2026-02-06T18:16:06.202474,1059.515707893297,,,True,,True,,2,653.4107921179384,,,True,,2,1059.8807078786194,2,940.3161250520498,q12,12,1.0
24,2026-02-06T18:16:07.994385,528.3934159670025,,,True,,True,,1,425.83741690032184,,,True,,1,818.1997919455171,1,434.2926659155637,q14,14,1.0
25,2026-02-06T18:16:12.359555,1387.5020411796868,,,True,,True,,57,951.625999994576,,,True,,57,2007.524542044848,57,939.2745001241564,q18,18,1.0
26,2026-02-06T18:16:14.462509,710.0225000176579,,,True,,True,,1,484.5692499075085,,,True,,1,888.2274169009179,1,535.4780000634491,q19,19,1.0
27,2026-02-06T18:16:17.204570,849.6411659289151,,,True,,True,,4,559.1051660012454,,,True,,4,1316.738124936819,4,482.1670001838356,q01,1,1.0
28,2026-02-06T18:16:19.350232,585.9277490526438,,,True,,True,,10,506.3506248407066,,,True,,10,1040.6405420508236,10,480.2745000924915,q03,3,1.0
29,2026-02-06T18:16:21.652610,735.7574997004122,,,True,,True,,5,503.77404200844467,,,True,,5,1047.1963749732822,5,440.599791938439,q04,4,1.0
30,2026-02-06T18:16:24.891014,670.8071674220264,,,True,,True,,5,549.8174580279738,,,True,,5,2000.0909159425648,5,521.1098750587553,q05,5,1.0
31,2026-02-06T18:16:26.667474,442.0140008442104,,,True,,True,,1,493.055708007887,,,True,,1,824.0662908647209,1,399.78599990718067,q06,6,1.0
32,2026-02-06T18:16:30.255161,1241.859083995223,,,True,,True,,4,619.3328751251101,,,True,,4,1708.055041031912,4,638.7908339966089,q07,7,1.0
33,2026-02-06T18:16:32.812250,735.5419592931867,,,True,,True,,2,604.7914999071509,,,True,,2,1202.025790931657,2,541.6302501689643,q08,8,1.0
34,2026-02-06T18:17:29.812494,35768.382125068456,,,True,,True,,175,616.4221249055117,,,True,,175,20589.21904093586,175,1563.856957945973,q09,9,1.0
35,2026-02-06T18:17:35.250908,1992.91049875319,,,True,,True,,20,1277.1797920577228,,,True,,20,2098.729666089639,20,1434.4498328864574,q10,10,1.0
36,2026-02-06T18:17:37.993232,943.13187408261,,,True,,True,,2,644.1659170668572,,,True,,2,1134.1489169280976,2,829.3486249167472,q12,12,1.0
37,2026-02-06T18:17:39.807807,581.2878333963454,,,True,,True,,1,426.1880409903824,,,True,,1,789.3833748530596,1,487.628041068092,q14,14,1.0
