execution_number,postgres_dfc_time_ms,postgres_logical_time_ms,postgres_time_ms,query_num,tpch_sf
1,777.6076658628881,3455.960083054378,717.1215831767768,1,1.0
2,211.0550829675049,394.1295421682298,230.37204099819064,3,1.0
3,1842.134167207405,3135.4823750443757,428.9837081450969,4,1.0
4,175.27000000700357,302.1306248847395,188.94141702912748,5,1.0
5,135.7234998140484,282.1157919242978,493.1353328283876,6,1.0
6,194.1709171514958,382.4316670652479,286.4836670923978,7,1.0
7,207.44016696698964,411.4443340804428,221.47362516261637,8,1.0
8,580.7425000239164,5788.228916935623,3942.298584152013,9,1.0
9,352.6503751054406,614.3363751471043,1072.5097500253469,10,1.0
10,239.9529160466045,480.25870812125504,254.5988750644028,12,1.0
11,154.60225008428097,298.0334160383791,170.35937495529652,14,1.0
12,4744.457707973197,7012.0596250053495,4752.365916967392,18,1.0
13,219.64191598817703,433.1499580293894,542.1837919857353,19,1.0
14,809.1756249777973,3583.402124932036,744.9876670725644,1,1.0
15,219.5874159224331,425.87674991227686,681.3627909868956,3,1.0
16,2085.447791032493,3498.8338339608163,678.2691669650376,4,1.0
17,171.8683340586722,309.96133387088776,636.5720420144498,5,1.0
18,152.90641621686518,294.98104099184275,502.15412490069866,6,1.0
19,286.9620840065181,451.2982498854399,461.4530000835657,7,1.0
20,214.82675010338423,431.99958303011954,672.194000100717,8,1.0
21,558.0587920267135,6898.019999964163,3746.1832091212273,9,1.0
22,338.8718329370022,621.8553329817951,1082.3561251163485,10,1.0
23,241.60537496209145,489.93687494657934,318.52912507019937,12,1.0
24,147.8651249781251,314.1988329589367,440.5011250637472,14,1.0
25,4832.891625119373,7183.117249980569,6324.543917085975,18,1.0
26,256.0038329102099,435.0824160501361,518.3813339099288,19,1.0
27,1054.85933390446,3632.5787079986185,950.9615420829504,1,1.0
28,220.5585420597345,418.3515000622719,697.9690408334136,3,1.0
29,1921.5162920299915,3278.0745001509786,798.2550838496536,4,1.0
30,169.85283279791474,314.2743748612702,666.3776249624789,5,1.0
31,141.42145798541603,267.738166032359,471.8657499179244,6,1.0
32,192.40804202854633,371.3677499908954,294.8053751606494,7,1.0
33,205.2824581041932,403.9460411295295,227.64612501487136,8,1.0
34,624.4599160272628,6267.07479194738,3668.0642920546234,9,1.0
35,341.40304080210626,607.2645420208573,1204.7816668637097,10,1.0
36,236.29537504166365,464.31062486954033,248.50220791995525,12,1.0
37,148.49795820191505,296.01545887999237,177.84062516875565,14,1.0
38,4858.481459086761,6440.717166988179,4932.7414580620825,18,1.0
39,249.68629190698263,615.379000082612,575.2682918682694,19,1.0
40,787.3712501022965,3545.5328330863267,729.895249940455,1,1.0
41,222.83433401025832,399.16074997745454,619.5523340720683,3,1.0
42,1934.6453750040384,4006.006709067151,715.5342500191182,4,1.0
43,157.19595784321427,314.5395410247147,644.9634169694036,5,1.0
44,145.55270900018513,309.2155840713531,468.5227910522371,6,1.0
45,220.60483321547508,415.4176660813391,365.3909999411553,7,1.0
46,210.31700004823503,408.09383313171566,545.1769169885665,8,1.0
47,667.6040410529822,5930.269999895245,4548.178292112425,9,1.0
48,340.2607499156147,611.7206672206521,1767.6253751851618,10,1.0
49,230.6867919396609,457.4743751436472,243.0260421242565,12,1.0
50,152.2388330195099,300.60633295215666,202.90604210458696,14,1.0
51,4769.336124882102,6616.423040861264,5647.616333095357,18,1.0
52,197.1829580143094,438.3792500011623,501.38733303174376,19,1.0
53,817.9587500635535,3466.1252920050174,723.4937918838114,1,1.0
54,280.8847089763731,497.85195803269744,877.0161250140518,3,1.0
55,1908.2023750524968,3070.1331249438226,794.6576660033315,4,1.0
56,162.74395887739956,309.4828329049051,620.7705829292536,5,1.0
57,144.84041696414351,308.76429192721844,551.5609160065651,6,1.0
58,204.88429185934365,383.4713748656213,323.1095001101494,7,1.0
59,215.8672499936074,411.11295809969306,474.10325007513165,8,1.0
60,554.0907080285251,6268.513124901801,3922.553292009979,9,1.0
61,365.62220891937613,649.1341670043766,3721.9182499684393,10,1.0
62,236.5583749487996,483.3278751466423,595.1483328826725,12,1.0
63,148.36770901456475,305.188707774505,251.32995820604265,14,1.0
64,3938.673417083919,6878.354375017807,5037.093041930348,18,1.0
65,210.7417080551386,435.4747501201928,510.13024989515543,19,1.0
