execution_number,timestamp,duration_ms,error,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,query_name,query_num,tpch_sf
1,2026-02-06T17:53:01.025790,1826.2971239164472,,,True,,True,,4,1354.1947919875383,,,True,,4,4422.645082930103,4,1345.9742919076234,q01,1,1.0
2,2026-02-06T17:53:02.507495,418.91066706739366,,,True,,True,,10,345.0248329900205,,,True,,10,697.9784169234335,10,320.65570796839893,q03,3,1.0
3,2026-02-06T17:53:10.849462,965.4633747413754,,,True,,True,,5,3002.178959082812,,,True,,5,4348.827791865915,5,605.7344588916749,q04,4,1.0
4,2026-02-06T17:53:12.376661,560.547957662493,,,True,,True,,5,293.0628750473261,,,True,,5,650.804084027186,5,403.545374982059,q05,5,1.0
5,2026-02-06T17:53:13.591772,334.3471239786595,,,True,,True,,1,299.0288748405874,,,True,,1,557.3836250696331,1,288.4458750486374,q06,6,1.0
6,2026-02-06T17:53:16.142520,1372.2292489837855,,,True,,True,,4,379.9928750377149,,,True,,4,777.1104578860104,4,376.63991609588265,q07,7,1.0
7,2026-02-06T17:53:18.078338,707.0748747792095,,,True,,True,,2,398.0347500182688,,,True,,2,788.4514578618109,2,453.00062489695847,q08,8,1.0
8,2026-02-06T17:56:28.792022,181564.66204184107,,,True,,True,,175,1463.458999991417,,,True,,175,7660.638042027131,175,5146.7035410460085,q09,9,1.0
9,2026-02-06T17:56:32.002669,1384.2199579812586,,,True,,True,,20,628.5790828987956,,,True,,20,1128.003917168826,20,900.6304580252618,q10,10,1.0
10,2026-02-06T17:56:34.393824,633.3373328670859,,,True,,True,,2,544.4672498852015,,,True,,2,1192.3439998645335,2,477.643083082512,q12,12,1.0
11,2026-02-06T17:56:35.932986,523.5620827879757,,,True,,True,,1,317.2652078792453,,,True,,1,674.132291926071,1,417.3109580297023,q14,14,1.0
12,2026-02-06T17:57:04.130259,8010.8395840507,,,True,,True,,57,7913.733834167942,,,True,,57,12246.808500029148,57,7438.312875106931,q18,18,1.0
13,2026-02-06T17:57:06.252377,697.0103746280074,,,True,,True,,1,484.5209999475628,,,True,,1,919.39516691491,1,523.8874170463532,q19,19,1.0
14,2026-02-06T17:57:15.827215,2013.2785844616592,,,True,,True,,4,1617.000374943018,,,True,,4,5919.331083074212,4,1382.104917196557,q01,1,1.0
15,2026-02-06T17:57:17.877746,941.7295830789952,,,True,,True,,10,349.43524980917573,,,True,,10,732.1650839876384,10,760.4674170725048,q03,3,1.0
16,2026-02-06T17:57:27.142750,903.6293749231844,,,True,,True,,5,2757.823291933164,,,True,,5,5587.00850000605,5,553.8164169993252,q04,4,1.0
17,2026-02-06T17:57:28.615535,600.0125408172607,,,True,,True,,5,301.54799995943904,,,True,,5,550.9587919805199,5,440.14758290722966,q05,5,1.0
18,2026-02-06T17:57:29.993997,287.68316470086575,,,True,,True,,1,235.21137493662536,,,True,,1,830.1723329350352,1,237.20770794898272,q06,6,1.0
19,2026-02-06T17:57:32.731065,1519.8818750213832,,,True,,True,,4,447.7048749104142,,,True,,4,745.6896670628339,4,536.4490828942508,q07,7,1.0
20,2026-02-06T17:57:34.858265,854.0249599609524,,,True,,True,,2,424.6043751481921,,,True,,2,822.1006670501083,2,576.3010000810027,q08,8,1.0
21,2026-02-06T18:00:29.229009,162719.60212499835,,,True,,True,,175,1414.0924580860883,,,True,,175,10206.09258301556,175,3970.6543751526624,q09,9,1.0
22,2026-02-06T18:00:33.159849,1620.3839578665793,,,True,,True,,20,643.792666029185,,,True,,20,1610.508708981797,20,1150.3481660038233,q10,10,1.0
23,2026-02-06T18:00:36.001309,999.3244160432369,,,True,,True,,2,791.4513750001788,,,True,,2,1002.0384581293912,2,811.9317081291229,q12,12,1.0
24,2026-02-06T18:00:37.401007,487.0145407039672,,,True,,True,,1,296.3393749669194,,,True,,1,590.2518338989466,1,346.4275000151247,q14,14,1.0
25,2026-02-06T18:01:06.409109,8396.406415384263,,,True,,True,,57,8214.718541130424,,,True,,57,12370.540458941832,57,7826.787790982053,q18,18,1.0
