execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf
1,2026-02-04T01:10:00.420732,59.96208288706839,,,True,,True,,True,,4,34.36216595582664,,,True,,4,92.99800009466708,4,33.29358296468854,,4.783499985933304,1.6045421361923218,4,6.388042122125626,,12.021707836538553,3.6011249758303165,4,15.62283281236887,,4.657624987885356,4,4.657624987885356,q01,1,0.1
2,2026-02-04T01:10:00.588929,58.51479200646281,,,True,,True,,True,,10,38.06354198604822,,,True,,10,68.07095790281892,10,37.474541924893856,,3.920250106602907,3.2457499764859676,10,7.166000083088875,,6.109792040660977,4.144124919548631,10,10.253916960209608,,3.6203330382704735,10,3.6203330382704735,q03,3,0.1
3,2026-02-04T01:10:00.756929,60.08562305942178,,,True,,True,,True,,5,35.44516698457301,,,True,,5,69.16979094967246,5,29.245665995404124,,4.2596671264618635,2.306082984432578,5,6.565750110894442,,17.977541079744697,2.98633286729455,5,20.963873947039247,,3.3103330060839653,5,3.3103330060839653,q04,4,0.1
4,2026-02-04T01:10:00.930471,58.587123872712255,,,True,,True,,True,,5,39.31770799681544,,,True,,5,71.72020804136992,5,37.61033294722438,,4.080750048160553,1.8067080527544022,5,5.887458100914955,,6.880250060930848,4.009082913398743,5,10.88933297432959,,4.19999985024333,5,4.19999985024333,q05,5,0.1
5,2026-02-04T01:10:01.047082,32.975916750729084,,,True,,True,,True,,1,28.576541924849153,,,True,,1,51.69533402658999,1,26.25387511216104,,0.8893748745322227,1.0969999711960554,1,1.9863748457282782,,1.614707987755537,2.2804168984293938,1,3.895124886184931,,0.8405419066548347,1,0.8405419066548347,q06,6,0.1
6,2026-02-04T01:10:01.243407,68.88158502988517,,,True,,True,,True,,4,44.54387491568923,,,True,,4,79.54199984669685,4,40.08283303119242,,5.593708949163556,2.7694590389728546,4,8.36316798813641,,7.431874983012676,7.600249955430627,4,15.032124938443303,,5.403459072113037,4,5.403459072113037,q07,7,0.1
7,2026-02-04T01:10:01.442508,70.17216458916664,,,True,,True,,True,,2,43.50420809350908,,,True,,2,82.1277080103755,2,43.946582823991776,,4.8043751157820225,2.575665945187211,2,7.3800410609692335,,7.018665783107281,7.179707987233996,2,14.198373770341277,,4.647166933864355,2,4.647166933864355,q08,8,0.1
8,2026-02-04T01:10:01.699080,101.62195889279246,,,True,,True,,True,,175,45.409333892166615,,,True,,175,105.09204189293087,175,68.78362502902746,,7.176041835919023,2.0574170630425215,175,9.233458898961544,,11.230374919250607,5.2617499604821205,175,16.492124879732728,,7.112750085070729,175,7.112750085070729,q09,9,0.1
9,2026-02-04T01:10:01.917673,87.10733335465193,,,True,,True,,True,,20,45.23037513718009,,,True,,20,82.51024992205203,20,42.30679105967283,,9.293291950598359,3.864375175908208,20,13.157667126506567,,16.846416983753443,4.979250021278858,20,21.8256670050323,,9.817208163440228,20,9.817208163440228,q10,10,0.1
10,2026-02-04T01:10:02.114795,62.98470823094249,,,True,,True,,True,,2,44.09391595982015,,,True,,2,86.03770914487541,2,44.12008402869105,,3.5092500038444996,1.8226660322397947,2,5.331916036084294,,6.084250053390861,4.096458200365305,2,10.180708253756166,,3.3519999124109745,2,3.3519999124109745,q12,12,0.1
