execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_error,postgres_rows,postgres_time_ms,query_name,query_num,tpch_sf,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms
1,2026-02-03T21:23:35.553991,131.41941791400313,,,True,,5.021000048145652,1.7742919735610485,4,6.7952920217067,,13.468292076140642,4.5620419550687075,4,18.03033403120935,,5.291417008265853,4,5.291417008265853,,True,,4,101.30237485282123,q01,1,0.1,,False,,0,0.0,,False,,0,0.0
2,2026-02-03T21:23:35.605105,47.358209034428,,,True,,4.997208947315812,3.6148750223219395,10,8.612083969637752,,6.81120902299881,5.228500114753842,10,12.039709137752652,,4.554125014692545,10,4.554125014692545,,True,,10,22.15229091234505,q03,3,0.1,,False,,0,0.0,,False,,0,0.0
3,2026-02-03T21:23:35.685939,77.40058470517397,,,True,,4.958416800945997,2.89758387953043,5,7.856000680476427,,18.162667052820325,2.5393341202288866,5,20.70200117304921,,3.938124980777502,5,3.938124980777502,,True,,5,44.90445787087083,q04,4,0.1,,False,,0,0.0,,False,,0,0.0
4,2026-02-03T21:23:35.731066,41.44766787067056,,,True,,4.320041975006461,1.8609168473631144,5,6.1809588223695755,,7.605500053614378,4.360958933830261,5,11.96645898744464,,4.746791906654835,5,4.746791906654835,,True,,5,18.553458154201508,q05,5,0.1,,False,,0,0.0,,False,,0,0.0
5,2026-02-03T21:23:35.756928,22.385248914361,,,True,,0.9218750055879354,1.1162080336362123,1,2.038083039224148,,1.5833750367164612,2.065791981294751,1,3.6491670180112123,,0.8553329389542341,1,0.8553329389542341,,True,,1,15.842665918171406,q06,6,0.1,,False,,0,0.0,,False,,0,0.0
6,2026-02-03T21:23:35.820496,60.26937463320792,,,True,,5.702625028789043,2.7636669110506773,4,8.46629193983972,,7.2126248851418495,8.077832870185375,4,15.290457755327225,,5.948541918769479,4,5.948541918769479,,True,,4,30.564083019271493,q07,7,0.1,,False,,0,0.0,,False,,0,0.0
7,2026-02-03T21:23:35.872774,49.062668113037944,,,True,,4.827459109947085,2.3597078397870064,2,7.187166949734092,,7.083834148943424,7.23362504504621,2,14.317459193989635,,5.0746670458465815,2,5.0746670458465815,,True,,2,22.483374923467636,q08,8,0.1,,False,,0,0.0,,False,,0,0.0
8,2026-02-03T21:23:35.967665,90.85787506774068,,,True,,7.011624984443188,1.9639581441879272,175,8.975583128631115,,10.606999974697828,5.217042053118348,175,15.824042027816176,,7.356999907642603,175,7.356999907642603,,True,,175,58.701250003650784,q09,9,0.1,,False,,0,0.0,,False,,0,0.0
9,2026-02-03T21:23:36.042515,70.99341647699475,,,True,,8.650833973661065,4.237874876707792,20,12.888708850368857,,13.681957963854074,5.133374826982617,20,18.815332790836692,,8.854999905452132,20,8.854999905452132,,True,,20,30.43437493033707,q10,10,0.1,,False,,0,0.0,,False,,0,0.0
10,2026-02-03T21:23:36.099440,53.6232499871403,,,True,,3.4944580402225256,1.8400419503450394,2,5.334499990567565,,6.143999984487891,4.111666930839419,2,10.25566691532731,,3.3457910176366568,2,3.3457910176366568,,True,,2,34.687292063608766,q12,12,0.1,,False,,0,0.0,,False,,0,0.0
