execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,sqlite_correctness_error,sqlite_correctness_match,sqlite_dfc_correctness_error,sqlite_dfc_correctness_match,sqlite_dfc_error,sqlite_dfc_rows,sqlite_dfc_time_ms,sqlite_error,sqlite_logical_correctness_error,sqlite_logical_correctness_match,sqlite_logical_error,sqlite_logical_rows,sqlite_logical_time_ms,sqlite_rows,sqlite_time_ms,tpch_sf
1,2026-02-04T01:55:48.163438,562.6014182344079,,,True,,4.9001669976860285,1.4943750575184822,4,6.394542055204511,,11.8259999435395,3.8310419768095016,4,15.657041920349002,,4.4373751152306795,4,4.4373751152306795,q01,1,,True,,True,,4,548.135707853362,,,True,,4,2184.5273750368506,4,536.1124591436237,0.1
2,2026-02-04T01:55:48.429547,102.34358068555593,,,True,,3.9973328821361065,3.2389999832957983,10,7.236332865431905,,6.070790812373161,3.5553749185055494,10,9.62616573087871,,3.8270410150289536,10,3.8270410150289536,q03,3,,True,,True,,10,81.51316689327359,,,True,,10,78.68974981829524,10,81.65404107421637,0.1
3,2026-02-04T01:55:49.008137,41.186125949025154,,,True,,4.906541900709271,2.3880829103291035,5,7.294624811038375,,16.529708169400692,2.997417002916336,5,19.527125172317028,,3.4354589879512787,5,3.4354589879512787,q04,4,,True,,True,,5,112.53808415494859,,,True,,5,421.4170000050217,5,10.928916977718472,0.1
4,2026-02-04T01:57:07.054006,9820.185456890613,,,True,,4.569041077047586,2.070000162348151,5,6.639041239395738,,7.12937512435019,4.13870788179338,5,11.26808300614357,,4.12612478248775,5,4.12612478248775,q05,5,,True,,True,,5,9803.8789590355,,,True,,5,58418.11962495558,5,9798.152207862586,0.1
5,2026-02-04T01:57:07.217437,45.64933106303215,,,True,,0.8863329421728849,1.240250188857317,1,2.126583131030202,,1.5518330037593842,2.171790925785899,1,3.7236239295452833,,1.086666015908122,1,1.086666015908122,q06,6,,True,,True,,1,38.024666951969266,,,True,,1,75.97129186615348,1,38.71245798654854,0.1
6,2026-02-04T01:57:08.733961,401.74370841123164,,,True,,6.090416107326746,2.7488330379128456,4,8.839249145239592,,7.804166991263628,7.754875114187598,4,15.559042105451226,,6.395542062819004,4,6.395542062819004,q07,7,,True,,True,,4,369.7206659708172,,,True,,4,741.5149160660803,4,370.9498750977218,0.1
7,2026-02-04T01:57:08.792932,36.46783414296806,,,True,,5.258291959762573,2.505292184650898,2,7.763584144413471,,7.385707926005125,7.279125042259693,2,14.664832968264818,,5.488957976922393,2,5.488957976922393,q08,8,,True,,True,,2,6.794082932174206,,,True,,2,12.183875078335404,2,8.550459053367376,0.1
8,2026-02-04T01:57:25.448170,1158.269417239353,,,True,,8.151875110343099,1.8411250784993172,175,9.993000188842416,,11.813582852482796,5.235250107944012,175,17.048832960426807,,7.133417064324021,175,7.133417064324021,q09,9,,True,,True,,175,1123.7284999806434,,,True,,175,14368.79300000146,175,1124.0941670257598,0.1
9,2026-02-04T01:57:25.572665,66.84474996291101,,,True,,8.48700013011694,3.788542002439499,20,12.275542132556438,,13.790874974802136,4.988667089492083,20,18.77954206429422,,8.454457856714725,20,8.454457856714725,q10,10,,True,,True,,20,27.178209042176604,,,True,,20,26.591207832098007,20,27.335207909345627,0.1
10,2026-02-04T01:57:25.823476,65.6587507110089,,,True,,3.321958938613534,1.7454170156270266,2,5.0673759542405605,,5.652250023558736,3.834750037640333,2,9.487000061199069,,3.3351248130202293,2,3.3351248130202293,q12,12,,True,,True,,2,47.10824997164309,,,True,,2,134.55133303068578,2,47.76924988254905,0.1
11,2026-02-04T01:57:25.863542,19.743291893973947,,,True,,2.1665419917553663,1.449541887268424,1,3.6160838790237904,,2.9865000396966934,2.758957911282778,1,5.745457950979471,,2.0396250765770674,1,2.0396250765770674,q14,14,,True,,True,,1,6.664457963779569,,,True,,1,10.2802908513695,1,8.342124987393618,0.1
12,2026-02-04T01:57:26.187566,98.4711681958288,,,True,,7.499375147745013,3.9680839981883764,5,11.46745914593339,,11.972625041380525,3.6098749842494726,5,15.582500025629997,,6.332000019028783,5,6.332000019028783,q18,18,,True,,True,,5,90.16029187478125,,,True,,5,132.1114171296358,5,65.08920900523663,0.1
13,2026-02-04T01:57:26.224888,27.624211041256785,,,True,,4.155833972617984,2.8790421783924103,1,7.034876151010394,,7.03650014474988,6.628583883866668,1,13.665084028616548,,4.001916851848364,1,4.001916851848364,q19,19,,True,,True,,1,2.2100000642240047,,,True,,1,4.216333152726293,1,2.92233400978148,0.1
14,2026-02-04T01:57:29.523825,595.7719578873366,,,True,,4.770291969180107,1.5088750515133142,4,6.279167020693421,,12.550541898235679,3.7781670689582825,4,16.32870896719396,,4.333666060119867,4,4.333666060119867,q01,1,,True,,True,,4,546.0221669636667,,,True,,4,2153.5697081126273,4,568.8304158393294,0.1
15,2026-02-04T01:57:29.790969,103.12483366578817,,,True,,4.068374866619706,3.241291968151927,10,7.309666834771633,,6.108083995059133,3.4958329051733017,10,9.603916900232434,,4.058290971443057,10,4.058290971443057,q03,3,,True,,True,,10,80.33212483860552,,,True,,10,80.03683295100927,10,82.15295895934105,0.1
16,2026-02-04T01:57:30.369357,41.21045861393213,,,True,,4.565584007650614,2.263125032186508,5,6.828709039837122,,17.227874835953116,2.4335409980267286,5,19.661415833979845,,3.563541918992996,5,3.563541918992996,q04,4,,True,,True,,5,111.62958294153214,,,True,,5,421.9710829202086,5,11.15679182112217,0.1
