execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_error,umbra_rows,umbra_time_ms
1,2026-02-03T17:46:14.356901,33.0373328179121,,,True,,5.1112910732626915,1.5754171181470156,4,6.686708191409707,,11.938916984945536,3.7127078976482153,4,15.651624882593751,,5.446499912068248,4,5.446499912068248,q01,1,0.1,"Row 0 mismatch between dfc and logical: ('A', 'F', Decimal('3774200.00'), Decimal('5320753880.69'), Decimal('5054096266.6828'), Decimal('5256751331.449234'), 25.5375871169, 36002.1238290141, 0.0501445971, 147790) != ('A', 'F', 3774200.0, 5320753880.69, 5054096266.6828, 5256751331.449234, 25.5375871169, 36002.1238290141, 0.0501445971, 147790)",False,,4,5.252499831840396
2,2026-02-03T17:46:14.385736,25.56595695205033,,,True,,4.242458147928119,3.1973340082913637,10,7.439792156219482,,6.820583017542958,3.8719158619642258,10,10.692498879507184,,3.6314160097390413,10,3.6314160097390413,q03,3,0.1,"Row 0 mismatch between dfc and logical: (108514, Decimal('314967.0754'), datetime.date(1995, 2, 20), 0) != (108514, 314967.0754, datetime.date(1995, 2, 20), 0)",False,,10,3.8022499065846205
3,2026-02-03T17:46:14.422874,33.90554012730718,,,True,,4.455874906852841,2.7083749882876873,5,7.164249895140529,,17.461457988247275,2.4101659655570984,5,19.871623953804374,,3.6599161103367805,5,3.6599161103367805,q04,4,0.1,,True,,5,3.2097501680254936
4,2026-02-03T17:46:14.451940,25.748081970959902,,,True,,4.094708012416959,1.7632911913096905,5,5.857999203726649,,7.545625092461705,3.8298750296235085,5,11.375500122085214,,4.047416849061847,5,4.047416849061847,q05,5,0.1,"Row 1 mismatch between dfc and logical: ('INDIA', Decimal('6376121.5085')) != ('INDIA', 6376121.5085)",False,,5,4.467165796086192
5,2026-02-03T17:46:14.462731,7.6568350195884705,,,True,,0.871292082592845,0.9792090859264135,1,1.8505011685192585,,1.5279999934136868,2.1717918571084738,1,3.6997918505221605,,0.8082080166786909,1,0.8082080166786909,q06,6,0.1,"Row 0 mismatch between dfc and logical: (Decimal('11803420.2534'),) != (11803420.2534,)",False,,1,1.2983339838683605
6,2026-02-03T17:46:14.506557,40.969623951241374,,,True,,6.375249940901995,2.612916985526681,4,8.988166926428676,,7.740541128441691,7.551207905635238,4,15.291749034076929,,5.622833035886288,4,5.622833035886288,q07,7,0.1,"Row 0 mismatch between dfc and logical: ('FRANCE', 'GERMANY', 1995, Decimal('4637235.1501')) != ('FRANCE', 'GERMANY', 1995, 4637235.1501)",False,,4,11.066874954849482
7,2026-02-03T17:46:14.553118,43.4132912196219,,,True,,5.15354098752141,2.3324170615524054,2,7.485958049073815,,7.131665945053101,7.086083060130477,2,14.217749005183578,,5.348750157281756,2,5.348750157281756,q08,8,0.1,"Row 0 mismatch between dfc and logical: (1995, 0.0286487413) != (1995, 0.028648)",False,,2,16.360834008082747
8,2026-02-03T17:46:14.597488,40.995708433911204,,,True,,7.062041200697422,1.8039580900222063,175,8.865999290719628,,11.72629208303988,5.2450839430093765,175,16.971376026049256,,7.456292165443301,175,7.456292165443301,q09,9,0.1,"Row 0 mismatch between dfc and logical: ('ALGERIA', 1992, Decimal('4310013.3482')) != ('ALGERIA', 1992, 4310013.3482)",False,,175,7.7020409516990185
9,2026-02-03T17:46:14.656907,56.04250100441277,,,True,,8.384208893403411,4.094250034540892,20,12.478458927944303,,13.851500116288662,5.084832897409797,20,18.93633301369846,,9.17012500576675,20,9.17012500576675,q10,10,0.1,"Row 0 mismatch between dfc and logical: (623, 'Customer#000000623', Decimal('399883.4257'), Decimal('7887.60'), 'INDONESIA', 'k3IlPSC4FKB13 hc6omhVs1ibvqeWEV', '19-113-202-7085', 'se around the ideas. accounts cajole blithely slyly ironic requests. b') != (623, 'Customer#000000623', 399883.4257, 7887.6, 'INDONESIA', 'k3IlPSC4FKB13 hc6omhVs1ibvqeWEV', '19-113-202-7085', 'se around the ideas. accounts cajole blithely slyly ironic requests. b')",False,,20,15.45758405700326
10,2026-02-03T17:46:14.686508,26.205292204394937,,,True,,3.363250056281686,1.7675419803708792,2,5.130792036652565,,7.551334099844098,3.961375216022134,2,11.512709315866232,,3.2120828982442617,2,3.2120828982442617,q12,12,0.1,,True,,2,6.349707953631878
