execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_error,umbra_rows,umbra_time_ms
1,2026-02-03T20:11:31.217225,37.06087521277368,,,True,,4.822834162041545,1.4643329195678234,4,6.287167081609368,,13.444999931380153,4.000958055257797,4,17.44595798663795,,4.763833014294505,4,4.763833014294505,q01,1,0.1,,True,,4,8.563917130231857
2,2026-02-03T20:11:31.246983,26.564458152279258,,,True,,4.089874913915992,3.3740000799298286,10,7.46387499384582,,5.841750185936689,3.5689999349415302,10,9.41075012087822,,3.9045410230755806,10,3.9045410230755806,q03,3,0.1,,True,,10,5.785292014479637
3,2026-02-03T20:11:31.288188,38.05712494067848,,,True,,5.010457942262292,2.710999920964241,5,7.721457863226533,,16.993290977552533,2.358583966270089,5,19.351874943822622,,3.5437920596450567,5,3.5437920596450567,q04,4,0.1,,True,,5,7.440000073984265
4,2026-02-03T20:11:31.322102,30.6553749833256,,,True,,4.143042024224997,1.709833974018693,5,5.8528759982436895,,7.2148749604821205,3.8975831121206284,5,11.112458072602749,,4.469957901164889,5,4.469957901164889,q05,5,0.1,,True,,5,9.220083011314273
5,2026-02-03T20:11:31.335253,9.911458007991314,,,True,,1.0659170802682638,1.0521251242607832,1,2.118042204529047,,1.5196248423308134,1.9493328873068094,1,3.468957729637623,,0.7998750079423189,1,0.7998750079423189,q06,6,0.1,,True,,1,3.524583065882325
6,2026-02-03T20:11:31.380379,42.05299820750952,,,True,,5.762499989941716,2.3887911811470985,4,8.151291171088815,,7.368040969595313,7.394083077087998,4,14.762124046683311,,8.406582986935973,4,8.406582986935973,q07,7,0.1,,True,,4,10.733000002801418
7,2026-02-03T20:11:31.432222,48.69000194594264,,,True,,5.271584028378129,2.1967089269310236,2,7.468292955309153,,7.934374967589974,6.9627920165658,2,14.897166984155774,,5.025916965678334,2,5.025916965678334,q08,8,0.1,,True,,2,21.29862504079938
8,2026-02-03T20:11:31.479645,43.62525139003992,,,True,,7.312583038583398,1.9788339268416166,175,9.291416965425014,,11.553625110536814,5.118583096191287,175,16.6722082067281,,7.488209055736661,175,7.488209055736661,q09,9,0.1,,True,,175,10.173417162150145
9,2026-02-03T20:11:31.544525,61.64758373051882,,,True,,8.85324995033443,3.8776248693466187,20,12.730874819681048,,16.794791910797358,4.998124903067946,20,21.792916813865304,,8.752125082537532,20,8.752125082537532,q10,10,0.1,,True,,20,18.371667014434934
10,2026-02-03T20:11:31.569896,22.022999357432127,,,True,,3.4649581648409367,1.7592080403119326,2,5.224166205152869,,6.567584117874503,3.965541021898389,2,10.533125139772892,,3.642916912212968,2,3.642916912212968,q12,12,0.1,,True,,2,2.622791100293398
11,2026-02-03T20:11:31.587617,14.605749398469925,,,True,,2.1005840972065926,1.1891250032931566,1,3.289709100499749,,2.7164160273969173,2.824665978550911,1,5.541082005947828,,2.3342501372098923,1,2.3342501372098923,q14,14,0.1,,True,,1,3.440708154812455
12,2026-02-03T20:11:31.647547,56.78608175367117,,,True,,7.832957897335291,3.798500169068575,5,11.631458066403866,,12.419040780514479,3.8162909913808107,5,16.23533177189529,,6.29033287987113,5,6.29033287987113,q18,18,0.1,,True,,5,22.628959035500884
