execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms
1,2026-02-14T20:38:25.553578,10177.274834131822,,,True,,True,,True,,4,330.44329192489386,,,True,,4,796.8104998581111,4,367.26633296348155,,31.203291844576597,2.117374911904335,4,33.32066675648093,,88.80662498995662,3.8869590498507023,4,92.69358403980732,,42.57533303461969,4,42.57533303461969,,True,,True,,4,777.6076658628881,,,True,,4,3455.9600830543786,4,717.1215831767768,q01,1,,True,,True,,4,9217.737416969612,,,True,,4,19762.20037508756,4,8877.255959203467,1.0,,True,,True,,4,34.63620902039111,,,True,,4,40.00112507492304,4,47.041374957188964
2,2026-02-14T20:38:32.619286,2161.9792508427054,,,True,,True,,True,,10,1009.1227500233799,,,True,,10,1306.6681658383459,10,1142.3529169987887,,19.21758404932916,5.013084039092064,10,24.230668088421226,,19.638875033706427,4.514208063483238,10,24.153083097189665,,25.088541908189654,10,25.088541908189654,,True,,True,,10,211.05508296750486,,,True,,10,394.1295421682298,10,230.37204099819064,q03,3,,True,,True,,10,669.3024579435587,,,True,,10,1274.166207993403,10,674.0800419356674,1.0,,True,,True,,10,11.48337498307228,,,True,,10,13.73137510381639,10,41.70195781625807
3,2026-02-14T20:38:52.483411,2421.80578969419,,,True,,True,,True,,5,360.7580829411745,,,True,,5,723.2521250844002,5,409.4107081182301,,39.208582835271955,3.203999949619174,5,42.41258278489113,,154.87941587343812,2.641791943460703,5,157.52120781689882,,27.96258288435638,5,27.96258288435638,,True,,True,,5,1842.134167207405,,,True,,5,3135.4823750443757,5,428.9837081450969,q04,4,,True,,True,,5,1232.609875034541,,,True,,5,9863.494917051867,5,1331.5329579636455,1.0,,True,,True,,5,12.289291014894843,,,True,,5,259.9963331595063,5,23.982041981071234
4,2026-02-14T20:38:59.038179,1748.4247910324484,,,True,,True,,True,,5,343.9224171452224,,,True,,5,1990.7847919967026,5,741.8526250403374,,21.702792029827833,3.4518749453127384,5,25.15466697514057,,30.752290971577168,4.75912494584918,5,35.51141591742635,,31.527958111837506,5,31.527958111837506,,True,,True,,5,175.27000000700355,,,True,,5,302.1306248847395,5,188.94141702912748,q05,5,,True,,True,,5,630.339999916032,,,True,,5,1315.3158749919385,5,681.0961670707911,1.0,,True,,True,,5,15.223334077745676,,,True,,5,14.020333997905254,5,44.34054088778794
5,2026-02-14T20:39:03.868051,1528.1635837163776,,,True,,True,,True,,1,250.27983309701085,,,True,,1,498.9415421150625,1,280.7427919469774,,5.750707816332579,2.0351670682430267,1,7.785874884575605,,12.601417023688555,3.17937508225441,1,15.780792105942965,,11.681708972901106,1,11.681708972901106,,True,,True,,1,135.7234998140484,,,True,,1,282.1157919242978,1,493.1353328283876,q06,6,,True,,True,,1,758.5157081484795,,,True,,1,1349.3333330843598,1,685.0484998431057,1.0,,True,,True,,1,3.1853748951107264,,,True,,1,5.128999939188361,1,33.98858313448727
6,2026-02-14T20:39:09.768751,1752.34904140234,,,True,,True,,True,,4,446.3597498834133,,,True,,4,1221.7971249483526,4,461.721875006333,,21.08054212294519,7.683957926928997,4,28.764500049874187,,254.3144579976797,9.776416001841426,4,264.09087399952114,,34.628292080014944,4,34.628292080014944,,True,,True,,4,194.17091715149581,,,True,,4,382.4316670652479,4,286.4836670923978,q07,7,,True,,True,,4,645.4502081032842,,,True,,4,1207.5876668095589,4,637.7698332071304,1.0,,True,,True,,4,11.630708118900657,,,True,,4,27.74000004865229,4,38.889999967068434
7,2026-02-14T20:39:15.011504,1425.5125832278281,,,True,,True,,True,,2,372.3999580834061,,,True,,2,721.3190000038594,2,394.0643749665469,,20.880625117570162,3.596374997869134,2,24.477000115439296,,60.015249997377396,8.131041191518307,2,68.1462911888957,,30.27954208664596,2,30.27954208664596,,True,,True,,2,207.44016696698964,,,True,,2,411.4443340804428,2,221.47362516261637,q08,8,,True,,True,,2,656.4438748173416,,,True,,2,1367.7121249493212,2,645.704791881144,1.0,,True,,True,,2,29.63208290748298,,,True,,2,37.81070816330612,2,41.366957826539874
8,2026-02-14T20:40:09.115605,29744.687041966245,,,True,,True,,True,,175,416.7574169114232,,,True,,175,14446.275166934356,175,1313.2990419398993,,56.27608299255371,1.9216248765587807,175,58.19770786911249,,23032.460832968354,5.6798330042511225,175,23038.140665972605,,85.91687493026257,175,85.91687493026257,,True,,True,,175,580.7425000239164,,,True,,175,5788.228916935623,175,3942.298584152013,q09,9,,True,,True,,175,1018.9682501368225,,,True,,175,1962.5481250695884,175,1019.1139590460807,1.0,,True,,True,,175,61.19524990208447,,,True,,175,63.80387512035668,175,287.7202080562711
9,2026-02-14T20:40:21.840675,4877.299793297425,,,True,,True,,True,,20,958.2434999756515,,,True,,20,1707.5682498980314,20,1977.1527079865336,,49.79804204776883,8.11995891854167,20,57.9180009663105,,66.67099986225367,6.768542109057307,20,73.43954197131097,,114.26183301955462,20,114.26183301955462,,True,,True,,20,352.6503751054406,,,True,,20,614.3363751471043,20,1072.5097500253469,q10,10,,True,,True,,20,1515.172207960859,,,True,,20,2612.3305410146713,20,1437.1581671293825,1.0,,True,,True,,20,19.0632501617074,,,True,,20,20.983249880373478,20,144.85979219898582
10,2026-02-14T20:40:28.572910,2084.6460827160627,,,True,,True,,True,,2,373.6298750154674,,,True,,2,725.4429161548615,2,797.2076658625156,,15.60470787808299,2.848166972398758,2,18.45287485048175,,29.679707949981093,4.508125130087137,2,34.18783308006823,,31.880791997537017,2,31.880791997537017,,True,,True,,2,239.9529160466045,,,True,,2,480.25870812125504,2,254.59887506440282,q12,12,,True,,True,,2,1027.5541669689119,,,True,,2,1770.1305001974106,2,909.1479168273509,1.0,,True,,True,,2,9.438375011086464,,,True,,2,12.0687501039356,2,39.17012503370643
