execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_error,postgres_rows,postgres_time_ms,query_name,query_num,tpch_sf
1,2026-02-03T21:34:32.874460,2310.0078753195703,,,True,,27.677709003910422,2.085749991238117,4,29.76345899514854,,72.71554111503065,4.115625051781535,4,76.83116616681218,,28.3698751591146,4,28.3698751591146,,True,,4,2175.043374998495,q01,1,1.0
2,2026-02-03T21:34:33.777713,890.8230408560485,,,True,,16.27929089590907,4.527457989752293,10,20.806748885661364,,21.18537505157292,4.520707996562123,10,25.706083048135042,,19.219208974391222,10,19.219208974391222,,True,,10,825.0909999478608,q03,3,1.0
3,2026-02-03T21:34:34.499720,710.190333193168,,,True,,55.12950010597706,3.368666861206293,5,58.49816696718335,,102.11487510241568,2.761583076789975,5,104.87645817920566,,18.991958117112517,5,18.991958117112517,,True,,5,527.8237499296665,q04,4,1.0
4,2026-02-03T21:34:39.362530,4851.189043140039,,,True,,21.283458918333054,2.669458044692874,5,23.952916963025928,,25.9356249589473,7.03512504696846,5,32.97075000591576,,18.272709101438522,5,18.272709101438522,,True,,5,4775.992667069659,q05,5,1.0
5,2026-02-03T21:34:39.602127,225.4860419780016,,,True,,4.470250103622675,1.48004200309515,1,5.950292106717825,,11.299500009045005,3.8416250608861446,1,15.14112506993115,,7.07387481816113,1,7.07387481816113,,True,,1,197.3207499831915,q06,6,1.0
6,2026-02-03T21:34:43.783419,4167.3675428610295,,,True,,15.94291697256267,3.6179579328745604,4,19.56087490543723,,23.771958891302347,8.825917029753327,4,32.597875921055675,,19.646374974399805,4,19.646374974399805,,True,,4,4095.562417060137,q07,7,1.0
7,2026-02-03T21:34:44.404187,606.2886668369174,,,True,,14.773125061765313,3.641958814114332,2,18.415083875879645,,25.53025004453957,8.038708008825779,2,33.56895805336535,,21.39270887710154,2,21.39270887710154,,True,,2,532.9119160305709,q08,8,1.0
8,2026-02-03T21:34:45.493226,1075.6822498515248,,,True,,39.36670790426433,2.3754581343382597,175,41.74216603860259,,79.07054200768471,5.409332923591137,175,84.47987493127584,,54.421375039964914,175,54.421375039964914,,True,,175,895.0388338416815,q09,9,1.0
9,2026-02-03T21:34:46.185484,681.6939988639206,,,True,,31.96966601535678,4.7992500476539135,20,36.76891606301069,,42.30158287100494,5.081125069409609,20,47.38270794041455,,40.50633287988603,20,40.50633287988603,,True,,20,557.0360419806093,q10,10,1.0
10,2026-02-03T21:34:46.669894,471.6524591203779,,,True,,14.941417146474123,2.275541890412569,2,17.216959036886692,,60.94666593708098,4.665667191147804,2,65.61233312822878,,19.96454200707376,2,19.96454200707376,,True,,2,368.85862494818866,q12,12,1.0
