execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,query_name,query_num,tpch_sf
1,2026-02-03T21:57:00.498119,1156.8912521470338,,,True,,29.427084140479565,2.3234160616993904,4,31.750500202178955,,98.94045884720981,7.138584041967988,4,106.0790428891778,,30.99345904774964,4,30.99345904774964,,True,,True,,4,908.1263330299407,,,True,,4,3868.088125018403,4,988.0682500079274,q01,1,1.0
2,2026-02-03T21:57:01.663046,380.05545921623707,,,True,,14.50129202567041,3.641042159870267,10,18.142334185540676,,33.079416025429964,4.890624899417162,10,37.970040924847126,,17.94416713528335,10,17.94416713528335,,True,,True,,10,258.66629206575453,,,True,,10,515.3379158582538,10,305.9989169705659,q03,3,1.0
3,2026-02-03T21:57:08.022908,681.1043743509799,,,True,,57.879457948729396,2.5648330338299274,5,60.44429098255932,,122.82441719435155,5.00033306889236,5,127.82475026324391,,17.71775004453957,5,17.71775004453957,,True,,True,,5,2308.209375012666,,,True,,5,3360.882292035967,5,475.1175830606371,q04,4,1.0
4,2026-02-03T21:57:08.981027,372.12779209949076,,,True,,16.11391711048782,3.1419170554727316,5,19.25583416596055,,30.52891604602337,4.899583989754319,5,35.42850003577769,,21.326957968994975,5,21.326957968994975,,True,,True,,5,183.65425011143088,,,True,,5,387.60112482123077,5,296.11649992875755,q05,5,1.0
5,2026-02-03T21:57:09.730219,196.8145831488073,,,True,,4.3139581102877855,1.2405000161379576,1,5.554458126425743,,10.122874984517694,2.4153750855475664,1,12.53825007006526,,8.563291979953647,1,8.563291979953647,,True,,True,,1,179.65654213912785,,,True,,1,363.1420419551432,1,170.15858297236264,q06,6,1.0
6,2026-02-03T21:57:10.801120,333.781833993271,,,True,,18.569374922662973,3.1969998963177204,4,21.766374818980694,,29.2451661080122,9.000916965305805,4,38.246083073318005,,18.69158400222659,4,18.69158400222659,,True,,True,,4,251.00670801475644,,,True,,4,480.82845797762275,4,255.0777920987457,q07,7,1.0
7,2026-02-03T21:57:11.823767,347.97762311063707,,,True,,17.395416973158717,3.3365830313414335,2,20.73200000450015,,32.1235409937799,7.65158305875957,2,39.77512405253947,,19.696207949891686,2,19.696207949891686,,True,,True,,2,228.43016684055328,,,True,,2,437.8865419421345,2,267.77429110370576,q08,8,1.0
8,2026-02-03T21:57:20.356069,917.093247640878,,,True,,47.46808297932148,2.0494158379733562,175,49.517498817294836,,100.231165997684,6.347707938402891,175,106.5788739360869,,52.07574996165931,175,52.07574996165931,,True,,True,,175,647.6023329887539,,,True,,175,6952.293082838878,175,708.9211249258369,q09,9,1.0
9,2026-02-03T21:57:22.121139,795.256040757522,,,True,,36.01087490096688,6.2015000730752945,20,42.21237497404218,,67.28095794096589,4.800542024895549,20,72.08149996586144,,52.74058296345174,20,52.74058296345174,,True,,True,,20,332.72633398883045,,,True,,20,625.929957954213,20,628.2215828541666,q10,10,1.0
10,2026-02-03T21:57:23.391528,356.2173335812986,,,True,,14.349082950502634,1.920041861012578,2,16.269124811515212,,27.1809590049088,4.179291892796755,2,31.360250897705555,,19.298332976177335,2,19.298332976177335,,True,,True,,2,293.66974998265505,,,True,,2,610.0828750059009,2,289.2896248959005,q12,12,1.0
11,2026-02-03T21:57:24.223550,248.20795725099742,,,True,,11.339625110849738,1.5111661050468683,1,12.850791215896606,,17.61974999681115,3.125166054815054,1,20.744916051626205,,15.822249930351973,1,15.822249930351973,,True,,True,,1,184.50870807282627,,,True,,1,388.649667147547,1,198.79000005312264,q14,14,1.0
12,2026-02-03T21:57:40.690873,4541.4025413338095,,,True,,48.73004206456244,4.031958058476448,57,52.76200012303889,,82.63625018298626,4.678291035816073,57,87.31454121880233,,58.00470802932978,57,58.00470802932978,,True,,True,,57,4488.734334008768,,,True,,57,7424.50779187493,57,4343.3212919626385,q18,18,1.0
13,2026-02-03T21:57:41.947096,403.74012594111264,,,True,,22.50758302398026,5.525166867300868,1,28.032749891281128,,38.41091692447662,7.561750011518598,1,45.97266693599522,,30.139292124658823,1,30.139292124658823,,True,,True,,1,269.763708114624,,,True,,1,570.037666009739,1,299.59541698917747,q19,19,1.0
14,2026-02-03T21:57:48.242361,1075.5530421156436,,,True,,29.532291926443577,1.7547081224620342,4,31.28700004890561,,88.38258404284716,4.009000025689602,4,92.39158406853676,,37.441625026986,4,37.441625026986,,True,,True,,4,942.9005840793252,,,True,,4,4265.89774992317,4,914.4328329712152,q01,1,1.0
15,2026-02-03T21:57:49.420299,352.55820699967444,,,True,,15.136874979361892,3.276415867730975,10,18.413290847092867,,22.58366602472961,3.718708176165819,10,26.30237420089543,,15.155375003814697,10,15.155375003814697,,True,,True,,10,269.1212920472026,,,True,,10,547.3586251027882,10,292.68716694787145,q03,3,1.0
16,2026-02-03T21:57:56.334241,749.2378340102732,,,True,,74.29224997758865,2.5855000130832195,5,76.87774999067187,,141.20162487961352,7.137709064409137,5,148.33933394402266,,16.68241689912975,5,16.68241689912975,,True,,True,,5,2571.3139998260885,,,True,,5,3588.485333137214,5,507.33833317644894,q04,4,1.0
17,2026-02-03T21:57:57.314084,293.13571099191904,,,True,,22.220833925530314,5.0750840455293655,5,27.29591797105968,,25.38704196922481,4.3663340620696545,5,29.753376031294465,,22.430374985560775,5,22.430374985560775,,True,,True,,5,237.0815840549767,,,True,,5,436.2204580102116,5,213.65604200400412,q05,5,1.0
18,2026-02-03T21:57:58.161213,224.33887608349323,,,True,,5.3709999192506075,1.348499907180667,1,6.719499826431274,,11.010084068402648,2.5350830983370543,1,13.545167166739702,,9.527374990284443,1,9.527374990284443,,True,,True,,1,194.06908308155835,,,True,,1,419.82104210183024,1,194.5468341000378,q06,6,1.0
19,2026-02-03T21:57:59.498621,393.9540011342615,,,True,,18.573792185634375,3.3309170976281166,4,21.90470928326249,,32.2177920024842,10.474666021764278,4,42.69245802424848,,24.692374980077147,4,24.692374980077147,,True,,True,,4,285.30816687271,,,True,,4,638.5753750801086,4,304.66445884667337,q07,7,1.0
20,2026-02-03T21:58:00.650729,423.9122485741973,,,True,,19.204790936782956,2.9244169127196074,2,22.129207849502563,,38.25620794668794,10.522166965529323,2,48.77837491221726,,22.00087485834956,2,22.00087485834956,,True,,True,,2,238.66024985909462,,,True,,2,479.73079211078584,2,331.0037909541279,q08,8,1.0
21,2026-02-03T21:58:09.689620,1187.688500387594,,,True,,51.871417090296745,2.4043750017881393,175,54.275792092084885,,237.02108301222324,7.286125095561147,175,244.3072081077844,,77.33458303846419,175,77.33458303846419,,True,,True,,175,633.6198330391198,,,True,,175,7202.866042032838,175,811.7709171492606,q09,9,1.0
22,2026-02-03T21:58:11.398833,716.2590830121189,,,True,,46.30300006829202,9.30016697384417,20,55.60316704213619,,47.47704090550542,4.582333145663142,20,52.05937405116856,,59.34641696512699,20,59.34641696512699,,True,,True,,20,340.95283411443233,,,True,,20,638.7267920654267,20,549.2501249536872,q10,10,1.0
23,2026-02-03T21:58:12.749725,361.63162416778505,,,True,,14.429874951019883,2.689250046387315,2,17.119124997407198,,26.627750135958195,4.10279119387269,2,30.730541329830885,,22.73337496444583,2,22.73337496444583,,True,,True,,2,328.15270801074803,,,True,,2,650.6726248189807,2,291.04858287610114,q12,12,1.0
24,2026-02-03T21:58:13.578040,247.87104269489646,,,True,,10.93920785933733,1.675124978646636,1,12.614332837983966,,15.909791924059391,3.212583949789405,1,19.122375873848796,,18.798334058374166,1,18.798334058374166,,True,,True,,1,186.06166704557836,,,True,,1,385.7192089781165,1,197.33599992468953,q14,14,1.0
25,2026-02-03T21:58:31.033240,5622.65299889259,,,True,,49.52629120089114,4.4897920452058315,57,54.01608324609697,,79.86812479794025,4.607665818184614,57,84.47579061612487,,68.53104196488857,57,68.53104196488857,,True,,True,,57,4613.644458120689,,,True,,57,7206.897834083065,57,5415.63008306548,q18,18,1.0
26,2026-02-03T21:58:32.199246,385.62216493301094,,,True,,22.37420785240829,4.126833053305745,1,26.501040905714035,,37.07745810970664,7.373082917183638,1,44.45054102689028,,29.23541609197855,1,29.23541609197855,,True,,True,,1,248.24487487785518,,,True,,1,521.7832501512021,1,285.4351669084281,q19,19,1.0
27,2026-02-03T21:58:38.810787,1138.9040846843272,,,True,,29.09545903094113,1.8684999085962772,4,30.963958939537406,,89.69195885583758,4.3077918235212564,4,93.99975067935884,,70.59129211120307,4,70.59129211120307,,True,,True,,4,1035.777583019808,,,True,,4,4425.335707841441,4,943.3490829542279,q01,1,1.0
28,2026-02-03T21:58:40.031289,380.7185012847185,,,True,,13.914667069911957,3.528708126395941,10,17.443375196307898,,22.62312499806285,3.8870838470757008,10,26.51020884513855,,18.86762515641749,10,18.86762515641749,,True,,True,,10,278.66595797240734,,,True,,10,551.1094168759882,10,317.8972920868546,q03,3,1.0
29,2026-02-03T21:58:47.408074,710.7314988970757,,,True,,45.00004090368748,2.6251659728586674,5,47.625206876546144,,153.32191716879606,3.4406669437885284,5,156.7625841125846,,22.7807080373168,5,22.7807080373168,,True,,True,,5,2923.170374939218,,,True,,5,3730.3031671326607,5,483.5629998706281,q04,4,1.0
30,2026-02-03T21:58:48.658634,392.72583299316466,,,True,,28.52941700257361,3.2760410103946924,5,31.8054580129683,,29.435083037242293,5.37191703915596,5,34.80700007639825,,22.412999998778105,5,22.412999998778105,,True,,True,,5,231.96266707964242,,,True,,5,610.5654581915587,5,303.70037490502,q05,5,1.0
31,2026-02-03T21:58:49.649926,251.88250024802983,,,True,,5.64795802347362,2.751750173047185,1,8.399708196520805,,10.678125079721212,3.0429998878389597,1,13.721124967560172,,10.403834050521255,1,10.403834050521255,,True,,True,,1,237.68454208038747,,,True,,1,490.2487089857459,1,219.3578330334276,q06,6,1.0
32,2026-02-03T21:58:50.995858,421.5215826407075,,,True,,21.773999789729714,3.954957937821746,4,25.72895772755146,,34.45987496525049,11.99016603641212,4,46.45004100166261,,25.521625066176057,4,25.521625066176057,,True,,True,,4,343.6651660595089,,,True,,4,571.36912480928,4,323.82095884531736,q07,7,1.0
