execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf
1,2026-02-11T00:56:35.026752,566.4916255045682,,,True,,54.798000026494265,2.316499827429652,4,57.11449985392392,,118.56787488795817,5.41066681034863,4,123.9785416983068,,52.310749888420105,4,52.310749888420105,q01,1,"Row 0 mismatch between dfc and logical: ('A', 'F', 37734107.0, 56586554400.73, 53758257134.87, 55909065222.82769, 25.52201, 38273.12973, 0.04999, 1478493) != ('A', 'F', 692112.0, 1039279126.28, 987141495.7047, 1026917863.49013, 25.60627, 38450.52078, 0.05012, 27029)",False,"Row 0 mismatch between dfc and logical: ('A', 'F', 37734107.0, 56586554400.73, 53758257134.87, 55909065222.82769, 25.52201, 38273.12973, 0.04999, 1478493) != ('A', 'F', 692112.0, 1039279126.28, 987141495.7047, 1026917863.49013, 25.60627, 38450.52078, 0.05012, 27029)",False,,4,366.90337490290403,,"Row 0 mismatch between dfc and logical: ('A', 'F', 37734107.0, 56586554400.73, 53758257134.87, 55909065222.82769, 25.52201, 38273.12973, 0.04999, 1478493) != ('A', 'F', 692112.0, 1039279126.28, 987141495.7047, 1026917863.49013, 25.60627, 38450.52078, 0.05012, 27029)",False,,4,373.22491710074246,4,333.0878340639174,1.0
2,2026-02-11T00:56:35.221155,91.02787682786584,,,True,,24.30937485769391,3.8798339664936066,10,28.189208824187517,,29.120791936293244,4.1394170839339495,10,33.260209020227194,,29.578458983451128,10,29.578458983451128,q03,3,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",False,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",0,0.0,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")","Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",0,0.0,0,0.0,1.0
3,2026-02-11T00:56:35.588658,261.97395706549287,,,True,,45.4576660413295,2.504125004634261,5,47.961791045963764,,187.07395810633898,3.9429159369319677,5,191.01687404327095,,22.99529197625816,5,22.99529197625816,q04,4,"Errors: duckdb=None, sqlserver=('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")",False,"Errors: duckdb=None, sqlserver=('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")",False,"('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")",0,0.0,"('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")","Errors: duckdb=None, sqlserver=('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]The ORDER BY clause is invalid in views, inline functions, derived tables, subqueries, and common table expressions, unless TOP, OFFSET or FOR XML is also specified. (1033) (SQLExecDirectW)')",False,"('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]The ORDER BY clause is invalid in views, inline functions, derived tables, subqueries, and common table expressions, unless TOP, OFFSET or FOR XML is also specified. (1033) (SQLExecDirectW)')",0,0.0,0,0.0,1.0
4,2026-02-11T00:56:35.774490,102.63345902785659,,,True,,25.29041701927781,1.9717500545084476,5,27.26216707378626,,45.04925012588501,4.496749956160784,5,49.54600008204579,,25.825291872024536,5,25.825291872024536,q05,5,"Errors: duckdb=None, sqlserver=('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'customer'. (208) (SQLExecDirectW)"")",False,"Errors: duckdb=None, sqlserver=('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'customer'. (208) (SQLExecDirectW)"")",False,"('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'customer'. (208) (SQLExecDirectW)"")",0,0.0,"('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'customer'. (208) (SQLExecDirectW)"")","Errors: duckdb=None, sqlserver=('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'customer'. (208) (SQLExecDirectW)"")",False,"('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'customer'. (208) (SQLExecDirectW)"")",0,0.0,0,0.0,1.0
5,2026-02-11T00:56:35.999448,84.88358417525887,,,True,,7.075916975736618,1.3690830674022436,1,8.445000043138862,,19.08991695381701,2.092875074595213,1,21.182792028412223,,7.206167094409466,1,7.206167094409466,q06,6,"Row 0 mismatch between dfc and logical: (123141078.2283,) != (2283867.6538,)",False,"Row 0 mismatch between dfc and logical: (123141078.2283,) != (2283867.6538,)",False,,1,49.81970903463662,,"Row 0 mismatch between dfc and logical: (123141078.2283,) != (2283867.6538,)",False,,1,78.15087516792119,1,48.049625009298325,1.0
6,2026-02-11T00:56:36.510074,400.55999788455665,,,True,,64.85391594469547,3.971416037529707,4,68.82533198222518,,259.17095807380974,9.480415843427181,4,268.6513739172369,,63.08329198509455,4,63.08329198509455,q07,7,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'extract' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",0,0.0,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'extract' is not a recognized built-in function name. (195) (SQLExecDirectW)"")","Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",0,0.0,0,0.0,1.0
7,2026-02-11T00:56:36.758510,131.63491617888212,,,True,,26.651374995708466,2.5495411828160286,2,29.200916178524494,,73.56595806777477,7.1396250277757645,2,80.70558309555054,,21.72841690480709,2,21.72841690480709,q08,8,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'extract' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",0,0.0,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'extract' is not a recognized built-in function name. (195) (SQLExecDirectW)"")","Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",0,0.0,0,0.0,1.0
8,2026-02-11T00:57:08.287477,31432.160082971677,,,True,,51.71545804478228,2.8295000083744526,175,54.54495805315673,,31309.852082980797,5.564667051658034,175,31315.416750032455,,62.19837488606572,175,62.19837488606572,q09,9,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'extract' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",0,0.0,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'extract' is not a recognized built-in function name. (195) (SQLExecDirectW)"")","Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",0,0.0,0,0.0,1.0
9,2026-02-11T00:57:08.696529,311.8705819360912,,,True,,69.40854201093316,5.707832984626293,20,75.11637499555945,,94.57645798102021,6.253041094169021,20,100.82949907518923,,135.9247078653425,20,135.9247078653425,q10,10,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",False,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",0,0.0,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")","Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",0,0.0,0,0.0,1.0
10,2026-02-11T00:57:08.877605,84.1743319761008,,,True,,20.049457903951406,2.234417013823986,2,22.283874917775393,,34.377416130155325,4.480333067476749,2,38.857749197632074,,23.032707860693336,2,23.032707860693336,q12,12,"Errors: duckdb=None, sqlserver=('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")",False,"Errors: duckdb=None, sqlserver=('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")",False,"('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")",0,0.0,"('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")","Errors: duckdb=None, sqlserver=('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")",False,"('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")",0,0.0,0,0.0,1.0
