execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_1phase_correctness_error,sqlserver_dfc_1phase_correctness_match,sqlserver_dfc_1phase_error,sqlserver_dfc_1phase_rows,sqlserver_dfc_1phase_time_ms,sqlserver_dfc_2phase_correctness_error,sqlserver_dfc_2phase_correctness_match,sqlserver_dfc_2phase_error,sqlserver_dfc_2phase_rows,sqlserver_dfc_2phase_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf
1,2026-03-01T01:04:15.978897,8513.311876449734,,,True,,34.156874753534794,1.838667318224907,4,35.9955420717597,,42.86716738715768,2.7191252447664738,4,45.58629263192415,,104.9374588765204,4.222374875098467,4,109.15983375161886,,32.85050019621849,4,32.85050019621849,q01,1,,True,,True,,4,8628.588082734495,,True,,4,12441.831499803811,,,True,,4,18606.230415869504,4,8289.719707798213,1.0
2,2026-03-01T01:05:04.349387,8580.698205623776,,,True,,33.57737511396408,1.8075420521199703,4,35.38491716608405,,41.26083292067051,2.7719163335859776,4,44.03274925425649,,101.6529998742044,4.4311657547950745,4,106.08416562899947,,31.711332965642214,4,31.711332965642214,q01,1,,True,,True,,4,8562.739208806306,,True,,4,12589.200207963586,,,True,,4,18632.92216602713,4,8363.485040608793,1.0
3,2026-03-01T01:05:52.609467,8561.065790709108,,,True,,33.13862485811114,1.8179169856011868,4,34.95654184371233,,41.102416813373566,2.6554157957434654,4,43.75783260911703,,103.96899981424212,4.611416254192591,4,108.58041606843472,,33.50591706112027,4,33.50591706112027,q01,1,,True,,True,,4,8533.97283423692,,True,,4,12559.81562519446,,,True,,4,18600.099292118102,4,8340.265083126724,1.0
4,2026-03-01T01:06:42.374163,8566.49420922622,,,True,,33.065041061490774,1.6837501898407936,4,34.74879125133157,,43.10795897617936,2.6837079785764217,4,45.79166695475578,,103.54654211550951,4.231833387166262,4,107.77837550267577,,30.63320927321911,4,30.63320927321911,q01,1,,True,,True,,4,8605.098249856383,,True,,4,12601.284416858107,,,True,,4,19986.527166794986,4,8347.542166244239,1.0
5,2026-03-01T01:07:30.567210,8463.363207411021,,,True,,33.80654100328684,29.123333282768726,4,62.929874286055565,,43.9738342538476,2.5813328102231026,4,46.5551670640707,,100.59612477198243,4.110874608159065,4,104.7069993801415,,32.543249893933535,4,32.543249893933535,q01,1,,True,,True,,4,8495.983083732426,,True,,4,12519.696875009686,,,True,,4,18709.67150013894,4,8216.62791678682,1.0
6,2026-03-01T01:07:40.346515,786.8050853721797,,,True,,17.65616610646248,3.4226253628730774,10,21.078791469335556,,26.884333696216345,2.8808340430259705,10,29.765167739242315,,19.655917305499315,4.821291659027338,10,24.477208964526653,,15.770167112350464,10,15.770167112350464,q03,3,,True,,True,,10,667.4660840071738,,True,,10,1348.8725000061095,,,True,,10,1237.5688338652253,10,695.7137500867248,1.0
7,2026-03-01T01:07:44.396433,754.5527499169111,,,True,,17.576791811734438,3.4436662681400776,10,21.020458079874516,,25.14450019225478,2.932791132479906,10,28.077291324734688,,20.81725001335144,4.187750164419413,10,25.005000177770853,,15.087000094354153,10,15.087000094354153,q03,3,,True,,True,,10,725.460291840136,,True,,10,1345.6563749350607,,,True,,10,1220.3900828026235,10,665.3630002401769,1.0
8,2026-03-01T01:07:48.482495,744.5136248134077,,,True,,16.862040851265192,3.4617092460393906,10,20.323750097304583,,26.100375223904848,2.848374657332897,10,28.948749881237745,,19.928500056266785,4.017708357423544,10,23.94620841369033,,15.286458190530539,10,15.286458190530539,q03,3,,True,,True,,10,685.5327500961721,,True,,10,1440.8172918483615,,,True,,10,1210.8877077698708,10,656.0084582306445,1.0
9,2026-03-01T01:07:52.593646,830.5184990167618,,,True,,16.92691585049033,3.456207923591137,10,20.38312377408147,,26.361499913036823,2.8263330459594727,10,29.187832958996296,,19.973124843090773,3.9759171195328236,10,23.949041962623596,,15.581125393509865,10,15.581125393509865,q03,3,,True,,True,,10,661.7533750832081,,True,,10,1314.2349999397993,,,True,,10,1300.8091249503195,10,741.4173749275506,1.0
10,2026-03-01T01:07:56.692182,733.4225419908762,,,True,,17.009207978844643,4.181207623332739,10,21.19041560217738,,25.991125032305717,2.9772501438856125,10,28.96837517619133,,19.64004198089242,4.332916811108589,10,23.97295879200101,,15.154167078435421,10,15.154167078435421,q03,3,,True,,True,,10,696.1009576916695,,True,,10,1321.20474986732,,,True,,10,1344.0657081082463,10,644.136625342071,1.0
