execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf
1,2026-02-13T02:25:27.291276,9202.097375877202,,,True,,52.3842079564929,1.6535420436412096,4,54.03775000013411,,124.52770792879164,4.768999991938472,4,129.2967079207301,,55.62558397650719,4,55.62558397650719,q01,1,,True,,True,,4,9213.608832797036,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,4,8963.13733397983,1.0
2,2026-02-13T02:25:28.114672,791.4640416856855,,,True,,23.6112498678267,4.19462495483458,10,27.80587482266128,,32.135916873812675,4.198791924864054,10,36.33470879867673,,26.734374929219484,10,26.734374929219484,q03,3,,True,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,10,700.589083135128,1.0
3,2026-02-13T02:25:31.599786,1707.6037090737373,,,True,,44.06995791941881,3.1723747961223125,5,47.242332715541124,,133.5720841307193,2.3500421084463596,5,135.92212623916566,,25.861000176519156,5,25.861000176519156,q04,4,,True,,True,,5,1747.073750011623,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,5,1498.5782499425113,1.0
4,2026-02-13T02:25:33.540255,987.1056671254337,,,True,,25.09175008162856,2.022749977186322,5,27.114500058814883,,44.888833072036505,4.507916048169136,5,49.39674912020564,,31.19283402338624,5,31.19283402338624,q05,5,,True,,True,,5,923.2815001159906,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,5,879.4015839230269,1.0
5,2026-02-13T02:25:35.380147,914.729000069201,,,True,,9.799666935577989,2.142207929864526,1,11.941874865442514,,16.394208185374737,2.8346250765025616,1,19.2288332618773,,9.315958013758063,1,9.315958013758063,q06,6,,True,,True,,1,895.7749169785529,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,1,874.2423339281231,1.0
6,2026-02-13T02:25:37.149042,1097.7316659409553,,,True,,67.53529096022248,2.9020418878644705,4,70.43733284808695,,257.9732080921531,8.309541968628764,4,266.28275006078184,,66.18841597810388,4,66.18841597810388,q07,7,,True,,True,,4,639.7364169824868,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,4,694.8231670539826,1.0
7,2026-02-13T02:25:38.658310,783.9159178547561,,,True,,23.676957935094833,3.1332920771092176,2,26.81025001220405,,72.44083285331726,7.098583970218897,2,79.53941682353616,,24.496834026649594,2,24.496834026649594,q08,8,,True,,True,,2,695.2209169976413,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,2,653.0694169923663,1.0
8,2026-02-13T02:26:17.373755,37666.63070814684,,,True,,57.36379185691476,1.7544161528348923,175,59.11820800974965,,36480.43595906347,5.761000094935298,175,36486.196959158406,,66.30770792253315,175,66.30770792253315,q09,9,,True,,True,,175,1016.3170420564711,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,175,1055.0078330561519,1.0
9,2026-02-13T02:26:19.209792,1809.7366245929152,,,True,,71.0187079384923,5.932583007961512,20,76.95129094645381,,108.19774982519448,6.581166991963983,20,114.77891681715846,,145.61124984174967,20,145.61124984174967,q10,10,,True,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,20,1472.3951669875532,1.0
10,2026-02-13T02:26:21.155230,1010.0275829900056,,,True,,22.48058281838894,3.501791972666979,2,25.982374791055918,,42.38374996930361,4.06099995598197,2,46.44474992528558,,38.28187519684434,2,38.28187519684434,q12,12,,True,,True,,2,916.2754160352051,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,2,899.3185830768198,1.0
11,2026-02-13T02:26:22.607817,790.9714179113507,,,True,,16.310916980728507,1.873041968792677,1,18.183958949521184,,25.579542154446244,3.1147499103099108,1,28.694292064756155,,23.08595785871148,1,23.08595785871148,q14,14,,True,,True,,1,634.8696250934154,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,1,721.0072090383619,1.0
12,2026-02-13T02:26:24.637719,2003.223665524274,,,True,,55.09358295239508,6.7902919836342335,57,61.883874936029315,,146.03633293882012,3.824499901384115,57,149.86083284020424,,121.37683294713497,57,121.37683294713497,q18,18,,True,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,57,1670.1021248009056,1.0
