execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf
1,2026-02-13T02:48:55.073386,9300.804291851819,,,True,,53.99912502616644,1.8426249735057354,4,55.841749999672174,,124.98449999839067,4.092457937076688,4,129.07695793546736,,60.33916701562703,4,60.33916701562703,q01,1,,True,,True,,4,9214.45516613312,,,True,,4,19743.22750000283,4,9055.546416901052,1.0
2,2026-02-13T02:48:57.851322,780.4005851503462,,,True,,22.03716686926782,4.037709208205342,10,26.074876077473164,,31.98283282108605,3.990959143266082,10,35.97379196435213,,29.06191721558571,10,29.06191721558571,q03,3,,True,,True,,10,677.2488749120384,,,True,,10,1295.7237500231713,10,689.2899998929352,1.0
3,2026-02-13T02:49:11.304411,1413.18833315745,,,True,,41.45912500098348,2.7985828928649426,5,44.25770789384842,,135.15333412215114,2.7685000095516443,5,137.92183413170278,,24.73141602240503,5,24.73141602240503,q04,4,,True,,True,,5,1331.4174578990787,,,True,,5,10683.56337514706,5,1206.2773751094937,1.0
4,2026-02-13T02:49:13.943301,738.1274178624153,,,True,,27.145792031660676,1.9802090246230364,5,29.126001056283712,,51.559916930273175,5.279666977003217,5,56.83958390727639,,30.000624945387244,5,30.000624945387244,q05,5,,True,,True,,5,650.7086250931025,,,True,,5,1236.4142499864101,5,622.161207953468,1.0
5,2026-02-13T02:49:16.761550,709.2475001700222,,,True,,7.812374969944358,2.5099581107497215,1,10.32233308069408,,14.919291948899627,2.527666976675391,1,17.446958925575018,,8.74429102987051,1,8.74429102987051,q06,6,,True,,True,,1,706.1309998389333,,,True,,1,1380.318291950971,1,672.7339171338826,1.0
6,2026-02-13T02:49:19.771438,1045.6504998728633,,,True,,74.8372080270201,3.686749842017889,4,78.52395786903799,,261.0312500037253,8.72254092246294,4,269.75379092618823,,67.65829212963581,4,67.65829212963581,q07,7,,True,,True,,4,714.5824590697885,,,True,,4,1229.4295830652118,4,629.7144589480013,1.0
7,2026-02-13T02:49:22.534641,785.0962078664452,,,True,,23.454499896615744,2.934125019237399,2,26.388624915853143,,74.02320788241923,7.672749925404787,2,81.69595780782402,,24.52741703018546,2,24.52741703018546,q08,8,,True,,True,,2,660.0829160306603,,,True,,2,1296.92995804362,2,652.4842081125826,1.0
8,2026-02-13T02:49:59.356268,33893.422916997224,,,True,,53.33650019019842,1.935834065079689,175,55.27233425527811,,32688.951707910746,5.447791889309883,175,32694.399499800056,,60.43254188261926,175,60.43254188261926,q09,9,,True,,True,,175,933.4012500476092,,,True,,175,1966.3480001036078,175,1083.3185410592705,1.0
9,2026-02-13T02:50:05.996910,1940.3205420821905,,,True,,77.40041706711054,5.3417079616338015,20,82.74212502874434,,115.85712502710521,8.155042072758079,20,124.01216709986329,,113.65137505345047,20,113.65137505345047,q10,10,,True,,True,,20,1973.179416032508,,,True,,20,2696.0821670945734,20,1619.9148749001324,1.0
10,2026-02-13T02:50:09.791141,1045.7260434050113,,,True,,25.455417111516,2.210542093962431,2,27.66595920547843,,50.74262502603233,4.602374974638224,2,55.34500000067055,,47.08020901307464,2,47.08020901307464,q12,12,,True,,True,,2,944.3284580484033,,,True,,2,1787.4668748117983,2,915.6348751857877,1.0
