execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms
1,2026-02-09T20:01:50.452858,271.9600850250572,,,True,,49.23891695216298,1.6565839760005474,4,50.89550092816353,,115.22954190149903,4.283332964405417,4,119.51287486590444,,46.99508403427899,4,46.99508403427899,q01,1,1.0,,True,,True,,4,29.83266697265208,,,True,,4,38.382458966225386,4,54.55662519671023,,True,,True,,4,1354.1947919875383,,,True,,4,4422.645082930103,4,1345.9742919076234,,True,,True,,4,501.53633300215006,,,True,,4,1222.6317499298602,4,492.3712911549955
2,2026-02-09T20:01:50.560885,78.84416705928743,,,True,,17.970625078305602,3.670874983072281,10,21.641500061377883,,26.171999983489513,3.913166932761669,10,30.085166916251183,,19.020000007003546,10,19.020000007003546,q03,3,1.0,,True,,True,,10,5.935959052294493,,,True,,10,9.71058290451765,10,8.097500074654818,,True,,True,,10,345.0248329900205,,,True,,10,697.9784169234335,10,320.65570796839893,,True,,True,,10,519.976207986474,,,True,,10,1003.710333025083,10,486.0079160425812
3,2026-02-09T20:01:51.040890,189.98562591150403,,,True,,41.31241608411074,2.5172920431941748,5,43.82970812730491,,104.3115418870002,2.3928340524435043,5,106.70437593944372,,18.75316700898111,5,18.75316700898111,q04,4,1.0,,True,,True,,5,8.466292172670364,,,True,,5,271.65787504054606,5,20.698374835774302,,True,,True,,5,3002.178959082812,,,True,,5,4348.827791865915,5,605.7344588916749,,True,,True,,5,558.4244169294834,,,True,,5,1335.902834078297,5,443.7453330028802
4,2026-02-09T20:01:51.182346,102.14075120165944,,,True,,21.986542036756873,1.8595841247588396,5,23.846126161515713,,41.72037495300174,4.526125034317374,5,46.24649998731911,,22.12504204362631,5,22.12504204362631,q05,5,1.0,,True,,True,,5,6.297040963545442,,,True,,5,10.436875047162175,5,9.923083009198308,,True,,True,,5,293.0628750473261,,,True,,5,650.804084027186,5,403.545374982059,,True,,True,,5,615.3399171307683,,,True,,5,1866.2575839553028,5,550.574041903019
5,2026-02-09T20:01:51.232395,33.355792285874486,,,True,,6.828125100582838,1.0874171275645494,1,7.9155422281473875,,13.944708043709396,2.4554168339818716,1,16.40012487769127,,6.697500124573708,1,6.697500124573708,q06,6,1.0,,True,,True,,1,1.8921250011771915,,,True,,1,4.067375091835856,1,2.342625055462122,,True,,True,,1,299.0288748405874,,,True,,1,557.3836250696331,1,288.4458750486374,,True,,True,,1,427.82441596500576,,,True,,1,808.4591249935329,1,410.7802920043469
6,2026-02-09T20:01:51.633167,370.1481234747917,,,True,,50.10958295315504,4.46904101409018,4,54.57862396724522,,233.5146248806268,7.915999973192811,4,241.4306248538196,,54.18149987235665,4,54.18149987235665,q07,7,1.0,,True,,True,,4,5.538417026400566,,,True,,4,15.169707825407386,4,19.957374781370163,,True,,True,,4,379.9928750377149,,,True,,4,777.1104578860104,4,376.63991609588265,,True,,True,,4,690.544290933758,,,True,,4,1707.319458015263,4,592.4450410529971
7,2026-02-09T20:01:51.846065,146.7492498923093,,,True,,20.604541990906,2.4027919862419367,2,23.007333977147937,,70.37637499161065,7.948582991957664,2,78.32495798356831,,19.269791897386312,2,19.269791897386312,q08,8,1.0,,True,,True,,2,19.10837483592331,,,True,,2,36.58412490040064,2,26.147166034206748,,True,,True,,2,398.0347500182688,,,True,,2,788.4514578618109,2,453.00062489695847,,True,,True,,2,683.5236251354218,,,True,,2,1174.9205000232903,2,569.4489588495344
8,2026-02-09T20:02:40.140963,48184.97379007749,,,True,,58.03070799447596,2.157083014026284,175,60.187791008502245,,47837.89816708304,5.549540976062417,175,47843.4477080591,,58.97916597314179,175,58.97916597314179,q09,9,1.0,,True,,True,,175,38.02958410233259,,,True,,175,54.22008316963911,175,222.35912503674624,,True,,True,,175,1463.458999991417,,,True,,175,7660.638042027131,175,5146.7035410460085,,True,,True,,175,616.8783339671791,,,True,,175,18717.370541999117,175,1381.295083090663
9,2026-02-09T20:02:40.548414,329.69416631385684,,,True,,63.959666993469,11.369458166882396,20,75.3291251603514,,88.4657499846071,6.164374994114041,20,94.63012497872114,,99.04170804657042,20,99.04170804657042,q10,10,1.0,,True,,True,,20,15.593750169500709,,,True,,20,20.54516598582268,20,60.69320812821388,,True,,True,,20,628.5790828987956,,,True,,20,1128.003917168826,20,900.6304580252618,,True,,True,,20,1147.7277500089258,,,True,,20,1930.1237498875707,20,1631.4082089811563
10,2026-02-09T20:02:40.877941,301.0541668627411,,,True,,17.59383291937411,2.2732920479029417,2,19.86712496727705,,33.145416993647814,4.063667031005025,2,37.20908402465284,,36.6519580129534,2,36.6519580129534,q12,12,1.0,,True,,True,,2,7.884084014222026,,,True,,2,8.615500060841441,2,207.32599985785785,,True,,True,,2,544.4672498852015,,,True,,2,1192.3439998645335,2,477.643083082512,,True,,True,,2,509.08629200421274,,,True,,2,1089.2833329271523,2,679.4403749518096
