execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms
1,2026-02-06T17:53:01.025790,,,,,,,,,,,,,,,,,,,q01,1,1.0,,,,,,,,,,,,,,,,,True,,True,,4.0,1354.1947919875383,,,True,,4.0,4422.645082930103,4.0,1345.9742919076234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2026-02-06T18:13:21.351329,,,,,,,,,,,,,,,,,,,q01,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,4.0,501.53633300215006,,,True,,4.0,1222.6317499298602,4.0,492.3712911549955,,,,,,,,,,,,,,,
1,2026-02-10T09:52:30.929400,,,,,,,,,,,,,,,,,,,q01,1,1.0,,True,,True,,4.0,31.361375004053116,,,True,,4.0,35.947333090007305,4.0,44.793040957301855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2026-02-13T02:48:55.073386,9300.80429185182,,,True,,53.99912502616644,1.8426249735057352,4.0,55.841749999672174,,124.98449999839067,4.092457937076688,4.0,129.07695793546736,,60.33916701562703,4.0,60.33916701562703,q01,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,4.0,9214.45516613312,,,True,,4.0,19743.22750000283,4.0,9055.546416901052
2,2026-02-06T17:53:02.507495,,,,,,,,,,,,,,,,,,,q03,3,1.0,,,,,,,,,,,,,,,,,True,,True,,10.0,345.0248329900205,,,True,,10.0,697.9784169234335,10.0,320.65570796839893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-06T18:13:23.474013,,,,,,,,,,,,,,,,,,,q03,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,10.0,519.976207986474,,,True,,10.0,1003.710333025083,10.0,486.0079160425812,,,,,,,,,,,,,,,
2,2026-02-10T09:52:31.049070,,,,,,,,,,,,,,,,,,,q03,3,1.0,,True,,True,,10.0,5.801792023703456,,,True,,10.0,11.143583105877042,10.0,14.845208963379264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-13T02:48:57.851322,780.4005851503462,,,True,,22.03716686926782,4.037709208205342,10.0,26.074876077473164,,31.98283282108605,3.990959143266082,10.0,35.97379196435213,,29.06191721558571,10.0,29.06191721558571,q03,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,10.0,677.2488749120384,,,True,,10.0,1295.7237500231713,10.0,689.2899998929352
3,2026-02-06T17:53:10.849462,,,,,,,,,,,,,,,,,,,q04,4,1.0,,,,,,,,,,,,,,,,,True,,True,,5.0,3002.178959082812,,,True,,5.0,4348.827791865915,5.0,605.7344588916749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-06T18:13:26.121878,,,,,,,,,,,,,,,,,,,q04,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,5.0,558.4244169294834,,,True,,5.0,1335.902834078297,5.0,443.7453330028802,,,,,,,,,,,,,,,
3,2026-02-10T09:52:31.458234,,,,,,,,,,,,,,,,,,,q04,4,1.0,,True,,True,,5.0,12.28420902043581,,,True,,5.0,190.27820811606944,5.0,17.77274999767542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-13T02:49:11.304411,1413.18833315745,,,True,,41.45912500098348,2.7985828928649426,5.0,44.25770789384842,,135.15333412215114,2.7685000095516443,5.0,137.92183413170278,,24.73141602240503,5.0,24.73141602240503,q04,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,5.0,1331.4174578990787,,,True,,5.0,10683.56337514706,5.0,1206.2773751094935
4,2026-02-06T17:53:12.376661,,,,,,,,,,,,,,,,,,,q05,5,1.0,,,,,,,,,,,,,,,,,True,,True,,5.0,293.0628750473261,,,True,,5.0,650.804084027186,5.0,403.545374982059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-06T18:13:29.324587,,,,,,,,,,,,,,,,,,,q05,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,5.0,615.3399171307683,,,True,,5.0,1866.2575839553028,5.0,550.574041903019,,,,,,,,,,,,,,,
