execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf
1,2026-02-06T18:13:21.351329,871.4419568423182,,,True,,True,,True,,4,501.53633300215006,,,True,,4,1222.6317499298602,4,492.37129115499556,,81.18545799516141,5.23058301769197,4,86.41604101285338,,182.22049996256828,8.49187490530312,4,190.7123748678714,,101.94224980659783,4,101.94224980659783,q01,1,1.0
2,2026-02-06T18:13:23.474013,586.5069993305951,,,True,,True,,True,,10,519.976207986474,,,True,,10,1003.710333025083,10,486.0079160425812,,28.05716614238918,4.769042134284973,10,32.82620827667415,,38.253291975706816,5.666832905262709,10,43.920124880969524,,23.75275013037026,10,23.75275013037026,q03,3,1.0
3,2026-02-06T18:13:26.121878,736.3841240294278,,,True,,True,,True,,5,558.4244169294834,,,True,,5,1335.902834078297,5,443.7453330028802,,69.43133287131786,3.888792125508189,5,73.32012499682605,,185.8549159951508,4.6010001096874475,5,190.45591610483825,,28.862749924883246,5,28.862749924883246,q04,4,1.0
4,2026-02-06T18:13:29.324587,703.7957897409797,,,True,,True,,True,,5,615.3399171307683,,,True,,5,1866.2575839553028,5,550.574041903019,,34.15441606193781,4.140832927078009,5,38.29524898901582,,69.31245792657137,8.575875079259276,5,77.88833300583065,,37.03816584311426,5,37.03816584311426,q05,5,1.0
5,2026-02-06T18:13:31.046632,460.79666703008115,,,True,,True,,True,,1,427.82441596500576,,,True,,1,808.4591249935329,1,410.78029200434685,,9.300291072577238,1.7404998652637005,1,11.040790937840939,,21.480584051460028,4.668249981477857,1,26.148834032937884,,12.826750054955482,1,12.826750054955482,q06,6,1.0
6,2026-02-06T18:13:34.664086,1199.4457081891596,,,True,,True,,True,,4,690.544290933758,,,True,,4,1707.319458015263,4,592.4450410529971,,76.81595906615257,7.745708106085658,4,84.56166717223823,,409.73862493410707,14.786040876060724,4,424.5246658101678,,97.9143341537565,4,97.9143341537565,q07,7,1.0
7,2026-02-06T18:13:37.284049,747.5559569429606,,,True,,True,,True,,2,683.5236251354218,,,True,,2,1174.9205000232905,2,569.4489588495344,,29.149041045457125,3.6492079962044954,2,32.79824904166162,,106.41600005328655,11.287166038528085,2,117.70316609181464,,27.60558295994997,2,27.60558295994997,q08,8,1.0
8,2026-02-06T18:14:30.575321,33933.41437424533,,,True,,True,,True,,175,616.8783339671791,,,True,,175,18717.370541999117,175,1381.295083090663,,80.68291703239083,3.303915960714221,175,83.98683299310505,,32358.85825008154,9.317999938502908,175,32368.176250020042,,99.95620814152062,175,99.95620814152062,q09,9,1.0
9,2026-02-06T18:14:35.900360,2151.7890826798975,,,True,,True,,True,,20,1147.7277500089258,,,True,,20,1930.1237498875707,20,1631.4082089811563,,113.02599986083806,15.991749940440059,20,129.01774980127811,,185.02395786345005,11.710332939401269,20,196.73429080285132,,194.62883309461176,20,194.62883309461176,q10,10,1.0
10,2026-02-06T18:14:38.315021,802.6599588338286,,,True,,True,,True,,2,509.08629200421274,,,True,,2,1089.2833329271525,2,679.4403749518096,,25.017041945829988,2.7808749582618475,2,27.797916904091835,,47.247542068362236,6.517499918118119,2,53.765041986480355,,41.65662499144673,2,41.65662499144673,q12,12,1.0
11,2026-02-06T18:14:40.041133,505.9512504376471,,,True,,True,,True,,1,412.4125000089407,,,True,,1,788.9994590077549,1,407.7469161711633,,28.109958861023188,2.488542115315795,1,30.598500976338983,,34.86029105260968,4.7197500243783,1,39.58004107698798,,28.02579221315682,1,28.02579221315682,q14,14,1.0
12,2026-02-06T18:14:44.687742,1564.9225823581219,,,True,,True,,True,,57,955.8552911039442,,,True,,57,2106.2702911440283,57,1005.2542500197887,,171.3762921281159,8.170332992449403,57,179.5466251205653,,211.1526660155505,6.615458056330681,57,217.76812407188118,,162.35358314588666,57,162.35358314588666,q18,18,1.0
13,2026-02-06T18:14:46.664553,626.5778329689056,,,True,,True,,True,,1,448.2059171423316,,,True,,1,885.5725000612438,1,467.54445787519217,,36.69829200953245,5.6754169054329395,1,42.37370891496539,,65.75570814311504,12.505582999438047,1,78.26129114255309,,38.39837503619492,1,38.39837503619492,q19,19,1.0
14,2026-02-06T18:14:49.303028,877.9611238278449,,,True,,True,,True,,4,541.7122091166675,,,True,,4,1201.83658413589,4,504.227832891047,,80.53408307023346,2.805916825309396,4,83.33999989554286,,185.23483304306865,7.727958029136062,4,192.9627910722047,,97.43049996905029,4,97.43049996905029,q01,1,1.0
15,2026-02-06T18:14:51.382796,573.4701661858708,,,True,,True,,True,,10,538.6073330882937,,,True,,10,955.2505840547383,10,456.1859159730375,,29.419291066005826,4.824417177587748,10,34.243708243593574,,50.78062508255243,6.091292016208172,10,56.871917098760605,,26.168624870479107,10,26.168624870479107,q03,3,1.0
16,2026-02-06T18:14:53.768978,769.7757079731673,,,True,,True,,True,,5,500.4101658705622,,,True,,5,1097.6900421082973,5,466.2430409807712,,73.4220000449568,4.7684169840067625,5,78.19041702896357,,182.20137478783727,4.2444581631571054,5,186.44583295099437,,38.89641701243818,5,38.89641701243818,q04,4,1.0
17,2026-02-06T18:14:57.025721,734.1037513688207,,,True,,True,,True,,5,580.2400829270482,,,True,,5,1924.600875005126,5,584.8218749742955,,34.72245903685689,3.0349171720445156,5,37.757376208901405,,68.05841601453722,8.473583962768316,5,76.53199997730553,,34.99250020831823,5,34.99250020831823,q05,5,1.0
18,2026-02-06T18:14:58.779393,483.10750001110137,,,True,,True,,True,,1,436.6411669179797,,,True,,1,817.5145001150668,1,441.86104205437005,,8.372124982997775,1.537957927212119,1,9.910082910209894,,18.916500033810735,3.773625008761883,1,22.690125042572618,,8.646250003948808,1,8.646250003948808,q06,6,1.0
19,2026-02-06T18:15:02.566567,1295.8465828560293,,,True,,True,,True,,4,698.2503749895841,,,True,,4,1772.3680830094963,4,678.7525829859078,,78.3856250345707,8.285791845992208,4,86.6714168805629,,430.9779580216855,14.716292032971978,4,445.69425005465746,,84.72833293490112,4,84.72833293490112,q07,7,1.0
20,2026-02-06T18:15:05.126255,793.9365829806775,,,True,,True,,True,,2,593.8330828212202,,,True,,2,1153.2285828143358,2,554.9463329371065,,47.356833005324006,3.7623329553753138,2,51.11916596069932,,135.82583400420845,12.79262499883771,2,148.61845900304615,,39.25262507982552,2,39.25262507982552,q08,8,1.0
21,2026-02-06T18:15:57.937071,32379.035333171487,,,True,,True,,True,,175,607.1381669025868,,,True,,175,19799.991082865745,175,1468.4665000531822,,89.87795794382691,3.023084020242095,175,92.90104196406901,,30701.60875003785,9.87183302640915,175,30711.480583064258,,106.1872080899775,175,106.1872080899775,q09,9,1.0
22,2026-02-06T18:16:03.418209,1946.453208103776,,,True,,True,,True,,20,1329.3446670286357,,,True,,20,2119.654915994033,20,1453.7600830662996,,107.1925419382751,22.09641714580357,20,129.28895908407867,,155.62320803292096,16.664665890857577,20,172.28787392377853,,191.11629202961922,20,191.11629202961922,q10,10,1.0
23,2026-02-06T18:16:06.202474,1059.515707893297,,,True,,True,,True,,2,653.4107921179384,,,True,,2,1059.8807078786194,2,940.3161250520498,,24.043165845796466,2.501833951100707,2,26.544999796897173,,46.29916604608297,5.78549993224442,2,52.08466597832739,,40.569917066022754,2,40.569917066022754,q12,12,1.0
24,2026-02-06T18:16:07.994385,528.3934159670025,,,True,,True,,True,,1,425.83741690032184,,,True,,1,818.1997919455171,1,434.2926659155637,,23.143958998844028,2.670707879588008,1,25.814666878432035,,34.828250063583255,4.98595810495317,1,39.814208168536425,,28.47187500447035,1,28.47187500447035,q14,14,1.0
25,2026-02-06T18:16:12.359555,1387.5020411796868,,,True,,True,,True,,57,951.625999994576,,,True,,57,2007.5245420448482,57,939.2745001241565,,72.91116612032056,6.989750079810619,57,79.90091620013118,,215.49375005997717,6.661540828645229,57,222.1552908886224,,146.17133396677673,57,146.17133396677673,q18,18,1.0
26,2026-02-06T18:16:14.462509,710.0225000176579,,,True,,True,,True,,1,484.5692499075085,,,True,,1,888.2274169009179,1,535.4780000634491,,37.74420893751085,4.84899990260601,1,42.59320884011686,,65.75650000013411,11.725458083674312,1,77.48195808380842,,54.46933303028345,1,54.46933303028345,q19,19,1.0
27,2026-02-06T18:16:17.204570,849.6411659289151,,,True,,True,,True,,4,559.1051660012454,,,True,,4,1316.738124936819,4,482.1670001838356,,83.63720797933638,2.956375014036894,4,86.59358299337327,,178.6952088586986,7.583040976896882,4,186.2782498355955,,94.60233291611075,4,94.60233291611075,q01,1,1.0
28,2026-02-06T18:16:19.350232,585.9277490526438,,,True,,True,,True,,10,506.3506248407066,,,True,,10,1040.6405420508236,10,480.2745000924915,,26.59645793028176,4.664708161726594,10,31.261166092008352,,45.701124938204885,5.442250054329634,10,51.14337499253452,,23.248707875609398,10,23.248707875609398,q03,3,1.0
29,2026-02-06T18:16:21.652610,735.7574997004122,,,True,,True,,True,,5,503.77404200844467,,,True,,5,1047.1963749732822,5,440.599791938439,,75.0757500063628,4.373624920845032,5,79.44937492720783,,179.46733301505446,5.2948750089854,5,184.76220802403986,,30.94612481072545,5,30.94612481072545,q04,4,1.0
