execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_1phase_correctness_error,sqlserver_dfc_1phase_correctness_match,sqlserver_dfc_1phase_error,sqlserver_dfc_1phase_rows,sqlserver_dfc_1phase_time_ms,sqlserver_dfc_2phase_correctness_error,sqlserver_dfc_2phase_correctness_match,sqlserver_dfc_2phase_error,sqlserver_dfc_2phase_rows,sqlserver_dfc_2phase_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf
1,2026-02-16T02:07:48.912663,9174.248748924583,,,True,,36.0495001077652,3.804208943620324,4,39.85370905138552,,42.36108297482133,2.7263329830020666,4,45.087415957823396,,108.65524993278086,4.739666124805808,4,113.39491605758667,,55.654124822467566,4,55.654124822467566,q01,1,,True,,True,,4,9213.736833073199,"Errors: duckdb=None, sqlserver=('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_returnflag"" is not a recognized table hints option. (321) (SQLExecDirectW)')",False,"('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_returnflag"" is not a recognized table hints option. (321) (SQLExecDirectW)')",0,0.0,,,True,,4,19822.354624979198,4,8920.25858303532,1.0
2,2026-02-16T02:08:27.312996,9270.425375085324,,,True,,36.15408297628164,3.5749170929193497,4,39.72900006920099,,45.19874998368323,2.7263329830020666,4,47.925082966685295,,111.7625420447439,4.899791907519102,4,116.662333952263,,36.47550009191036,4,36.47550009191036,q01,1,,True,,True,,4,9356.555458158255,"Errors: duckdb=None, sqlserver=('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_returnflag"" is not a recognized table hints option. (321) (SQLExecDirectW)')",False,"('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_returnflag"" is not a recognized table hints option. (321) (SQLExecDirectW)')",0,0.0,,,True,,4,19732.772457879037,4,9029.633458005264,1.0
3,2026-02-16T02:09:05.597857,9096.737331943586,,,True,,46.70608299784362,2.2202502004802227,4,48.926333198323846,,44.946332927793264,3.199082799255848,4,48.14541572704911,,93.88458309695125,4.490124993026257,4,98.3747080899775,,37.139083025977015,4,37.139083025977015,q01,1,,True,,True,,4,9325.923666823655,"Errors: duckdb=None, sqlserver=('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_returnflag"" is not a recognized table hints option. (321) (SQLExecDirectW)')",False,"('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_returnflag"" is not a recognized table hints option. (321) (SQLExecDirectW)')",0,0.0,,,True,,4,19815.375624923036,4,8864.151791902259,1.0
4,2026-02-16T02:09:44.011614,9072.785750264302,,,True,,34.48162507265806,2.956999931484461,4,37.43862500414252,,39.81925011612475,2.570665907114744,4,42.38991602323949,,93.83212495595217,5.042416974902153,4,98.87454193085432,,37.78558410704136,4,37.78558410704136,q01,1,,True,,True,,4,9465.613250155002,"Errors: duckdb=None, sqlserver=('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_returnflag"" is not a recognized table hints option. (321) (SQLExecDirectW)')",False,"('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_returnflag"" is not a recognized table hints option. (321) (SQLExecDirectW)')",0,0.0,,,True,,4,19832.75125012733,4,8856.297083199024,1.0
5,2026-02-16T02:10:22.648595,9147.665708791465,,,True,,35.00599996186793,2.1203330252319574,4,37.126332987099886,,41.95462493225932,2.664749976247549,4,44.61937490850687,,96.8895829282701,5.136874970048666,4,102.02645789831877,,37.7663339022547,4,37.7663339022547,q01,1,,True,,True,,4,9581.847249995917,"Errors: duckdb=None, sqlserver=('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_returnflag"" is not a recognized table hints option. (321) (SQLExecDirectW)')",False,"('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_returnflag"" is not a recognized table hints option. (321) (SQLExecDirectW)')",0,0.0,,,True,,4,19859.87549996935,4,8926.127209095284,1.0
6,2026-02-16T02:10:28.193512,814.2510009929538,,,True,,21.05966699309647,4.416416864842176,10,25.476083857938647,,39.93708407506347,2.9061660170555115,10,42.84325009211898,,21.937166107818484,4.2365421541035175,10,26.173708261922002,,23.243499919772148,10,23.243499919772148,q03,3,,True,,True,,10,640.3487091884017,"Errors: duckdb=None, sqlserver=('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_orderkey"" is not a recognized table hints option. (321) (SQLExecDirectW)')",False,"('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_orderkey"" is not a recognized table hints option. (321) (SQLExecDirectW)')",0,0.0,,,True,,10,1220.0980419293046,10,696.514458861202,1.0
7,2026-02-16T02:10:31.214066,763.5726679582149,,,True,,17.889459151774645,4.587541799992323,10,22.477000951766968,,31.21491684578359,3.018875140696764,10,34.233791986480355,,21.720250137150288,4.203749820590019,10,25.923999957740307,,20.409292075783014,10,20.409292075783014,q03,3,,True,,True,,10,659.4285839237273,"Errors: duckdb=None, sqlserver=('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_orderkey"" is not a recognized table hints option. (321) (SQLExecDirectW)')",False,"('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_orderkey"" is not a recognized table hints option. (321) (SQLExecDirectW)')",0,0.0,,,True,,10,1559.1149588581175,10,660.5285829864442,1.0
8,2026-02-16T02:10:35.272288,1125.0746250152588,,,True,,19.021457992494106,5.450499942526221,10,24.471957935020328,,31.62995888851583,2.852375153452158,10,34.48233404196799,,25.79737501218915,4.217291017994285,10,30.014666030183434,,20.41954197920859,10,20.41954197920859,q03,3,,True,,True,,10,958.5312500130385,"Errors: duckdb=None, sqlserver=('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_orderkey"" is not a recognized table hints option. (321) (SQLExecDirectW)')",False,"('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_orderkey"" is not a recognized table hints option. (321) (SQLExecDirectW)')",0,0.0,,,True,,10,1934.3696250580251,10,1015.6861250288785,1.0
9,2026-02-16T02:10:37.975365,748.053123941645,,,True,,19.186167046427727,4.098040983080864,10,23.28420802950859,,32.06720785237849,4.007833078503609,10,36.075040930882096,,22.10766705684364,4.251374863088131,10,26.35904191993177,,22.034958004951477,10,22.034958004951477,q03,3,,True,,True,,10,650.0834580510855,"Errors: duckdb=None, sqlserver=('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_orderkey"" is not a recognized table hints option. (321) (SQLExecDirectW)')",False,"('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_orderkey"" is not a recognized table hints option. (321) (SQLExecDirectW)')",0,0.0,,,True,,10,1264.0997909475118,10,640.2998750563711,1.0
10,2026-02-16T02:10:40.685897,743.7574591021985,,,True,,19.41870804876089,4.110250156372786,10,23.528958205133677,,34.80808297172189,2.992291934788227,10,37.800374906510115,,23.417958989739418,5.0172090996056795,10,28.435168089345098,,18.22558301500976,10,18.22558301500976,q03,3,,True,,True,,10,654.2257498949766,"Errors: duckdb=None, sqlserver=('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_orderkey"" is not a recognized table hints option. (321) (SQLExecDirectW)')",False,"('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]""l_orderkey"" is not a recognized table hints option. (321) (SQLExecDirectW)')",0,0.0,,,True,,10,1272.8982500266284,10,635.7673748861998,1.0
