execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,query_name,query_num,tpch_sf
1,2026-02-06T17:53:01.025790,1826.2971239164472,,,True,,173.6206670757383,3.600665833801031,4,177.22133290953934,,221.68433316983283,7.867000065743923,4,229.55133323557675,,73.55016586370766,4,73.55016586370766,,True,,True,,4,1354.1947919875383,,,True,,4,4422.645082930103,4,1345.9742919076234,q01,1,1.0
2,2026-02-06T17:53:02.507495,418.91066706739366,,,True,,23.574542021378875,4.09079110249877,10,27.665333123877645,,39.558958960697055,5.878667114302516,10,45.43762607499957,,25.151999900117517,10,25.151999900117517,,True,,True,,10,345.0248329900205,,,True,,10,697.9784169234335,10,320.65570796839893,q03,3,1.0
3,2026-02-06T17:53:10.849462,965.4633747413754,,,True,,81.39745891094208,4.589332966133952,5,85.98679187707603,,240.06674997508526,4.5616659335792065,5,244.62841590866446,,29.113708063960075,5,29.113708063960075,,True,,True,,5,3002.178959082812,,,True,,5,4348.827791865915,5,605.7344588916749,q04,4,1.0
4,2026-02-06T17:53:12.376661,560.547957662493,,,True,,31.003124779090285,3.3609168604016304,5,34.364041639491916,,59.93008310906589,6.9072910118848085,5,66.8373741209507,,55.801166919991374,5,55.801166919991374,,True,,True,,5,293.0628750473261,,,True,,5,650.804084027186,5,403.545374982059,q05,5,1.0
5,2026-02-06T17:53:13.591772,334.3471239786595,,,True,,10.219458024948835,1.9398338627070189,1,12.159291887655854,,18.561000004410744,4.332916112616658,1,22.893916117027402,,10.848040925338864,1,10.848040925338864,,True,,True,,1,299.0288748405874,,,True,,1,557.3836250696331,1,288.4458750486374,q06,6,1.0
6,2026-02-06T17:53:16.142520,1372.2292489837855,,,True,,87.80112490057945,5.871833069249988,4,93.67295796982944,,806.2658330891281,17.640041885897517,4,823.9058749750257,,78.01049994304776,4,78.01049994304776,,True,,True,,4,379.99287503771484,,,True,,4,777.1104578860104,4,376.63991609588265,q07,7,1.0
7,2026-02-06T17:53:18.078338,707.0748747792095,,,True,,32.463832991197705,4.58466587588191,2,37.048498867079616,,130.52683393470943,14.431708957999945,2,144.95854289270937,,72.06720812246203,2,72.06720812246203,,True,,True,,2,398.0347500182688,,,True,,2,788.4514578618109,2,453.00062489695847,q08,8,1.0
8,2026-02-06T17:56:28.792022,181564.66204184107,,,True,,79.24445788376033,3.024541772902012,175,82.26899965666234,,176240.5009579379,8.838334120810032,175,176249.33929205872,,86.35020907968283,175,86.35020907968283,,True,,True,,175,1463.458999991417,,,True,,175,7660.638042027131,175,5146.7035410460085,q09,9,1.0
9,2026-02-06T17:56:32.002669,1384.2199579812586,,,True,,89.37441604211926,16.52295794337988,20,105.89737398549914,,148.4563339035958,9.098625043407083,20,157.5549589470029,,220.13716702349484,20,220.13716702349484,,True,,True,,20,628.5790828987956,,,True,,20,1128.0039171688259,20,900.6304580252618,q10,10,1.0
10,2026-02-06T17:56:34.393824,633.3373328670859,,,True,,26.09574981033802,4.136624978855252,2,30.232374789193273,,52.00208304449916,6.211291998624802,2,58.21337504312396,,67.24849995225668,2,67.24849995225668,,True,,True,,2,544.4672498852015,,,True,,2,1192.3439998645335,2,477.643083082512,q12,12,1.0
