execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms
1,2026-02-10T09:52:30.929400,266.76683221012354,,,True,,51.39570799656212,1.7075829673558474,4,53.10329096391797,,116.10883404500782,4.393875133246183,4,120.50270917825401,,48.367791110649705,4,48.367791110649705,q01,1,1.0,,True,,True,,4,31.361375004053116,,,True,,4,35.947333090007305,4,44.793040957301855
2,2026-02-10T09:52:31.049070,90.83700133487582,,,True,,19.447042141109705,3.477958030998707,10,22.925000172108412,,27.15650014579296,3.799334168434143,10,30.955834314227104,,22.110957885161042,10,22.110957885161042,q03,3,1.0,,True,,True,,10,5.801792023703456,,,True,,10,11.143583105877042,10,14.845208963379264
3,2026-02-10T09:52:31.458234,196.60291564650834,,,True,,45.9622498601675,2.498249989002943,5,48.460499849170446,,109.43466587923467,2.483957912772894,5,111.91862379200757,,18.451042007654905,5,18.451042007654905,q04,4,1.0,,True,,True,,5,12.28420902043581,,,True,,5,190.27820811606944,5,17.77274999767542
4,2026-02-10T09:52:31.600240,106.92137386649847,,,True,,22.855290910229087,2.3335840087383986,5,25.188874918967485,,42.90766594931483,4.339500097557902,5,47.247166046872735,,25.258749956265092,5,25.258749956265092,q05,5,1.0,,True,,True,,5,7.375250104814768,,,True,,5,11.468416079878807,5,9.226582944393158
5,2026-02-10T09:52:31.649720,32.86616620607674,,,True,,6.503916112706065,1.0799160227179527,1,7.583832135424018,,13.64329201169312,2.5134580209851265,1,16.156750032678246,,6.704709026962519,1,6.704709026962519,q06,6,1.0,,True,,True,,1,3.4263338893651962,,,True,,1,3.5373750142753124,1,2.420875011011958
6,2026-02-10T09:52:32.057703,369.9545827694237,,,True,,50.63812481239438,4.570499993860722,4,55.2086248062551,,235.83150003105402,7.652499945834279,4,243.4839999768883,,49.39225013367832,4,49.39225013367832,q07,7,1.0,,True,,True,,4,7.84108298830688,,,True,,4,20.524374907836318,4,21.869707852602005
7,2026-02-10T09:52:32.288984,152.1458337083459,,,True,,20.96983278170228,2.405625069513917,2,23.375457851216197,,71.35020801797509,7.840791950002313,2,79.1909999679774,,19.053333904594183,2,19.053333904594183,q08,8,1.0,,True,,True,,2,27.17929193750024,,,True,,2,41.04804201051593,2,30.526041984558105
8,2026-02-10T09:52:52.727697,20353.89191797003,,,True,,51.760833943262696,1.8526671919971704,175,53.61350113525987,,20184.146541869268,5.3601248655468225,175,20189.506666734815,,54.94925007224083,175,54.94925007224083,q09,9,1.0,,True,,True,,175,24.763875175267458,,,True,,175,46.693166019394994,175,55.82250002771616
9,2026-02-10T09:52:53.060388,282.9034572932869,,,True,,64.82512503862381,5.46604092232883,20,70.29116596095264,,93.9307080116123,5.49037498421967,20,99.42108299583197,,80.53145813755691,20,80.53145813755691,q10,10,1.0,,True,,True,,20,14.079916989430785,,,True,,20,22.127915872260928,20,32.6597501989454
10,2026-02-10T09:52:53.192713,105.10720801539719,,,True,,21.08987490646541,2.0822910591959953,2,23.172165965661407,,43.87166700325906,4.121624864637852,2,47.993291867896914,,21.864208159968257,2,21.864208159968257,q12,12,1.0,,True,,True,,2,5.643042037263513,,,True,,2,9.032333036884665,2,12.077542021870613
11,2026-02-10T09:52:53.282551,72.61675014160573,,,True,,16.756791854277253,2.293958095833659,1,19.050749950110912,,28.65379210561514,2.8398327995091677,1,31.493624905124307,,16.936834203079343,1,16.936834203079343,q14,14,1.0,,True,,True,,1,3.3449160400778055,,,True,,1,3.9131660014390945,1,5.135541083291173
12,2026-02-10T09:52:53.735172,371.3512911926955,,,True,,54.58837514743209,4.258499946445227,57,58.846875093877316,,145.22695820778608,3.8130830507725477,57,149.04004125855863,,109.77737489156425,57,109.77737489156425,q18,18,1.0,,True,,True,,57,38.53958286345005,,,True,,57,26.535416953265667,57,53.6869999486953
13,2026-02-10T09:52:53.881250,119.55024930648506,,,True,,26.39645803719759,2.9417909681797028,1,29.338249005377293,,48.26437518931925,6.3991250935941935,1,54.663500282913446,,28.680582996457815,1,28.680582996457815,q19,19,1.0,,True,,True,,1,5.947708850726485,,,True,,1,7.647499907761812,1,6.867917021736503
