execution_number,timestamp,duration_ms,error,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms
1,2026-02-10T09:52:30.929400,266.76683221012354,,q01,1,1.0,,True,,True,,4,31.361375004053116,,,True,,4,35.947333090007305,4,44.793040957301855
2,2026-02-10T09:52:31.049070,90.83700133487582,,q03,3,1.0,,True,,True,,10,5.801792023703456,,,True,,10,11.143583105877042,10,14.845208963379264
3,2026-02-10T09:52:31.458234,196.6029156465083,,q04,4,1.0,,True,,True,,5,12.28420902043581,,,True,,5,190.27820811606944,5,17.77274999767542
4,2026-02-10T09:52:31.600240,106.92137386649848,,q05,5,1.0,,True,,True,,5,7.375250104814768,,,True,,5,11.468416079878809,5,9.226582944393158
5,2026-02-10T09:52:31.649720,32.86616620607674,,q06,6,1.0,,True,,True,,1,3.426333889365196,,,True,,1,3.5373750142753124,1,2.420875011011958
6,2026-02-10T09:52:32.057703,369.9545827694237,,q07,7,1.0,,True,,True,,4,7.84108298830688,,,True,,4,20.52437490783632,4,21.869707852602005
7,2026-02-10T09:52:32.288984,152.1458337083459,,q08,8,1.0,,True,,True,,2,27.17929193750024,,,True,,2,41.04804201051593,2,30.526041984558105
8,2026-02-10T09:52:52.727697,20353.89191797003,,q09,9,1.0,,True,,True,,175,24.763875175267454,,,True,,175,46.693166019394994,175,55.82250002771616
9,2026-02-10T09:52:53.060388,282.9034572932869,,q10,10,1.0,,True,,True,,20,14.079916989430783,,,True,,20,22.127915872260928,20,32.6597501989454
10,2026-02-10T09:52:53.192713,105.1072080153972,,q12,12,1.0,,True,,True,,2,5.643042037263513,,,True,,2,9.032333036884664,2,12.077542021870611
11,2026-02-10T09:52:53.282551,72.61675014160573,,q14,14,1.0,,True,,True,,1,3.3449160400778055,,,True,,1,3.9131660014390945,1,5.135541083291173
12,2026-02-10T09:52:53.735172,371.3512911926955,,q18,18,1.0,,True,,True,,57,38.53958286345005,,,True,,57,26.535416953265667,57,53.6869999486953
13,2026-02-10T09:52:53.881250,119.55024930648506,,q19,19,1.0,,True,,True,,1,5.947708850726485,,,True,,1,7.647499907761812,1,6.867917021736503
