execution_number,query_num,sqlserver_dfc_time_ms,sqlserver_logical_time_ms,sqlserver_time_ms,tpch_sf
1,1,9217.737416969612,19762.20037508756,8877.255959203467,1.0
2,3,669.3024579435587,1274.166207993403,674.0800419356674,1.0
3,4,1232.609875034541,9863.494917051868,1331.5329579636457,1.0
4,5,630.339999916032,1315.3158749919385,681.0961670707911,1.0
5,6,758.5157081484795,1349.3333330843598,685.0484998431057,1.0
6,7,645.4502081032842,1207.5876668095589,637.7698332071304,1.0
7,8,656.4438748173416,1367.7121249493212,645.704791881144,1.0
8,9,1018.9682501368223,1962.5481250695884,1019.1139590460808,1.0
9,10,1515.172207960859,2612.3305410146713,1437.1581671293825,1.0
10,12,1027.554166968912,1770.1305001974106,909.1479168273509,1.0
11,14,918.01054100506,1637.6012498512864,855.3195418789983,1.0
12,18,1427.774874959141,2950.264750048518,1764.749334193766,1.0
13,19,1536.351582966745,3099.939834093675,1545.5185831524432,1.0
14,1,9404.889417113736,20404.860500013456,8820.79879194498,1.0
15,3,654.9599170684814,1215.872708009556,1646.6287919320166,1.0
16,4,1291.4508329704404,10661.659249803051,1145.3951250296086,1.0
17,5,1285.6297080870718,1246.5273749548942,767.0942079275846,1.0
18,6,708.0211250577122,1382.398041896522,687.0312090031803,1.0
19,7,1040.356750134379,1219.4957088213414,620.6925411242992,1.0
20,8,839.2411249224097,1324.0403330419213,654.3538749683648,1.0
21,9,1029.2674170341345,1987.8397500142455,1000.4815000575036,1.0
22,10,1530.646082945168,2585.702999960631,1537.3307499103248,1.0
23,12,922.0808749087156,1773.4842910431323,978.3130420837552,1.0
24,14,631.8573751486838,1255.1131669897586,639.9845408741385,1.0
25,18,1439.8007080890238,2966.842208057642,1658.7634168099612,1.0
26,19,1660.9350419603288,3284.200333058834,1532.9325417988002,1.0
27,1,9181.783250067385,21022.265790961683,9047.95879102312,1.0
28,3,762.8341249655932,1227.8049169108272,670.7118330523372,1.0
29,4,1423.1194590684026,9902.3019161541,1124.1714579518884,1.0
30,5,638.9658749103546,1306.6217079758644,713.4495419450104,1.0
31,6,715.9223749767989,1348.5160418786108,689.6030830685049,1.0
32,7,648.4018750488758,1251.382124843076,646.1300000082701,1.0
33,8,715.6021248083562,1332.090917043388,708.8667920324951,1.0
34,9,1022.8978749364614,2043.092709034681,987.7957089338452,1.0
35,10,1489.8884589783847,2712.1120830997825,1609.6252501010897,1.0
36,12,921.0853329859674,1842.7352090366185,1000.5907909944654,1.0
37,14,624.4937910232693,1203.3208750654012,644.2019999958575,1.0
38,18,1425.8876249659806,3070.6273750402033,1677.035667002201,1.0
39,19,1580.452499911189,3166.373916901648,1535.7220000587404,1.0
40,1,9159.515167120844,19766.86783391051,8903.972667176276,1.0
41,3,646.8568330164999,1253.7617089692503,656.1419579666108,1.0
42,4,1263.4315839968622,10718.894165940585,1131.0724581126124,1.0
43,5,731.2233340926468,1232.9658749513328,629.2560829315335,1.0
44,6,682.2730000130832,1432.824332965538,710.093708941713,1.0
45,7,624.9292909633368,1322.280083084479,703.7162501364946,1.0
46,8,981.709250016138,1471.800500061363,1274.167041061446,1.0
47,9,1014.5074168685824,1967.9667081218213,1070.3992920462042,1.0
48,10,1464.153541950509,2711.793332826346,1458.105665864423,1.0
49,12,1026.4319169800729,1788.8983339071274,960.0376670714468,1.0
50,14,714.3909579608589,1218.5522080399096,777.6124170050025,1.0
51,18,1424.0807918831706,2933.921084040776,1675.4517501685768,1.0
52,19,1545.3832081984729,3062.0941249653697,1561.6319170221686,1.0
53,1,9288.280624896288,19811.87750003301,8819.083292037249,1.0
54,3,654.4113338459283,1222.2492080181837,723.4620419330895,1.0
55,4,1345.4701250884682,9908.66941679269,1127.8559160418808,1.0
56,5,646.8801251612604,1243.10916592367,630.0027088727802,1.0
57,6,686.1509999725968,1417.876708088443,695.6498338840902,1.0
58,7,715.4415829572827,1329.065583879128,709.4803750514984,1.0
59,8,657.9362920019776,1283.4696248173714,870.2685830648988,1.0
60,9,949.9057920183986,1976.9965410232544,986.7079998366536,1.0
61,10,1842.58154197596,2661.3327499944717,2084.391291020438,1.0
62,12,1021.4221659116448,1762.061959132552,972.1002499572932,1.0
63,14,719.8049169965088,1228.8283340167254,617.2916670329869,1.0
64,18,1495.833083987236,2956.648458028212,1672.7344579994678,1.0
65,19,1573.4158330596983,3071.2349170353264,1532.9140410758555,1.0
