execution_number,query_num,sqlserver_dfc_1phase_time_ms,sqlserver_dfc_2phase_time_ms,sqlserver_logical_time_ms,sqlserver_time_ms,tpch_sf
1,1,9213.7368330732,0.0,19822.3546249792,8920.25858303532,1.0
2,1,9356.555458158256,0.0,19732.772457879037,9029.633458005264,1.0
3,1,9325.923666823655,0.0,19815.375624923036,8864.151791902259,1.0
4,1,9465.613250155002,0.0,19832.75125012733,8856.297083199024,1.0
5,1,9581.847249995915,0.0,19859.87549996935,8926.127209095284,1.0
6,3,640.3487091884017,0.0,1220.0980419293046,696.514458861202,1.0
7,3,659.4285839237273,0.0,1559.1149588581177,660.5285829864442,1.0
8,3,958.5312500130384,0.0,1934.3696250580251,1015.6861250288785,1.0
9,3,650.0834580510855,0.0,1264.0997909475118,640.2998750563711,1.0
10,3,654.2257498949766,0.0,1272.8982500266284,635.7673748861998,1.0
11,4,1267.677125055343,0.0,10180.159374838697,1117.1125420369208,1.0
12,4,1233.0093749333173,0.0,9997.384374961255,1230.747666908428,1.0
13,4,1230.8086669072509,0.0,9844.128458062189,1118.9222089014947,1.0
14,4,1245.468124980107,0.0,10087.63291593641,1202.9641659464687,1.0
15,4,1329.5456250198183,0.0,10004.093459108844,1220.065833069384,1.0
16,5,639.2623330466449,0.0,1228.2103330362588,682.9084169585258,1.0
17,5,715.2535838540643,0.0,1295.2049172017723,638.6123748961836,1.0
18,5,632.1568330749869,0.0,1227.0733749028295,691.5442089084536,1.0
19,5,621.1904999800026,0.0,1230.836374917999,622.9773750528693,1.0
20,5,658.236833056435,0.0,1219.3106671329588,623.1164170894772,1.0
21,6,818.6357088852674,1343.6329578980803,1357.9678749665618,758.9036251883954,1.0
22,6,715.8317919820547,1439.39929199405,1424.3632089346647,746.6786250006407,1.0
23,6,717.9553750902414,1404.8581251408905,1357.9231249168515,779.7773748170584,1.0
24,6,802.641374990344,1433.6091249715537,1410.9570421278477,684.4296250492334,1.0
25,6,722.695583011955,1430.100625148043,1400.6605830509216,677.7356669772416,1.0
26,7,628.6175418645144,0.0,1207.9248330555856,622.2398329991847,1.0
27,7,622.944958973676,0.0,1212.3127500526607,632.4250830803066,1.0
28,7,634.059458039701,0.0,1365.5357090756297,639.9075409863144,1.0
29,7,715.9528331831098,0.0,1256.1453329399228,639.2386660445482,1.0
30,7,694.0248750615865,0.0,1288.2482500281185,625.2132090739906,1.0
31,8,718.2805410120636,0.0,1266.560791991651,859.7233339678496,1.0
32,8,659.9745419807732,0.0,1325.9839159436524,757.3208748362958,1.0
33,8,718.0649999063462,0.0,1256.2015419825912,702.3762499447912,1.0
34,8,688.9277920126915,0.0,1318.83604102768,644.6682079695165,1.0
35,8,650.1997499726713,0.0,1269.720874959603,657.4318329803646,1.0
36,9,921.49691702798,0.0,2009.568750159815,1019.1584581043572,1.0
37,9,969.4726660382004,0.0,2017.1185419894755,924.4905828963964,1.0
38,9,963.0025420337917,0.0,2061.794042121619,1165.142374811694,1.0
39,9,1233.6294159758836,0.0,2002.6175829116255,1265.22770896554,1.0
40,9,908.317708177492,0.0,1975.7442499976603,928.208249853924,1.0
41,10,1474.8621669132262,0.0,2619.189207907766,1445.2617501374334,1.0
42,10,1534.406749997288,0.0,2616.225500125438,1556.4251670148224,1.0
43,10,1536.0206658951938,0.0,2621.3079169392586,1507.0790420286355,1.0
44,10,1472.4822079297155,0.0,2578.406374901533,1448.1629591900855,1.0
45,10,1454.8285000491887,0.0,2611.068207770586,1487.0977499522269,1.0
46,12,919.676042161882,0.0,1808.8031250517815,906.8150839302688,1.0
47,12,1024.0437919273973,0.0,1775.4523328039795,902.9693338088692,1.0
48,12,965.4477499425412,0.0,1777.0746659953147,906.1199999414384,1.0
49,12,1023.9337908569725,0.0,1813.0873749032617,1013.0294170230628,1.0
50,12,921.5993750840424,0.0,1808.386290911585,1003.770750015974,1.0
51,14,625.158250099048,1194.2446250468493,1203.6626250483096,766.3873329292983,1.0
52,14,625.4016251768917,1195.6101669929922,1210.9237920958549,628.3120419830084,1.0
53,14,634.061416843906,1184.5795419067144,1243.397083133459,610.7912079896778,1.0
54,14,625.5504158325493,1185.282249934971,1203.4156250301749,629.9557911697775,1.0
55,14,628.1682080589235,1204.610708169639,1204.276166856289,616.2794998381287,1.0
56,18,1422.1169999800622,0.0,3051.474334206432,1735.979916062206,1.0
57,18,1457.7809169422835,0.0,3022.3047910258174,1682.7581250108778,1.0
58,18,1432.6052500400692,0.0,2921.295333188027,1847.8705829475075,1.0
59,18,1404.1056248825043,0.0,2930.9450420551,1713.8663330115378,1.0
60,18,1434.6115419175476,0.0,2988.0930420476943,1672.6200841367245,1.0
61,19,1579.0514159016311,3146.867707837373,3200.1561250071973,1532.6345001813024,1.0
62,19,1657.8245419077575,3151.9845828879625,3057.358624879271,1558.1731251440942,1.0
63,19,1553.7554579786956,3157.411166932434,3174.4283749721944,1571.9026250299066,1.0
64,19,1563.4130840189755,3093.067083042115,3113.1510420236737,1537.214000010863,1.0
65,19,1736.441500019282,3112.1487498749048,3072.261707857251,1559.7713750321418,1.0
