execution_number,timestamp,duration_ms,error,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf
1,2026-02-11T00:56:35.026752,566.4916255045682,,q01,1,"Row 0 mismatch between dfc and logical: ('A', 'F', 37734107.0, 56586554400.73, 53758257134.87, 55909065222.82769, 25.52201, 38273.12973, 0.04999, 1478493) != ('A', 'F', 692112.0, 1039279126.28, 987141495.7047, 1026917863.49013, 25.60627, 38450.52078, 0.05012, 27029)",False,"Row 0 mismatch between dfc and logical: ('A', 'F', 37734107.0, 56586554400.73, 53758257134.87, 55909065222.82769, 25.52201, 38273.12973, 0.04999, 1478493) != ('A', 'F', 692112.0, 1039279126.28, 987141495.7047, 1026917863.49013, 25.60627, 38450.52078, 0.05012, 27029)",False,,4,366.903374902904,,"Row 0 mismatch between dfc and logical: ('A', 'F', 37734107.0, 56586554400.73, 53758257134.87, 55909065222.82769, 25.52201, 38273.12973, 0.04999, 1478493) != ('A', 'F', 692112.0, 1039279126.28, 987141495.7047, 1026917863.49013, 25.60627, 38450.52078, 0.05012, 27029)",False,,4,373.22491710074246,4,333.0878340639174,1.0
2,2026-02-11T00:56:35.221155,91.02787682786584,,q03,3,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",False,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",0,0.0,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")","Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",0,0.0,0,0.0,1.0
3,2026-02-11T00:56:35.588658,261.97395706549287,,q04,4,"Errors: duckdb=None, sqlserver=('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")",False,"Errors: duckdb=None, sqlserver=('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")",False,"('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")",0,0.0,"('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")","Errors: duckdb=None, sqlserver=('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]The ORDER BY clause is invalid in views, inline functions, derived tables, subqueries, and common table expressions, unless TOP, OFFSET or FOR XML is also specified. (1033) (SQLExecDirectW)')",False,"('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]The ORDER BY clause is invalid in views, inline functions, derived tables, subqueries, and common table expressions, unless TOP, OFFSET or FOR XML is also specified. (1033) (SQLExecDirectW)')",0,0.0,0,0.0,1.0
4,2026-02-11T00:56:35.774490,102.6334590278566,,q05,5,"Errors: duckdb=None, sqlserver=('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'customer'. (208) (SQLExecDirectW)"")",False,"Errors: duckdb=None, sqlserver=('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'customer'. (208) (SQLExecDirectW)"")",False,"('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'customer'. (208) (SQLExecDirectW)"")",0,0.0,"('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'customer'. (208) (SQLExecDirectW)"")","Errors: duckdb=None, sqlserver=('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'customer'. (208) (SQLExecDirectW)"")",False,"('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'customer'. (208) (SQLExecDirectW)"")",0,0.0,0,0.0,1.0
5,2026-02-11T00:56:35.999448,84.88358417525887,,q06,6,"Row 0 mismatch between dfc and logical: (123141078.2283,) != (2283867.6538,)",False,"Row 0 mismatch between dfc and logical: (123141078.2283,) != (2283867.6538,)",False,,1,49.81970903463662,,"Row 0 mismatch between dfc and logical: (123141078.2283,) != (2283867.6538,)",False,,1,78.15087516792119,1,48.049625009298325,1.0
6,2026-02-11T00:56:36.510074,400.55999788455665,,q07,7,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'extract' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",0,0.0,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'extract' is not a recognized built-in function name. (195) (SQLExecDirectW)"")","Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",0,0.0,0,0.0,1.0
7,2026-02-11T00:56:36.758510,131.63491617888212,,q08,8,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'extract' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",0,0.0,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'extract' is not a recognized built-in function name. (195) (SQLExecDirectW)"")","Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",0,0.0,0,0.0,1.0
8,2026-02-11T00:57:08.287477,31432.160082971677,,q09,9,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'extract' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",0,0.0,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'extract' is not a recognized built-in function name. (195) (SQLExecDirectW)"")","Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]'EXTRACT' is not a recognized built-in function name. (195) (SQLExecDirectW)"")",0,0.0,0,0.0,1.0
9,2026-02-11T00:57:08.696529,311.8705819360912,,q10,10,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",False,"Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",0,0.0,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")","Errors: duckdb=None, sqlserver=('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",False,"('42000', ""[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near 'LIMIT'. (102) (SQLExecDirectW)"")",0,0.0,0,0.0,1.0
10,2026-02-11T00:57:08.877605,84.1743319761008,,q12,12,"Errors: duckdb=None, sqlserver=('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")",False,"Errors: duckdb=None, sqlserver=('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")",False,"('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")",0,0.0,"('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")","Errors: duckdb=None, sqlserver=('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")",False,"('42S02', ""[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid object name 'orders'. (208) (SQLExecDirectW)"")",0,0.0,0,0.0,1.0
