execution_number,timestamp,duration_ms,error,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf
1,2026-02-13T02:25:27.291276,9202.097375877202,,q01,1,,True,,True,,4,9213.608832797036,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,4,8963.13733397983,1.0
2,2026-02-13T02:25:28.114672,791.4640416856855,,q03,3,,True,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,10,700.589083135128,1.0
3,2026-02-13T02:25:31.599786,1707.6037090737373,,q04,4,,True,,True,,5,1747.073750011623,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,5,1498.578249942511,1.0
4,2026-02-13T02:25:33.540255,987.1056671254336,,q05,5,,True,,True,,5,923.2815001159906,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,5,879.4015839230269,1.0
5,2026-02-13T02:25:35.380147,914.729000069201,,q06,6,,True,,True,,1,895.7749169785529,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,1,874.2423339281231,1.0
6,2026-02-13T02:25:37.149042,1097.7316659409553,,q07,7,,True,,True,,4,639.7364169824868,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,4,694.8231670539826,1.0
7,2026-02-13T02:25:38.658310,783.9159178547561,,q08,8,,True,,True,,2,695.2209169976413,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,2,653.0694169923663,1.0
8,2026-02-13T02:26:17.373755,37666.63070814684,,q09,9,,True,,True,,175,1016.3170420564712,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,175,1055.007833056152,1.0
9,2026-02-13T02:26:19.209792,1809.7366245929152,,q10,10,,True,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,20,1472.3951669875532,1.0
10,2026-02-13T02:26:21.155230,1010.0275829900056,,q12,12,,True,,True,,2,916.2754160352052,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,2,899.3185830768198,1.0
